game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,2,10:16,MIA,,ORL,,A. Black,ORL,MISS Black 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-92,55,11,1,2.0,0.0,v
S2425-G0065,2,07:54,MIA,,ORL,,A. Black,ORL,Black REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,06:49,MIA,42.0,ORL,43.0,A. Black,ORL,Black 3PT Jump Shot (3 PTS) (F. Wagner 2 AST),Made Shot,Jump Shot,229,11,0,1,3.0,3.0,v
S2425-G0065,2,05:49,MIA,,ORL,,A. Black,ORL,SUB: Harris FOR Black,Substitution,,0,0,0,0,,,v
S2425-G0065,2,03:11,MIA,,ORL,,A. Black,ORL,Black REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,02:41,MIA,,ORL,,A. Black,ORL,MISS Black Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0065,2,02:41,MIA,53.0,ORL,52.0,A. Black,ORL,Black Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,2,01:58,MIA,,ORL,,A. Black,ORL,Black REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,01:56,MIA,,ORL,,A. Black,ORL,MISS Black 3' Putback Layup,Missed Shot,Putback Layup Shot,20,16,3,1,2.0,0.0,v
S2425-G0065,2,00:04.300000,MIA,,ORL,,A. Black,ORL,MISS Black 2' Driving Dunk,Missed Shot,Driving Dunk Shot,17,15,2,1,2.0,0.0,v
S2425-G0065,3,03:17,MIA,64.0,ORL,89.0,A. Black,ORL,Black 2' Driving Finger Roll Layup (6 PTS),Made Shot,Driving Finger Roll Layup Shot,15,-10,2,1,2.0,2.0,v
S2425-G0065,3,00:21.900000,MIA,,ORL,,A. Black,ORL,Black S.FOUL (P1.T3) (J.Butler),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,3,00:01.300000,MIA,,ORL,,A. Black,ORL,Black REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,00:00,MIA,,ORL,,A. Black,ORL,MISS Black 3' Putback Layup,Missed Shot,Putback Layup Shot,6,29,3,1,2.0,0.0,v
S2425-G0065,4,11:03,MIA,,ORL,,A. Black,ORL,MISS Black 24' 3PT Jump Shot,Missed Shot,Jump Shot,238,53,24,1,3.0,0.0,v
S2425-G0065,4,10:14,MIA,,ORL,,A. Black,ORL,Black S.FOUL (P2.T2) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,4,08:47,MIA,,ORL,,A. Black,ORL,Black REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,08:45,MIA,80.0,ORL,103.0,A. Black,ORL,Black 7' Running Finger Roll Layup (8 PTS),Made Shot,Running Finger Roll Layup Shot,-1,74,7,1,2.0,2.0,v
