game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,2,10:19,LAC,,POR,,A. Coffey,LAC,MISS Coffey 27' 3PT Jump Shot,Missed Shot,Jump Shot,243,113,27,1,3.0,0.0,h
S2425-G0127,2,08:10,LAC,38.0,POR,32.0,A. Coffey,LAC,Coffey 11' Pullup Jump Shot (2 PTS) (Batum 4 AST),Made Shot,Pullup Jump shot,-43,100,11,1,2.0,2.0,h
S2425-G0127,2,07:18,LAC,,POR,,A. Coffey,LAC,SUB: Harden FOR Coffey,Substitution,,0,0,0,0,,,h
S2425-G0127,2,01:05,LAC,45.0,POR,54.0,A. Coffey,LAC,Coffey 2' Cutting Layup Shot (4 PTS) (Jones 1 AST),Made Shot,Cutting Layup Shot,-7,20,2,1,2.0,2.0,h
S2425-G0127,2,00:34.500000,LAC,48.0,POR,54.0,A. Coffey,LAC,Coffey 24' 3PT Jump Shot (7 PTS) (Jones Jr. 2 AST),Made Shot,Jump Shot,235,46,24,1,3.0,3.0,h
S2425-G0127,4,06:47,LAC,,POR,,A. Coffey,LAC,MISS Coffey 4' Driving Layup,Missed Shot,Driving Layup Shot,-36,9,4,1,2.0,0.0,h
S2425-G0127,4,05:37,LAC,98.0,POR,94.0,A. Coffey,LAC,Coffey Running Layup (9 PTS) (Harden 10 AST),Made Shot,Running Layup Shot,-1,-1,0,1,2.0,2.0,h
S2425-G0127,4,05:18,LAC,,POR,,A. Coffey,LAC,Coffey P.FOUL (P1.T2) (M.Smith),Foul,Personal,0,0,0,0,,,h
S2425-G0127,4,04:31,LAC,,POR,,A. Coffey,LAC,Coffey P.FOUL (P2.T3) (C.Blair),Foul,Personal,0,0,0,0,,,h
S2425-G0127,4,00:47,LAC,,POR,,A. Coffey,LAC,MISS Coffey 26' 3PT Jump Shot,Missed Shot,Jump Shot,-202,163,26,1,3.0,0.0,h
S2425-G0087,2,11:02,DEN,,LAC,,A. Coffey,LAC,MISS Coffey 3PT Jump Shot,Missed Shot,Jump Shot,-229,-11,0,1,3.0,0.0,v
S2425-G0087,2,10:42,DEN,,LAC,,A. Coffey,LAC,MISS Coffey 16' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-78,136,16,1,2.0,0.0,v
S2425-G0087,2,09:09,DEN,,LAC,,A. Coffey,LAC,Coffey REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0087,2,06:24,DEN,,LAC,,A. Coffey,LAC,Coffey REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0087,2,05:16,DEN,,LAC,,A. Coffey,LAC,SUB: Jones Jr. FOR Coffey,Substitution,,0,0,0,0,,,v
S2425-G0087,4,08:51,DEN,,LAC,,A. Coffey,LAC,MISS Coffey 5' Driving Layup,Missed Shot,Driving Layup Shot,-17,52,5,1,2.0,0.0,v
S2425-G0087,4,08:20,DEN,,LAC,,A. Coffey,LAC,MISS Coffey 3PT Jump Shot,Missed Shot,Jump Shot,-223,20,0,1,3.0,0.0,v
S2425-G0087,4,08:04,DEN,,LAC,,A. Coffey,LAC,Coffey P.FOUL (P1.T1) (B.Taylor),Foul,Personal,0,0,0,0,,,v
S2425-G0087,4,07:32,DEN,,LAC,,A. Coffey,LAC,MISS Coffey 3PT Jump Shot,Missed Shot,Jump Shot,-233,3,0,1,3.0,0.0,v
S2425-G0087,4,03:08,DEN,,LAC,,A. Coffey,LAC,Coffey STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0101,1,01:00,GSW,32.0,LAC,32.0,A. Coffey,LAC,Coffey 13' Turnaround Jump Shot (2 PTS),Made Shot,Turnaround Jump Shot,80,102,13,1,2.0,2.0,v
S2425-G0101,2,08:54,GSW,,LAC,,A. Coffey,LAC,MISS Coffey 5' Driving Layup,Missed Shot,Driving Layup Shot,-38,39,5,1,2.0,0.0,v
S2425-G0101,2,08:44,GSW,34.0,LAC,43.0,A. Coffey,LAC,Coffey 5' Driving Layup (4 PTS) (Batum 1 AST),Made Shot,Driving Layup Shot,-31,36,5,1,2.0,2.0,v
