game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,12:00,LAL,,MIN,,A. Davis,LAL,Jump Ball Davis vs. Gobert: Tip to Conley,Jump Ball,,0,0,0,0,,,h
S2425-G0062,1,08:58,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,08:39,LAL,,MIN,,A. Davis,LAL,Davis STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0062,1,08:08,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,08:08,LAL,,MIN,,A. Davis,LAL,Davis Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0062,1,07:11,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,07:09,LAL,11.0,MIN,7.0,A. Davis,LAL,Davis 2' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,-7,17,2,1,2.0,2.0,h
S2425-G0062,1,06:25,LAL,13.0,MIN,7.0,A. Davis,LAL,Davis 19' Step Back Jump Shot (4 PTS),Made Shot,Step Back Jump shot,-104,159,19,1,2.0,2.0,h
S2425-G0062,1,05:17,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,04:34,LAL,,MIN,,A. Davis,LAL,MISS Davis 5' Hook Shot,Missed Shot,Hook Shot,-1,53,5,1,2.0,0.0,h
S2425-G0062,1,03:27,LAL,,MIN,,A. Davis,LAL,MISS Davis 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,4,106,11,1,2.0,0.0,h
S2425-G0062,1,02:58,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,02:12,LAL,19.0,MIN,15.0,A. Davis,LAL,Davis Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,1,02:12,LAL,20.0,MIN,15.0,A. Davis,LAL,Davis Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,1,01:38,LAL,,MIN,,A. Davis,LAL,MISS Davis 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-26,36,4,1,2.0,0.0,h
S2425-G0062,1,01:35,LAL,,MIN,,A. Davis,LAL,MISS Davis 10' Hook Shot,Missed Shot,Hook Shot,5,100,10,1,2.0,0.0,h
S2425-G0062,1,01:08,LAL,,MIN,,A. Davis,LAL,SUB: Russell FOR Davis,Substitution,,0,0,0,0,,,h
S2425-G0062,2,07:24,LAL,38.0,MIN,29.0,A. Davis,LAL,Davis Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,2,07:24,LAL,39.0,MIN,29.0,A. Davis,LAL,Davis Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,2,07:04,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,05:40,LAL,47.0,MIN,32.0,A. Davis,LAL,Davis 2' Layup (10 PTS),Made Shot,Layup Shot,10,21,2,1,2.0,2.0,h
S2425-G0062,2,04:23,LAL,51.0,MIN,32.0,A. Davis,LAL,Davis 4' Driving Layup (12 PTS),Made Shot,Driving Layup Shot,-18,37,4,1,2.0,2.0,h
S2425-G0062,2,03:28,LAL,,MIN,,A. Davis,LAL,MISS Davis 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-66,254,26,1,3.0,0.0,h
S2425-G0062,2,01:05,LAL,,MIN,,A. Davis,LAL,MISS Davis 7' Floating Jump Shot,Missed Shot,Floating Jump shot,-23,62,7,1,2.0,0.0,h
S2425-G0062,2,00:50.500000,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,11:44,LAL,57.0,MIN,42.0,A. Davis,LAL,Davis 3' Alley Oop Dunk (14 PTS) (L. James 1 AST),Made Shot,Alley Oop Dunk Shot,28,17,3,1,2.0,2.0,h
S2425-G0062,3,11:03,LAL,,MIN,,A. Davis,LAL,MISS Davis 8' Driving Hook Shot,Missed Shot,Driving Hook Shot,48,61,8,1,2.0,0.0,h
S2425-G0062,3,10:06,LAL,60.0,MIN,44.0,A. Davis,LAL,Davis Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,3,10:06,LAL,,MIN,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0062,3,09:06,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,07:42,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:2 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,07:40,LAL,,MIN,,A. Davis,LAL,MISS Davis 3' Putback Layup,Missed Shot,Putback Layup Shot,5,32,3,1,2.0,0.0,h
S2425-G0062,3,07:21,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:2 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,07:08,LAL,,MIN,,A. Davis,LAL,Davis BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0062,3,06:48,LAL,65.0,MIN,53.0,A. Davis,LAL,Davis Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,3,06:48,LAL,66.0,MIN,53.0,A. Davis,LAL,Davis Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,3,06:26,LAL,,MIN,,A. Davis,LAL,MISS Davis 2' Driving Layup,Missed Shot,Driving Layup Shot,-16,9,2,1,2.0,0.0,h
S2425-G0062,3,05:58,LAL,,MIN,,A. Davis,LAL,MISS Davis 3' Driving Layup,Missed Shot,Driving Layup Shot,20,21,3,1,2.0,0.0,h
S2425-G0062,3,03:51,LAL,72.0,MIN,61.0,A. Davis,LAL,Davis 15' Step Back Jump Shot (19 PTS),Made Shot,Step Back Jump shot,-71,129,15,1,2.0,2.0,h
S2425-G0062,3,03:00,LAL,76.0,MIN,65.0,A. Davis,LAL,Davis 3' Driving Floating Jump Shot (21 PTS) (Vincent 2 AST),Made Shot,Driving Floating Jump Shot,-5,27,3,1,2.0,2.0,h
S2425-G0062,3,03:00,LAL,77.0,MIN,65.0,A. Davis,LAL,Davis Free Throw 1 of 1 (22 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0062,3,02:34,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:2 Def:9),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,02:14,LAL,80.0,MIN,67.0,A. Davis,LAL,Davis 26' 3PT Jump Shot (25 PTS) (Knecht 2 AST),Made Shot,Jump Shot,-186,179,26,1,3.0,3.0,h
S2425-G0062,3,00:59.800000,LAL,,MIN,,A. Davis,LAL,MISS Davis 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,11,6,1,1,2.0,0.0,h
S2425-G0062,3,00:46.900000,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:2 Def:10),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,00:01.100000,LAL,,MIN,,A. Davis,LAL,MISS Davis 28' 3PT Jump Shot,Missed Shot,Jump Shot,123,247,28,1,3.0,0.0,h
S2425-G0062,4,06:52,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:2 Def:11),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,4,06:52,LAL,93.0,MIN,84.0,A. Davis,LAL,Davis Free Throw 1 of 2 (26 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,4,06:52,LAL,,MIN,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0062,4,06:36,LAL,,MIN,,A. Davis,LAL,Davis BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0062,4,06:05,LAL,95.0,MIN,86.0,A. Davis,LAL,Davis 8' Fadeaway Jumper (28 PTS),Made Shot,Fadeaway Jump Shot,-58,55,8,1,2.0,2.0,h
S2425-G0062,4,05:45,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:2 Def:12),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,4,05:31,LAL,96.0,MIN,86.0,A. Davis,LAL,Davis Free Throw 1 of 2 (29 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,4,05:31,LAL,97.0,MIN,86.0,A. Davis,LAL,Davis Free Throw 2 of 2 (30 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,4,04:16,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:3 Def:12),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,4,04:16,LAL,101.0,MIN,91.0,A. Davis,LAL,Davis Tip Layup Shot (32 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0062,4,03:37,LAL,103.0,MIN,93.0,A. Davis,LAL,Davis 11' Driving Floating Jump Shot (34 PTS) (L. James 3 AST),Made Shot,Driving Floating Jump Shot,-39,105,11,1,2.0,2.0,h
S2425-G0062,4,02:43,LAL,,MIN,,A. Davis,LAL,Davis BLOCK (3 BLK),,,0,0,0,0,,,h
S2425-G0062,4,02:17,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:3 Def:13),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,4,02:10,LAL,106.0,MIN,95.0,A. Davis,LAL,Davis Free Throw 1 of 2 (35 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,4,02:10,LAL,107.0,MIN,95.0,A. Davis,LAL,Davis Free Throw 2 of 2 (36 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,4,01:25,LAL,,MIN,,A. Davis,LAL,Davis Violation:Kicked Ball (N.Buchert),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0062,4,01:20,LAL,,MIN,,A. Davis,LAL,Davis P.FOUL (P1.PN) (J.Williams),Foul,Personal,0,0,0,0,,,h
S2425-G0111,1,11:41,PHX,,LAL,,A. Davis,LAL,Davis BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0111,1,11:35,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,11:16,PHX,,LAL,,A. Davis,LAL,MISS Davis 21' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-94,184,21,1,2.0,0.0,v
S2425-G0111,1,10:23,PHX,,LAL,,A. Davis,LAL,MISS Davis 6' Driving Layup,Missed Shot,Driving Layup Shot,-15,54,6,1,2.0,0.0,v
S2425-G0111,1,09:46,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,09:15,PHX,,LAL,,A. Davis,LAL,MISS Davis 26' 3PT Jump Shot,Missed Shot,Jump Shot,-20,264,26,1,3.0,0.0,v
S2425-G0111,1,08:02,PHX,6.0,LAL,12.0,A. Davis,LAL,Davis 2' Cutting Layup Shot (2 PTS) (Reaves 1 AST),Made Shot,Cutting Layup Shot,-5,21,2,1,2.0,2.0,v
S2425-G0111,1,07:39,PHX,,LAL,,A. Davis,LAL,Davis Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0111,1,07:34,PHX,6.0,LAL,14.0,A. Davis,LAL,Davis 2' Layup (4 PTS) (L. James 1 AST),Made Shot,Layup Shot,-2,18,2,1,2.0,2.0,v
S2425-G0111,1,07:34,PHX,6.0,LAL,15.0,A. Davis,LAL,Davis Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0111,1,07:12,PHX,6.0,LAL,17.0,A. Davis,LAL,Davis 23' Alley Oop Layup (7 PTS) (Russell 2 AST),Made Shot,Alley Oop Layup shot,-182,141,23,1,2.0,2.0,v
S2425-G0111,1,06:25,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,06:25,PHX,8.0,LAL,19.0,A. Davis,LAL,Davis Tip Dunk Shot (9 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,v
S2425-G0111,1,06:10,PHX,8.0,LAL,21.0,A. Davis,LAL,Davis 2' Cutting Layup Shot (11 PTS) (Russell 3 AST),Made Shot,Cutting Layup Shot,-10,18,2,1,2.0,2.0,v
S2425-G0111,1,05:26,PHX,,LAL,,A. Davis,LAL,Davis BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0111,1,05:24,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,04:54,PHX,,LAL,,A. Davis,LAL,MISS Davis 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-145,154,21,1,2.0,0.0,v
S2425-G0111,1,04:22,PHX,12.0,LAL,28.0,A. Davis,LAL,Davis 4' Cutting Layup Shot (13 PTS) (Russell 5 AST),Made Shot,Cutting Layup Shot,-25,26,4,1,2.0,2.0,v
S2425-G0111,1,04:22,PHX,12.0,LAL,29.0,A. Davis,LAL,Davis Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0111,1,03:29,PHX,15.0,LAL,31.0,A. Davis,LAL,Davis 19' Pullup Jump Shot (16 PTS),Made Shot,Pullup Jump shot,-43,181,19,1,2.0,2.0,v
S2425-G0111,1,02:38,PHX,,LAL,,A. Davis,LAL,SUB: L. James FOR Davis,Substitution,,0,0,0,0,,,v
S2425-G0111,2,05:32,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,2,04:31,PHX,,LAL,,A. Davis,LAL,Davis STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0111,2,02:27,PHX,41.0,LAL,46.0,A. Davis,LAL,Davis 4' Cutting Layup Shot (18 PTS) (L. James 3 AST),Made Shot,Cutting Layup Shot,-33,28,4,1,2.0,2.0,v
