game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0091,1,06:26,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,159,211,26,1,3.0,0.0,h
S2425-G0091,1,04:28,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,04:21,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 24' 3PT Jump Shot,Missed Shot,Jump Shot,-234,34,24,1,3.0,0.0,h
S2425-G0091,1,01:30,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,2,10:10,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 25' 3PT Jump Shot,Missed Shot,Jump Shot,129,218,25,1,3.0,0.0,h
S2425-G0091,2,10:10,CHI,,OKC,,A. Dosunmu,CHI,SUB: Buzelis FOR Dosunmu,Substitution,,0,0,0,0,,,h
S2425-G0091,2,07:16,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 27' 3PT Jump Shot,Missed Shot,Jump Shot,174,210,27,1,3.0,0.0,h
S2425-G0091,2,04:47,CHI,,OKC,,A. Dosunmu,CHI,SUB: Giddey FOR Dosunmu,Substitution,,0,0,0,0,,,h
S2425-G0091,3,04:42,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 2' Layup,Missed Shot,Layup Shot,0,17,2,1,2.0,0.0,h
S2425-G0091,3,04:38,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 25' 3PT Jump Shot,Missed Shot,Jump Shot,-162,188,25,1,3.0,0.0,h
S2425-G0091,3,03:07,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu Lost Ball Turnover (P1.T19),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0091,3,03:01,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu S.FOUL (P1.T2) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
S2425-G0091,3,02:21,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu Offensive Charge Foul (P2) (J.Tiven),Foul,Offensive Charge,0,0,0,0,,,h
S2425-G0091,3,02:21,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu Offensive Foul Turnover (P2.T20),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0091,3,01:11,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 1' Running Layup,Missed Shot,Running Layup Shot,11,7,1,1,2.0,0.0,h
S2425-G0091,4,11:50,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu P.FOUL (P3.T1) (J.Tiven),Foul,Personal,0,0,0,0,,,h
S2425-G0091,4,11:36,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 3PT Jump Shot,Missed Shot,Jump Shot,225,-15,0,1,3.0,0.0,h
S2425-G0091,4,11:30,CHI,,OKC,,A. Dosunmu,CHI,SUB: LaVine FOR Dosunmu,Substitution,,0,0,0,0,,,h
S2425-G0091,4,08:05,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 24' 3PT Jump Shot,Missed Shot,Jump Shot,-238,11,24,1,3.0,0.0,h
S2425-G0091,4,07:44,CHI,77.0,OKC,98.0,A. Dosunmu,CHI,Dosunmu 3PT Jump Shot (3 PTS) (Giddey 4 AST),Made Shot,Jump Shot,-228,43,0,1,3.0,3.0,h
S2425-G0091,4,07:25,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,4,07:20,CHI,,OKC,,A. Dosunmu,CHI,MISS Dosunmu 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-167,180,25,1,3.0,0.0,h
S2425-G0091,4,07:12,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,4,07:01,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu S.FOUL (P4.PN) (J.Tiven),Foul,Shooting,0,0,0,0,,,h
S2425-G0091,4,06:08,CHI,,OKC,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,4,04:26,CHI,,OKC,,A. Dosunmu,CHI,SUB: Duarte FOR Dosunmu,Substitution,,0,0,0,0,,,h
S2425-G0069,1,02:48,NOP,,CHI,,A. Dosunmu,CHI,Dosunmu Step Out of Bounds Turnover (P1.T4),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0069,1,01:53,NOP,25.0,CHI,21.0,A. Dosunmu,CHI,Dosunmu 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,10,5,1,1,2.0,2.0,v
S2425-G0069,1,01:07,NOP,25.0,CHI,23.0,A. Dosunmu,CHI,Dosunmu 2' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,12,11,2,1,2.0,2.0,v
S2425-G0069,2,11:27,NOP,,CHI,,A. Dosunmu,CHI,Dosunmu P.FOUL (P1.T1) (N.Green),Foul,Personal,0,0,0,0,,,v
S2425-G0069,2,10:53,NOP,,CHI,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
