game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,10:04,TOR,7.0,PHI,5.0,A. Drummond,PHI,Drummond 6' Hook Shot (2 PTS) (Lowry 1 AST),Made Shot,Hook Shot,4,58,6,1,2.0,2.0,v
S2425-G0078,1,09:54,TOR,,PHI,,A. Drummond,PHI,Drummond STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0078,1,09:36,TOR,,PHI,,A. Drummond,PHI,Drummond P.FOUL (P1.T2) (T.Brothers),Foul,Personal,0,0,0,0,,,v
S2425-G0078,1,08:51,TOR,,PHI,,A. Drummond,PHI,Drummond S.FOUL (P2.T3) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,1,08:51,TOR,,PHI,,A. Drummond,PHI,SUB: Yabusele FOR Drummond,Substitution,,0,0,0,0,,,v
S2425-G0078,2,10:00,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,10:00,TOR,,PHI,,A. Drummond,PHI,MISS Drummond 2' Layup,Missed Shot,Layup Shot,-12,17,2,1,2.0,0.0,v
S2425-G0078,2,09:22,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,09:22,TOR,,PHI,,A. Drummond,PHI,MISS Drummond 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,-7,14,2,1,2.0,0.0,v
S2425-G0078,2,08:29,TOR,,PHI,,A. Drummond,PHI,MISS Drummond 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-62,-4,6,1,2.0,0.0,v
S2425-G0078,2,08:07,TOR,42.0,PHI,40.0,A. Drummond,PHI,Drummond 6' Fadeaway Jumper (4 PTS) (McCain 1 AST),Made Shot,Fadeaway Jump Shot,-56,27,6,1,2.0,2.0,v
S2425-G0078,2,07:58,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,07:37,TOR,,PHI,,A. Drummond,PHI,SUB: K. Martin FOR Drummond,Substitution,,0,0,0,0,,,v
S2425-G0078,2,03:38,TOR,,PHI,,A. Drummond,PHI,MISS Drummond Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0078,2,03:38,TOR,,PHI,,A. Drummond,PHI,MISS Drummond Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0078,2,03:20,TOR,,PHI,,A. Drummond,PHI,Drummond STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0078,2,02:59,TOR,,PHI,,A. Drummond,PHI,MISS Drummond Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0078,2,02:59,TOR,57.0,PHI,51.0,A. Drummond,PHI,Drummond Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,2,02:52,TOR,,PHI,,A. Drummond,PHI,Drummond STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0078,2,02:49,TOR,57.0,PHI,52.0,A. Drummond,PHI,Drummond Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,2,02:49,TOR,,PHI,,A. Drummond,PHI,MISS Drummond Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0078,2,02:10,TOR,,PHI,,A. Drummond,PHI,MISS Drummond 6' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,23,53,6,1,2.0,0.0,v
S2425-G0078,2,02:04,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,02:04,TOR,,PHI,,A. Drummond,PHI,MISS Drummond Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0078,2,01:58,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,01:49,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,00:53,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,00:53,TOR,62.0,PHI,56.0,A. Drummond,PHI,Drummond Tip Dunk Shot (8 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,v
S2425-G0078,2,00:13.200000,TOR,,PHI,,A. Drummond,PHI,SUB: McCain FOR Drummond,Substitution,,0,0,0,0,,,v
S2425-G0078,3,10:36,TOR,,PHI,,A. Drummond,PHI,Drummond BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0078,3,10:31,TOR,,PHI,,A. Drummond,PHI,Drummond STEAL (4 STL),,,0,0,0,0,,,v
S2425-G0078,3,10:13,TOR,,PHI,,A. Drummond,PHI,MISS Drummond 6' Driving Layup,Missed Shot,Driving Layup Shot,7,63,6,1,2.0,0.0,v
S2425-G0078,3,10:13,TOR,,PHI,,A. Drummond,PHI,Drummond REBOUND (Off:6 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,3,10:13,TOR,64.0,PHI,57.0,A. Drummond,PHI,Drummond Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
