game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,08:25,TOR,,DEN,,A. Gordon,DEN,Gordon S.FOUL (P1.T1) (A.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0107,1,07:32,TOR,,DEN,,A. Gordon,DEN,Gordon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,04:20,TOR,,DEN,,A. Gordon,DEN,Gordon Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0107,1,03:33,TOR,,DEN,,A. Gordon,DEN,SUB: Watson FOR Gordon,Substitution,,0,0,0,0,,,v
S2425-G0107,2,08:43,TOR,,DEN,,A. Gordon,DEN,Gordon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,05:34,TOR,47.0,DEN,45.0,A. Gordon,DEN,Gordon 26' 3PT Jump Shot (3 PTS) (Braun 1 AST),Made Shot,Jump Shot,172,193,26,1,3.0,3.0,v
S2425-G0107,2,04:57,TOR,,DEN,,A. Gordon,DEN,MISS Gordon 3' Hook Shot,Missed Shot,Hook Shot,-10,25,3,1,2.0,0.0,v
S2425-G0107,2,04:54,TOR,,DEN,,A. Gordon,DEN,Gordon REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,04:54,TOR,,DEN,,A. Gordon,DEN,Gordon Step Out of Bounds Turnover (P2.T10),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0107,2,04:33,TOR,,DEN,,A. Gordon,DEN,Gordon Offensive Charge Foul (P2) (S.Mitchell),Foul,Offensive Charge,0,0,0,0,,,v
S2425-G0107,2,04:33,TOR,,DEN,,A. Gordon,DEN,Gordon Offensive Foul Turnover (P3.T11),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0107,2,03:51,TOR,,DEN,,A. Gordon,DEN,Gordon STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0107,2,03:16,TOR,,DEN,,A. Gordon,DEN,Gordon Step Out of Bounds Turnover (P4.T12),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0107,2,00:54.500000,TOR,60.0,DEN,54.0,A. Gordon,DEN,Gordon Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,2,00:54.500000,TOR,,DEN,,A. Gordon,DEN,MISS Gordon Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0107,2,00:14.100000,TOR,,DEN,,A. Gordon,DEN,MISS Gordon 8' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-56,58,8,1,2.0,0.0,v
S2425-G0107,3,06:42,TOR,75.0,DEN,65.0,A. Gordon,DEN,Gordon 24' 3PT Jump Shot (7 PTS) (Braun 2 AST),Made Shot,Jump Shot,-240,-6,24,1,3.0,3.0,v
S2425-G0107,3,06:08,TOR,,DEN,,A. Gordon,DEN,Gordon REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,06:08,TOR,75.0,DEN,67.0,A. Gordon,DEN,Gordon Tip Layup Shot (9 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0107,3,05:48,TOR,,DEN,,A. Gordon,DEN,Gordon BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0107,3,04:44,TOR,,DEN,,A. Gordon,DEN,SUB: Watson FOR Gordon,Substitution,,0,0,0,0,,,v
S2425-G0107,4,11:26,TOR,,DEN,,A. Gordon,DEN,Gordon Lost Ball Turnover (P5.T13),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0107,4,10:35,TOR,,DEN,,A. Gordon,DEN,Gordon REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,4,09:56,TOR,,DEN,,A. Gordon,DEN,Gordon REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,4,09:56,TOR,91.0,DEN,86.0,A. Gordon,DEN,Gordon Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,4,09:56,TOR,91.0,DEN,87.0,A. Gordon,DEN,Gordon Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
