game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0068,1,12:00,HOU,,CHA,,A. Sengun,HOU,Jump Ball Sengun vs. Richards: Tip to Smith Jr.,Jump Ball,,0,0,0,0,,,h
S2425-G0068,1,11:26,HOU,,CHA,,A. Sengun,HOU,Sengun S.FOUL (P1.T1) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0068,1,11:07,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,10:59,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,10:40,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,10:28,HOU,,CHA,,A. Sengun,HOU,MISS Sengun 2' Driving Layup,Missed Shot,Driving Layup Shot,-17,16,2,1,2.0,0.0,h
S2425-G0068,1,09:56,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,09:54,HOU,2.0,CHA,3.0,A. Sengun,HOU,Sengun 5' Turnaround Hook Shot (2 PTS),Made Shot,Turnaround Hook Shot,4,46,5,1,2.0,2.0,h
S2425-G0068,1,08:54,HOU,,CHA,,A. Sengun,HOU,MISS Sengun 6' Driving Layup,Missed Shot,Driving Layup Shot,50,33,6,1,2.0,0.0,h
S2425-G0068,1,08:52,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,08:52,HOU,,CHA,,A. Sengun,HOU,MISS Sengun 3' Putback Layup,Missed Shot,Putback Layup Shot,23,22,3,1,2.0,0.0,h
S2425-G0068,1,08:48,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,08:48,HOU,,CHA,,A. Sengun,HOU,MISS Sengun Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0068,1,08:01,HOU,,CHA,,A. Sengun,HOU,MISS Sengun 4' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,12,36,4,1,2.0,0.0,h
S2425-G0068,1,08:00,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,07:59,HOU,6.0,CHA,6.0,A. Sengun,HOU,Sengun 3' Putback Layup (4 PTS),Made Shot,Putback Layup Shot,26,20,3,1,2.0,2.0,h
S2425-G0068,1,07:59,HOU,7.0,CHA,6.0,A. Sengun,HOU,Sengun Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0068,1,06:44,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:5 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,06:01,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:5 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,05:50,HOU,14.0,CHA,12.0,A. Sengun,HOU,Sengun 3' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,27,22,3,1,2.0,2.0,h
S2425-G0068,1,05:23,HOU,,CHA,,A. Sengun,HOU,Sengun REBOUND (Off:5 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,05:10,HOU,16.0,CHA,12.0,A. Sengun,HOU,Sengun 3' Cutting Layup Shot (9 PTS) (Smith Jr. 1 AST),Made Shot,Cutting Layup Shot,21,17,3,1,2.0,2.0,h
