game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,10:38,WAS,,ATL,,C. Carrington,WAS,Carrington REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,09:34,WAS,,ATL,,C. Carrington,WAS,Carrington Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0121,1,08:44,WAS,10.0,ATL,7.0,C. Carrington,WAS,Carrington 2' Cutting Layup Shot (2 PTS) (George 1 AST),Made Shot,Cutting Layup Shot,-16,7,2,1,2.0,2.0,h
S2425-G0121,1,07:48,WAS,,ATL,,C. Carrington,WAS,Carrington REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,06:17,WAS,,ATL,,C. Carrington,WAS,SUB: Valančiūnas FOR Carrington,Substitution,,0,0,0,0,,,h
S2425-G0121,1,03:56,WAS,,ATL,,C. Carrington,WAS,MISS Carrington 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-67,84,11,1,2.0,0.0,h
S2425-G0121,1,02:26,WAS,,ATL,,C. Carrington,WAS,Carrington S.FOUL (P1.PN) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2425-G0121,2,09:59,WAS,,ATL,,C. Carrington,WAS,MISS Carrington 27' 3PT Jump Shot,Missed Shot,Jump Shot,-53,264,27,1,3.0,0.0,h
S2425-G0121,2,09:07,WAS,,ATL,,C. Carrington,WAS,Carrington Out of Bounds - Bad Pass Turnover Turnover (P2.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0121,2,06:29,WAS,,ATL,,C. Carrington,WAS,SUB: Coulibaly FOR Carrington,Substitution,,0,0,0,0,,,h
S2425-G0121,2,01:26,WAS,54.0,ATL,60.0,C. Carrington,WAS,Carrington Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,2,01:26,WAS,55.0,ATL,60.0,C. Carrington,WAS,Carrington Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
