game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,03:32,WAS,,ATL,,C. Kispert,WAS,MISS Kispert 26' 3PT Jump Shot,Missed Shot,Jump Shot,-188,185,26,1,3.0,0.0,h
S2425-G0121,1,00:53.400000,WAS,33.0,ATL,34.0,C. Kispert,WAS,Kispert 2' Cutting Layup Shot (2 PTS) (Valančiūnas 1 AST),Made Shot,Cutting Layup Shot,22,4,2,1,2.0,2.0,h
S2425-G0121,1,00:27.700000,WAS,,ATL,,C. Kispert,WAS,Kispert REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,00:08.200000,WAS,,ATL,,C. Kispert,WAS,MISS Kispert 26' 3PT Jump Shot,Missed Shot,Jump Shot,-113,239,26,1,3.0,0.0,h
S2425-G0121,2,11:08,WAS,,ATL,,C. Kispert,WAS,MISS Kispert 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,153,202,25,1,3.0,0.0,h
S2425-G0121,2,10:26,WAS,36.0,ATL,40.0,C. Kispert,WAS,Kispert 26' 3PT Jump Shot (5 PTS) (Carrington 1 AST),Made Shot,Jump Shot,-10,258,26,1,3.0,3.0,h
S2425-G0121,2,03:31,WAS,,ATL,,C. Kispert,WAS,Kispert L.B.FOUL (P1.T1) (S.Wright),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0121,2,01:44,WAS,,ATL,,C. Kispert,WAS,SUB: Carrington FOR Kispert,Substitution,,0,0,0,0,,,h
S2425-G0121,2,00:31.200000,WAS,,ATL,,C. Kispert,WAS,MISS Kispert 29' 3PT Jump Shot,Missed Shot,Jump Shot,-185,221,29,1,3.0,0.0,h
S2425-G0121,2,00:12.200000,WAS,,ATL,,C. Kispert,WAS,MISS Kispert 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-148,220,27,1,3.0,0.0,h
