game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,10:17,MEM,,BKN,,C. Thomas,BKN,Thomas OFF.Foul (P1) (B.Nansel),Foul,Offensive,0,0,0,0,,,v
S2424-G124,1,10:17,MEM,,BKN,,C. Thomas,BKN,Thomas Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2424-G124,1,09:15,MEM,,BKN,,C. Thomas,BKN,MISS Thomas 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,225,95,24,1,3.0,0.0,v
S2424-G124,1,07:03,MEM,18.0,BKN,12.0,C. Thomas,BKN,Thomas 16' Jump Shot (2 PTS),Made Shot,Jump Shot,13,160,16,1,2.0,2.0,v
S2424-G124,1,06:47,MEM,,BKN,,C. Thomas,BKN,Thomas STEAL (1 STL),,,0,0,0,0,,,v
S2424-G124,1,06:40,MEM,,BKN,,C. Thomas,BKN,MISS Thomas 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,39,199,20,1,2.0,0.0,v
S2424-G124,1,04:06,MEM,22.0,BKN,16.0,C. Thomas,BKN,Thomas 17' Step Back Jump Shot (4 PTS),Made Shot,Step Back Jump shot,-127,109,17,1,2.0,2.0,v
S2424-G124,1,03:08,MEM,,BKN,,C. Thomas,BKN,Thomas REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,03:07,MEM,24.0,BKN,19.0,C. Thomas,BKN,Thomas Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2424-G124,1,03:07,MEM,24.0,BKN,20.0,C. Thomas,BKN,Thomas Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2424-G124,1,02:57,MEM,,BKN,,C. Thomas,BKN,SUB: Clowney FOR Thomas,Substitution,,0,0,0,0,,,v
