game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,03:19,LAC,,POR,,D. Clingan,POR,Clingan STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0127,1,02:52,LAC,,POR,,D. Clingan,POR,Clingan S.FOUL (P1.T2) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0127,1,02:35,LAC,,POR,,D. Clingan,POR,Clingan Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0127,1,02:29,LAC,,POR,,D. Clingan,POR,Clingan REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,02:21,LAC,,POR,,D. Clingan,POR,Clingan REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,02:20,LAC,20.0,POR,17.0,D. Clingan,POR,Clingan 1' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,-10,-10,1,1,2.0,2.0,v
S2425-G0127,1,02:03,LAC,,POR,,D. Clingan,POR,Clingan S.FOUL (P2.T3) (E.Dalen),Foul,Shooting,0,0,0,0,,,v
S2425-G0127,1,01:08,LAC,,POR,,D. Clingan,POR,Clingan S.FOUL (P3.PN) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0127,1,00:28.200000,LAC,,POR,,D. Clingan,POR,SUB: Camara FOR Clingan,Substitution,,0,0,0,0,,,v
S2425-G0127,3,02:42,LAC,,POR,,D. Clingan,POR,MISS Clingan 3' Running Layup,Missed Shot,Running Layup Shot,10,26,3,1,2.0,0.0,v
S2425-G0127,3,01:45,LAC,84.0,POR,77.0,D. Clingan,POR,Clingan 2' Alley Oop Dunk (4 PTS) (Henderson 4 AST),Made Shot,Alley Oop Dunk Shot,10,13,2,1,2.0,2.0,v
S2425-G0127,3,01:20,LAC,,POR,,D. Clingan,POR,Clingan REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,3,00:50.100000,LAC,,POR,,D. Clingan,POR,Clingan REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,3,00:49.400000,LAC,,POR,,D. Clingan,POR,MISS Clingan 2' Putback Layup,Missed Shot,Putback Layup Shot,7,16,2,1,2.0,0.0,v
S2425-G0127,4,11:19,LAC,,POR,,D. Clingan,POR,Clingan BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0127,4,09:40,LAC,,POR,,D. Clingan,POR,Clingan P.FOUL (P4.T2) (M.Smith),Foul,Personal,0,0,0,0,,,v
S2425-G0127,4,08:56,LAC,,POR,,D. Clingan,POR,Clingan REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,08:30,LAC,,POR,,D. Clingan,POR,Clingan REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,08:19,LAC,92.0,POR,92.0,D. Clingan,POR,Clingan 27' 3PT Jump Shot (7 PTS) (Henderson 6 AST),Made Shot,Jump Shot,-66,258,27,1,3.0,3.0,v
S2425-G0127,4,08:17,LAC,,POR,,D. Clingan,POR,SUB: Camara FOR Clingan,Substitution,,0,0,0,0,,,v
S2425-G0072,1,00:29.200000,POR,21.0,GSW,21.0,D. Clingan,POR,Clingan 1' Layup (2 PTS) (Murray 1 AST),Made Shot,Layup Shot,10,8,1,1,2.0,2.0,h
