game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,05:20,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,75,250,26,1,3.0,0.0,v
S2425-G0062,1,01:08,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0062,1,01:08,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0062,1,00:57.300000,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo S.FOUL (P1.T3) (J.Williams),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,1,00:20.100000,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-12,55,6,1,2.0,0.0,v
S2425-G0062,1,00:19.200000,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,1,00:19.200000,LAL,22.0,MIN,23.0,D. DiVincenzo,MIN,DiVincenzo 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-7,8,1,1,2.0,2.0,v
S2425-G0062,2,11:22,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-222,101,24,1,3.0,0.0,v
S2425-G0062,2,06:25,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 26' 3PT Jump Shot,Missed Shot,Jump Shot,181,187,26,1,3.0,0.0,v
S2425-G0062,2,05:22,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 27' 3PT Jump Shot,Missed Shot,Jump Shot,-192,190,27,1,3.0,0.0,v
S2425-G0062,2,04:39,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo Out of Bounds Lost Ball Turnover (P1.T11),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0062,2,04:39,LAL,,MIN,,D. DiVincenzo,MIN,SUB: Randle FOR DiVincenzo,Substitution,,0,0,0,0,,,v
S2425-G0062,3,08:06,LAL,64.0,MIN,50.0,D. DiVincenzo,MIN,DiVincenzo 26' 3PT Jump Shot (5 PTS) (Randle 4 AST),Made Shot,Jump Shot,-157,207,26,1,3.0,3.0,v
S2425-G0062,3,06:24,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,05:06,LAL,70.0,MIN,57.0,D. DiVincenzo,MIN,DiVincenzo 26' 3PT Jump Shot (8 PTS) (Gobert 1 AST),Made Shot,Jump Shot,194,170,26,1,3.0,3.0,v
S2425-G0062,3,04:20,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,02:30,LAL,77.0,MIN,66.0,D. DiVincenzo,MIN,DiVincenzo Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,3,02:30,LAL,77.0,MIN,67.0,D. DiVincenzo,MIN,DiVincenzo Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,3,00:52.300000,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,233,42,24,1,3.0,0.0,v
S2425-G0062,3,00:29.200000,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0062,3,00:21.900000,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0062,4,08:42,LAL,,MIN,,D. DiVincenzo,MIN,DiVincenzo P.FOUL (P2.T4) (J.Orr),Foul,Personal,0,0,0,0,,,v
S2425-G0062,4,06:36,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,230,70,24,1,3.0,0.0,v
S2425-G0062,4,02:43,LAL,,MIN,,D. DiVincenzo,MIN,MISS DiVincenzo 2' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,-10,22,2,1,2.0,0.0,v
S2425-G0093,1,05:53,MIN,20.0,TOR,7.0,D. DiVincenzo,MIN,DiVincenzo 25' 3PT Step Back Jump Shot (3 PTS) (McDaniels 1 AST),Made Shot,Step Back Jump shot,213,123,25,1,3.0,3.0,h
S2425-G0093,1,05:18,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,18,64,7,1,2.0,0.0,h
S2425-G0093,1,05:04,MIN,,TOR,,D. DiVincenzo,MIN,DiVincenzo S.FOUL (P1.T3) (C.Blair),Foul,Shooting,0,0,0,0,,,h
S2425-G0093,1,02:33,MIN,,TOR,,D. DiVincenzo,MIN,DiVincenzo Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0093,1,02:02,MIN,25.0,TOR,14.0,D. DiVincenzo,MIN,DiVincenzo 32' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,119,294,32,1,3.0,3.0,h
S2425-G0093,1,01:31,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-163,199,26,1,3.0,0.0,h
S2425-G0093,1,00:29.600000,MIN,32.0,TOR,16.0,D. DiVincenzo,MIN,DiVincenzo 28' 3PT Pullup Jump Shot (9 PTS) (Alexander-Walker 1 AST),Made Shot,Pullup Jump shot,-124,254,28,1,3.0,3.0,h
S2425-G0093,2,11:46,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 25' 3PT Jump Shot,Missed Shot,Jump Shot,-181,176,25,1,3.0,0.0,h
S2425-G0093,2,11:13,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 5' Driving Layup,Missed Shot,Driving Layup Shot,36,33,5,1,2.0,0.0,h
S2425-G0093,2,10:54,MIN,,TOR,,D. DiVincenzo,MIN,DiVincenzo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0093,2,10:13,MIN,34.0,TOR,20.0,D. DiVincenzo,MIN,DiVincenzo Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0093,2,10:13,MIN,35.0,TOR,20.0,D. DiVincenzo,MIN,DiVincenzo Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0093,2,09:06,MIN,,TOR,,D. DiVincenzo,MIN,DiVincenzo REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0093,2,08:25,MIN,,TOR,,D. DiVincenzo,MIN,SUB: Randle FOR DiVincenzo,Substitution,,0,0,0,0,,,h
S2425-G0093,3,01:37,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 24' 3PT Jump Shot,Missed Shot,Jump Shot,-141,194,24,1,3.0,0.0,h
S2425-G0093,3,01:11,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 26' 3PT Jump Shot,Missed Shot,Jump Shot,78,252,26,1,3.0,0.0,h
S2425-G0093,3,00:02.500000,MIN,89.0,TOR,72.0,D. DiVincenzo,MIN,DiVincenzo 12' Floating Jump Shot (13 PTS) (Edwards 4 AST),Made Shot,Floating Jump shot,16,122,12,1,2.0,2.0,h
S2425-G0093,4,11:06,MIN,,TOR,,D. DiVincenzo,MIN,DiVincenzo Bad Pass Turnover (P2.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0093,4,09:45,MIN,,TOR,,D. DiVincenzo,MIN,MISS DiVincenzo 3' Driving Layup,Missed Shot,Driving Layup Shot,32,11,3,1,2.0,0.0,h
S2425-G0093,4,08:39,MIN,,TOR,,D. DiVincenzo,MIN,DiVincenzo STEAL (1 STL),,,0,0,0,0,,,h
