game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,09:57,LAC,,POR,,D. Jones Jr.,LAC,MISS Jones Jr. 7' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,11,73,7,1,2.0,0.0,h
S2425-G0127,1,09:04,LAC,,POR,,D. Jones Jr.,LAC,MISS Jones Jr. 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-176,186,26,1,3.0,0.0,h
S2425-G0127,1,04:25,LAC,,POR,,D. Jones Jr.,LAC,Jones Jr. S.FOUL (P1.T3) (M.Smith),Foul,Shooting,0,0,0,0,,,h
S2425-G0127,1,04:25,LAC,,POR,,D. Jones Jr.,LAC,SUB: Dunn FOR Jones Jr.,Substitution,,0,0,0,0,,,h
S2425-G0127,2,05:50,LAC,,POR,,D. Jones Jr.,LAC,Jones Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,2,05:21,LAC,,POR,,D. Jones Jr.,LAC,MISS Jones Jr. 9' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-85,42,9,1,2.0,0.0,h
S2425-G0127,2,04:40,LAC,,POR,,D. Jones Jr.,LAC,Jones Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,2,04:15,LAC,40.0,POR,44.0,D. Jones Jr.,LAC,Jones Jr. 2' Alley Oop Dunk (2 PTS) (Harden 5 AST),Made Shot,Alley Oop Dunk Shot,10,12,2,1,2.0,2.0,h
S2425-G0127,2,01:34,LAC,,POR,,D. Jones Jr.,LAC,MISS Jones Jr. 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,161,199,26,1,3.0,0.0,h
S2425-G0127,2,01:12,LAC,,POR,,D. Jones Jr.,LAC,Jones Jr. REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,2,00:41.100000,LAC,,POR,,D. Jones Jr.,LAC,Jones Jr. REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,3,11:17,LAC,53.0,POR,57.0,D. Jones Jr.,LAC,Jones Jr. 3PT Jump Shot (5 PTS) (Powell 2 AST),Made Shot,Jump Shot,-224,-12,0,1,3.0,3.0,h
S2425-G0127,3,08:57,LAC,,POR,,D. Jones Jr.,LAC,MISS Jones Jr. 6' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-15,62,6,1,2.0,0.0,h
S2425-G0127,3,08:49,LAC,,POR,,D. Jones Jr.,LAC,Jones Jr. REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,3,08:49,LAC,63.0,POR,65.0,D. Jones Jr.,LAC,Jones Jr. Tip Layup Shot (7 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0127,3,07:50,LAC,65.0,POR,70.0,D. Jones Jr.,LAC,Jones Jr. 2' Cutting Dunk Shot (9 PTS) (Harden 7 AST),Made Shot,Cutting Dunk Shot,18,-2,2,1,2.0,2.0,h
