game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0095,1,02:04,PHX,,DAL,,D. Lee,PHX,MISS Lee 3PT Jump Shot,Missed Shot,Jump Shot,223,-6,0,1,3.0,0.0,h
S2425-G0095,1,00:07.800000,PHX,,DAL,,D. Lee,PHX,SUB: Ighodaro FOR Lee,Substitution,,0,0,0,0,,,h
S2425-G0095,2,06:28,PHX,,DAL,,D. Lee,PHX,Lee REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0095,2,06:15,PHX,,DAL,,D. Lee,PHX,MISS Lee 3PT Jump Shot,Missed Shot,Jump Shot,225,-10,0,1,3.0,0.0,h
S2425-G0095,2,02:00,PHX,,DAL,,D. Lee,PHX,SUB: O'Neale FOR Lee,Substitution,,0,0,0,0,,,h
S2425-G0095,3,02:14,PHX,85.0,DAL,76.0,D. Lee,PHX,Lee 4' Driving Floating Jump Shot (2 PTS) (O'Neale 3 AST),Made Shot,Driving Floating Jump Shot,-29,31,4,1,2.0,2.0,h
S2425-G0095,3,01:55,PHX,,DAL,,D. Lee,PHX,Lee REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0095,3,00:24.200000,PHX,,DAL,,D. Lee,PHX,SUB: Ighodaro FOR Lee,Substitution,,0,0,0,0,,,h
S2425-G0095,4,11:44,PHX,,DAL,,D. Lee,PHX,Lee OFF.Foul (P1) (T.Ford),Foul,Offensive,0,0,0,0,,,h
S2425-G0095,4,11:44,PHX,,DAL,,D. Lee,PHX,Lee Offensive Foul Turnover (P1.T9),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0095,4,10:00,PHX,,DAL,,D. Lee,PHX,Lee REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0095,4,09:42,PHX,,DAL,,D. Lee,PHX,SUB: Durant FOR Lee,Substitution,,0,0,0,0,,,h
