game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0115,4,03:24,UTA,,SAC,,D. McDermott,SAC,MISS McDermott Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,0.0,v
S2425-G0115,4,03:24,UTA,89.0,SAC,110.0,D. McDermott,SAC,McDermott Free Throw 2 of 3 (1 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,v
S2425-G0115,4,03:24,UTA,89.0,SAC,111.0,D. McDermott,SAC,McDermott Free Throw 3 of 3 (2 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,v
S2425-G0115,4,02:57,UTA,,SAC,,D. McDermott,SAC,MISS McDermott 27' 3PT Jump Shot,Missed Shot,Jump Shot,-67,258,27,1,3.0,0.0,v
S2425-G0115,4,01:04,UTA,,SAC,,D. McDermott,SAC,MISS McDermott 26' 3PT Jump Shot,Missed Shot,Jump Shot,-203,159,26,1,3.0,0.0,v
S2425-G0115,4,00:38.600000,UTA,,SAC,,D. McDermott,SAC,MISS McDermott 26' 3PT Jump Shot,Missed Shot,Jump Shot,81,246,26,1,3.0,0.0,v
S2425-G0076,4,09:58,SAC,,MIN,,D. McDermott,SAC,McDermott P.FOUL (P1.T1) (J.Van Duyne),Foul,Personal,0,0,0,0,,,h
S2425-G0076,4,09:38,SAC,,MIN,,D. McDermott,SAC,MISS McDermott 27' 3PT Jump Shot,Missed Shot,Jump Shot,-1,273,27,1,3.0,0.0,h
S2425-G0076,4,07:04,SAC,,MIN,,D. McDermott,SAC,McDermott S.FOUL (P2.T3) (S.Mehta),Foul,Shooting,0,0,0,0,,,h
S2425-G0076,4,06:28,SAC,,MIN,,D. McDermott,SAC,SUB: Murray FOR McDermott,Substitution,,0,0,0,0,,,h
S2425-G0112,4,01:45,SAC,108.0,POR,90.0,D. McDermott,SAC,McDermott 26' 3PT Jump Shot (3 PTS) (Len 3 AST),Made Shot,Jump Shot,-100,243,26,1,3.0,3.0,h
S2425-G0112,4,01:12,SAC,111.0,POR,92.0,D. McDermott,SAC,McDermott 27' 3PT Jump Shot (6 PTS) (Len 4 AST),Made Shot,Jump Shot,-89,251,27,1,3.0,3.0,h
S2425-G0112,4,00:42.800000,SAC,,POR,,D. McDermott,SAC,MISS McDermott 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-25,-4,3,1,2.0,0.0,h
