game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0101,1,01:41,GSW,31.0,LAC,30.0,D. Melton,GSW,Melton 25' 3PT Running Jump Shot (3 PTS) (Podziemski 2 AST),Made Shot,Running Jump Shot,-135,205,25,1,3.0,3.0,h
S2425-G0101,1,00:47,GSW,,LAC,,D. Melton,GSW,MISS Melton 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,142,215,26,1,3.0,0.0,h
S2425-G0101,2,08:54,GSW,,LAC,,D. Melton,GSW,Melton BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0101,2,08:52,GSW,,LAC,,D. Melton,GSW,Melton AWAY.FROM.PLAY.FOUL (P1.T2) (C.Kirkland),Foul,Away From Play,0,0,0,0,,,h
S2425-G0101,2,08:14,GSW,,LAC,,D. Melton,GSW,SUB: Green FOR Melton,Substitution,,0,0,0,0,,,h
S2425-G0101,3,00:24.200000,GSW,79.0,LAC,83.0,D. Melton,GSW,Melton 7' Layup (5 PTS),Made Shot,Layup Shot,-44,50,7,1,2.0,2.0,h
S2425-G0101,3,00:06.200000,GSW,,LAC,,D. Melton,GSW,Melton P.FOUL (P2.T4) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2425-G0101,4,08:26,GSW,85.0,LAC,93.0,D. Melton,GSW,Melton 28' 3PT Running Jump Shot (8 PTS) (Podziemski 4 AST),Made Shot,Running Jump Shot,-175,215,28,1,3.0,3.0,h
S2425-G0101,4,04:40,GSW,,LAC,,D. Melton,GSW,Melton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,4,04:35,GSW,,LAC,,D. Melton,GSW,MISS Melton 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,36,254,26,1,3.0,0.0,h
S2425-G0101,4,04:25,GSW,,LAC,,D. Melton,GSW,SUB: Hield FOR Melton,Substitution,,0,0,0,0,,,h
S2425-G0072,1,02:55,POR,,GSW,,D. Melton,GSW,MISS Melton 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,174,175,25,1,3.0,0.0,v
S2425-G0072,1,02:25,POR,,GSW,,D. Melton,GSW,MISS Melton 26' 3PT Jump Shot,Missed Shot,Jump Shot,7,262,26,1,3.0,0.0,v
S2425-G0072,2,11:48,POR,21.0,GSW,24.0,D. Melton,GSW,Melton 25' 3PT Jump Shot (3 PTS) (Anderson 1 AST),Made Shot,Jump Shot,-216,123,25,1,3.0,3.0,v
S2425-G0072,2,10:32,POR,,GSW,,D. Melton,GSW,Melton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,2,08:53,POR,,GSW,,D. Melton,GSW,MISS Melton 25' 3PT Jump Shot,Missed Shot,Jump Shot,172,183,25,1,3.0,0.0,v
S2425-G0072,2,08:08,POR,29.0,GSW,30.0,D. Melton,GSW,Melton 24' 3PT Jump Shot (6 PTS) (Wiggins 1 AST),Made Shot,Jump Shot,-234,64,24,1,3.0,3.0,v
