game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0069,1,11:12,NOP,,CHI,,D. Murray,NOP,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,9,248,25,1,3.0,0.0,h
S2425-G0069,1,10:53,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,1,10:28,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,1,10:25,NOP,5.0,CHI,2.0,D. Murray,NOP,Murray Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0069,1,10:25,NOP,6.0,CHI,2.0,D. Murray,NOP,Murray Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0069,1,06:14,NOP,,CHI,,D. Murray,NOP,SUB: Hawkins FOR Murray,Substitution,,0,0,0,0,,,h
S2425-G0069,1,02:04,NOP,,CHI,,D. Murray,NOP,Murray Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0069,1,01:22,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,1,00:04.900000,NOP,,CHI,,D. Murray,NOP,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,-69,243,25,1,3.0,0.0,h
S2425-G0069,2,06:26,NOP,,CHI,,D. Murray,NOP,MISS Murray 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-78,53,9,1,2.0,0.0,h
S2425-G0069,2,05:16,NOP,,CHI,,D. Murray,NOP,Murray STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0069,2,03:35,NOP,,CHI,,D. Murray,NOP,MISS Murray 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,10,77,8,1,2.0,0.0,h
S2425-G0069,2,02:30,NOP,51.0,CHI,57.0,D. Murray,NOP,Murray Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0069,2,02:30,NOP,52.0,CHI,57.0,D. Murray,NOP,Murray Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0069,2,01:16,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,2,01:12,NOP,,CHI,,D. Murray,NOP,MISS Murray 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-67,243,25,1,3.0,0.0,h
S2425-G0069,3,10:24,NOP,,CHI,,D. Murray,NOP,MISS Murray 6' Driving Layup,Missed Shot,Driving Layup Shot,-7,62,6,1,2.0,0.0,h
S2425-G0069,3,10:19,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,3,10:12,NOP,65.0,CHI,63.0,D. Murray,NOP,Murray 2' Running Layup (6 PTS),Made Shot,Running Layup Shot,13,17,2,1,2.0,2.0,h
S2425-G0069,3,09:48,NOP,67.0,CHI,63.0,D. Murray,NOP,Murray 3' Running Finger Roll Layup (8 PTS) (McCollum 5 AST),Made Shot,Running Finger Roll Layup Shot,5,29,3,1,2.0,2.0,h
S2425-G0069,3,09:19,NOP,,CHI,,D. Murray,NOP,MISS Murray 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-2,91,9,1,2.0,0.0,h
S2425-G0069,3,06:05,NOP,,CHI,,D. Murray,NOP,MISS Murray 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-15,18,2,1,2.0,0.0,h
S2425-G0069,3,05:05,NOP,,CHI,,D. Murray,NOP,SUB: Hawkins FOR Murray,Substitution,,0,0,0,0,,,h
S2425-G0069,3,02:14,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,3,01:26,NOP,,CHI,,D. Murray,NOP,MISS Murray 4' Floating Jump Shot,Missed Shot,Floating Jump shot,5,36,4,1,2.0,0.0,h
S2425-G0069,3,00:57.600000,NOP,,CHI,,D. Murray,NOP,MISS Murray 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,80,80,11,1,2.0,0.0,h
S2425-G0069,3,00:35.400000,NOP,95.0,CHI,83.0,D. Murray,NOP,Murray 3' Driving Layup (10 PTS),Made Shot,Driving Layup Shot,15,26,3,1,2.0,2.0,h
S2425-G0069,4,05:33,NOP,113.0,CHI,97.0,D. Murray,NOP,Murray 18' Pullup Jump Shot (12 PTS),Made Shot,Pullup Jump shot,72,163,18,1,2.0,2.0,h
S2425-G0069,4,02:25,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,4,02:21,NOP,,CHI,,D. Murray,NOP,MISS Murray Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,0.0,h
S2425-G0069,4,02:21,NOP,120.0,CHI,107.0,D. Murray,NOP,Murray Free Throw 2 of 3 (13 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,h
S2425-G0069,4,02:21,NOP,121.0,CHI,107.0,D. Murray,NOP,Murray Free Throw 3 of 3 (14 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,h
S2425-G0069,4,02:05,NOP,,CHI,,D. Murray,NOP,Murray REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0069,4,01:04,NOP,,CHI,,D. Murray,NOP,MISS Murray 13' Jump Shot,Missed Shot,Jump Shot,-130,26,13,1,2.0,0.0,h
S2425-G0069,4,01:00,NOP,,CHI,,D. Murray,NOP,SUB: Hawkins FOR Murray,Substitution,,0,0,0,0,,,h
