game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0096,1,11:05,LAL,,SAC,,D. Sabonis,SAC,Sabonis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,1,11:01,LAL,0.0,SAC,2.0,D. Sabonis,SAC,Sabonis 2' Running Dunk (2 PTS) (Fox 1 AST),Made Shot,Running Dunk Shot,2,16,2,1,2.0,2.0,v
S2425-G0096,1,10:38,LAL,,SAC,,D. Sabonis,SAC,Sabonis S.FOUL (P1.T1) (S.Twardoski),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,1,09:39,LAL,,SAC,,D. Sabonis,SAC,Sabonis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,1,09:30,LAL,,SAC,,D. Sabonis,SAC,MISS Sabonis 27' 3PT Jump Shot,Missed Shot,Jump Shot,-18,265,27,1,3.0,0.0,v
S2425-G0096,1,08:48,LAL,,SAC,,D. Sabonis,SAC,MISS Sabonis 2' Running Layup,Missed Shot,Running Layup Shot,-7,20,2,1,2.0,0.0,v
S2425-G0096,1,05:37,LAL,,SAC,,D. Sabonis,SAC,Sabonis REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,1,03:11,LAL,21.0,SAC,18.0,D. Sabonis,SAC,Sabonis 1' Running Dunk (4 PTS),Made Shot,Running Dunk Shot,1,10,1,1,2.0,2.0,v
S2425-G0096,1,02:17,LAL,,SAC,,D. Sabonis,SAC,Sabonis S.FOUL (P2.T4) (D.Richardson),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,1,02:17,LAL,,SAC,,D. Sabonis,SAC,SUB: Len FOR Sabonis,Substitution,,0,0,0,0,,,v
S2425-G0096,2,08:19,LAL,42.0,SAC,29.0,D. Sabonis,SAC,Sabonis 5' Driving Layup (6 PTS),Made Shot,Driving Layup Shot,-23,47,5,1,2.0,2.0,v
S2425-G0096,2,07:46,LAL,44.0,SAC,30.0,D. Sabonis,SAC,Sabonis Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0096,2,07:46,LAL,44.0,SAC,31.0,D. Sabonis,SAC,Sabonis Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0096,2,05:06,LAL,51.0,SAC,41.0,D. Sabonis,SAC,Sabonis 6' Driving Layup (10 PTS) (Fox 5 AST),Made Shot,Driving Layup Shot,-42,36,6,1,2.0,2.0,v
