game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,4,04:25,MIA,,ORL,,G. Bitadze,ORL,MISS Bitadze 24' 3PT Jump Shot,Missed Shot,Jump Shot,-169,177,24,1,3.0,0.0,v
S2425-G0065,4,03:25,MIA,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,03:04,MIA,,ORL,,G. Bitadze,ORL,Bitadze P.FOUL (P1.T4) (J.Butler),Foul,Personal,0,0,0,0,,,v
S2425-G0065,4,02:19,MIA,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,02:00,MIA,,ORL,,G. Bitadze,ORL,Bitadze Traveling Turnover (P1.T12),Turnover,Traveling,0,0,0,0,,,v
S2425-G0065,4,00:52.900000,MIA,,ORL,,G. Bitadze,ORL,Bitadze Bad Pass Turnover (P2.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0092,2,11:23,MEM,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0092,2,11:23,MEM,35.0,ORL,26.0,G. Bitadze,ORL,Bitadze Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0092,2,10:12,MEM,,ORL,,G. Bitadze,ORL,Bitadze BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0092,2,08:25,MEM,,ORL,,G. Bitadze,ORL,SUB: Carter Jr. FOR Bitadze,Substitution,,0,0,0,0,,,v
S2425-G0092,4,03:03,MEM,,ORL,,G. Bitadze,ORL,SUB: Queen FOR Bitadze,Substitution,,0,0,0,0,,,v
S2425-G0077,2,11:19,ORL,,BKN,,G. Bitadze,ORL,Bitadze REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0077,2,09:39,ORL,,BKN,,G. Bitadze,ORL,MISS Bitadze 2' Alley Oop Dunk,Missed Shot,Alley Oop Dunk Shot,18,1,2,1,2.0,0.0,h
S2425-G0077,2,09:39,ORL,,BKN,,G. Bitadze,ORL,Bitadze REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0077,2,09:39,ORL,,BKN,,G. Bitadze,ORL,MISS Bitadze Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0077,2,09:39,ORL,28.0,BKN,28.0,G. Bitadze,ORL,Bitadze Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0077,2,07:46,ORL,35.0,BKN,31.0,G. Bitadze,ORL,Bitadze 2' Cutting Layup Shot (3 PTS) (Black 3 AST),Made Shot,Cutting Layup Shot,-7,16,2,1,2.0,2.0,h
S2425-G0077,2,07:03,ORL,,BKN,,G. Bitadze,ORL,Jump Ball (CC) Bitadze vs. Simmons: Tip to Wilson,Jump Ball,Coach Challenge,0,0,0,0,,,h
S2425-G0077,2,05:36,ORL,,BKN,,G. Bitadze,ORL,SUB: Carter Jr. FOR Bitadze,Substitution,,0,0,0,0,,,h
