game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,05:15,ATL,21.0,CHA,12.0,G. Mathews,ATL,Mathews 24' 3PT Jump Shot (3 PTS) (Young 2 AST),Made Shot,Jump Shot,202,134,24,1,3.0,3.0,h
S2425-G0079,1,02:52,ATL,,CHA,,G. Mathews,ATL,Mathews REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,01:30,ATL,28.0,CHA,16.0,G. Mathews,ATL,Mathews 3PT Jump Shot (6 PTS) (Okongwu 1 AST),Made Shot,Jump Shot,224,-20,0,1,3.0,3.0,h
S2425-G0079,1,00:06.800000,ATL,,CHA,,G. Mathews,ATL,Mathews S.FOUL (P1.T4) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,1,00:00.400000,ATL,,CHA,,G. Mathews,ATL,MISS Mathews 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,225,8,0,1,3.0,0.0,h
S2425-G0079,2,09:11,ATL,,CHA,,G. Mathews,ATL,Mathews S.FOUL (P2.PN) (B.Forte),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,08:35,ATL,40.0,CHA,26.0,G. Mathews,ATL,Mathews Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,2,08:35,ATL,41.0,CHA,26.0,G. Mathews,ATL,Mathews Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,2,06:14,ATL,,CHA,,G. Mathews,ATL,SUB: Johnson FOR Mathews,Substitution,,0,0,0,0,,,h
S2425-G0079,4,06:50,ATL,,CHA,,G. Mathews,ATL,SUB: Okongwu FOR Mathews,Substitution,,0,0,0,0,,,h
S2425-G0121,1,05:25,WAS,,ATL,,G. Mathews,ATL,Mathews STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0121,1,02:37,WAS,,ATL,,G. Mathews,ATL,Mathews S.FOUL (P1.T4) (S.Wright),Foul,Shooting,0,0,0,0,,,v
S2425-G0121,1,01:55,WAS,,ATL,,G. Mathews,ATL,Mathews STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0121,1,01:52,WAS,,ATL,,G. Mathews,ATL,MISS Mathews 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-221,119,25,1,3.0,0.0,v
S2425-G0121,1,01:31,WAS,31.0,ATL,32.0,G. Mathews,ATL,Mathews 24' 3PT Jump Shot (3 PTS) (Young 3 AST),Made Shot,Jump Shot,232,38,24,1,3.0,3.0,v
