game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0106,2,11:03,NYK,,CLE,,I. Okoro,CLE,Okoro STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0106,2,08:49,NYK,,CLE,,I. Okoro,CLE,MISS Okoro 3PT Jump Shot,Missed Shot,Jump Shot,-230,28,0,1,3.0,0.0,v
S2425-G0106,2,05:28,NYK,,CLE,,I. Okoro,CLE,MISS Okoro 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-13,27,3,1,2.0,0.0,v
S2425-G0106,2,03:29,NYK,,CLE,,I. Okoro,CLE,SUB: Mobley FOR Okoro,Substitution,,0,0,0,0,,,v
S2425-G0080,2,10:32,CLE,,DET,,I. Okoro,CLE,Okoro REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,2,08:54,CLE,,DET,,I. Okoro,CLE,Okoro REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,2,04:24,CLE,50.0,DET,48.0,I. Okoro,CLE,Okoro 2' Cutting Layup Shot (2 PTS) (Jerome 2 AST),Made Shot,Cutting Layup Shot,10,22,2,1,2.0,2.0,h
S2425-G0080,2,03:55,CLE,,DET,,I. Okoro,CLE,SUB: LeVert FOR Okoro,Substitution,,0,0,0,0,,,h
S2425-G0080,4,08:26,CLE,,DET,,I. Okoro,CLE,Okoro S.FOUL (P1.T4) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0080,4,07:59,CLE,98.0,DET,86.0,I. Okoro,CLE,Okoro 1' Dunk (4 PTS) (Mobley 3 AST),Made Shot,Dunk Shot,-5,11,1,1,2.0,2.0,h
S2425-G0080,4,07:51,CLE,,DET,,I. Okoro,CLE,Okoro P.FOUL (P2.PN) (D.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0080,4,07:03,CLE,,DET,,I. Okoro,CLE,Okoro L.B.FOUL (P3.PN) (D.Taylor),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0090,2,10:13,WAS,,CLE,,I. Okoro,CLE,Okoro REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0090,2,10:10,WAS,25.0,CLE,29.0,I. Okoro,CLE,Okoro Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0090,2,10:10,WAS,25.0,CLE,30.0,I. Okoro,CLE,Okoro Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0090,2,08:23,WAS,,CLE,,I. Okoro,CLE,Okoro BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0090,2,07:18,WAS,,CLE,,I. Okoro,CLE,Okoro S.FOUL (P1.T1) (A.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0090,2,07:06,WAS,,CLE,,I. Okoro,CLE,Okoro Step Out of Bounds Turnover (P1.T7),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0090,2,05:13,WAS,,CLE,,I. Okoro,CLE,Okoro S.FOUL (P2.T2) (M.Boland),Foul,Shooting,0,0,0,0,,,v
S2425-G0090,2,05:13,WAS,,CLE,,I. Okoro,CLE,SUB: LeVert FOR Okoro,Substitution,,0,0,0,0,,,v
S2425-G0090,4,11:47,WAS,,CLE,,I. Okoro,CLE,MISS Okoro 26' 3PT Jump Shot,Missed Shot,Jump Shot,55,252,26,1,3.0,0.0,v
S2425-G0090,4,09:27,WAS,,CLE,,I. Okoro,CLE,Okoro STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0090,4,08:38,WAS,,CLE,,I. Okoro,CLE,Okoro REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0090,4,08:31,WAS,,CLE,,I. Okoro,CLE,MISS Okoro 4' Driving Layup,Missed Shot,Driving Layup Shot,33,29,4,1,2.0,0.0,v
S2425-G0090,4,08:29,WAS,,CLE,,I. Okoro,CLE,Okoro REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0090,4,06:53,WAS,,CLE,,I. Okoro,CLE,Okoro BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0090,4,04:34,WAS,,CLE,,I. Okoro,CLE,Okoro REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0090,4,03:22,WAS,,CLE,,I. Okoro,CLE,MISS Okoro Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,0.0,v
