game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,04:56,TOR,,PHI,,J. Battle,TOR,Battle P.FOUL (P1.T3) (T.Mirkovich),Foul,Personal,0,0,0,0,,,h
S2425-G0078,1,04:38,TOR,23.0,PHI,17.0,J. Battle,TOR,Battle 1' Cutting Layup Shot (2 PTS) (Pöltl 1 AST),Made Shot,Cutting Layup Shot,5,11,1,1,2.0,2.0,h
S2425-G0078,1,04:22,TOR,,PHI,,J. Battle,TOR,Battle S.FOUL (P2.T4) (T.Brothers),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,1,01:13,TOR,,PHI,,J. Battle,TOR,MISS Battle Free Throw Technical,Free Throw,Free Throw Technical,0,0,0,0,1.0,0.0,h
S2425-G0078,1,00:42.500000,TOR,,PHI,,J. Battle,TOR,Battle S.FOUL (P3.PN) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,1,00:42.500000,TOR,,PHI,,J. Battle,TOR,SUB: Dick FOR Battle,Substitution,,0,0,0,0,,,h
S2425-G0078,3,03:42,TOR,,PHI,,J. Battle,TOR,Battle P.FOUL (P4.PN) (P.Fraher),Foul,Personal,0,0,0,0,,,h
S2425-G0078,3,03:20,TOR,,PHI,,J. Battle,TOR,Battle REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,02:22,TOR,,PHI,,J. Battle,TOR,Battle REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,00:51,TOR,,PHI,,J. Battle,TOR,Battle REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,00:27.700000,TOR,,PHI,,J. Battle,TOR,Battle P.FOUL (P5.PN) (T.Mirkovich),Foul,Personal,0,0,0,0,,,h
S2425-G0078,4,11:39,TOR,,PHI,,J. Battle,TOR,MISS Battle Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0078,4,11:39,TOR,84.0,PHI,77.0,J. Battle,TOR,Battle Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,4,09:46,TOR,,PHI,,J. Battle,TOR,Battle REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,09:41,TOR,,PHI,,J. Battle,TOR,MISS Battle 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,138,218,26,1,3.0,0.0,h
S2425-G0078,4,09:40,TOR,,PHI,,J. Battle,TOR,Battle REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,09:11,TOR,92.0,PHI,79.0,J. Battle,TOR,Battle 26' 3PT Jump Shot (6 PTS) (Pöltl 2 AST),Made Shot,Jump Shot,214,145,26,1,3.0,3.0,h
S2425-G0078,4,08:13,TOR,95.0,PHI,79.0,J. Battle,TOR,Battle 24' 3PT Jump Shot (9 PTS) (Carton 3 AST),Made Shot,Jump Shot,-234,63,24,1,3.0,3.0,h
S2425-G0078,4,07:29,TOR,,PHI,,J. Battle,TOR,Battle REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,07:29,TOR,97.0,PHI,79.0,J. Battle,TOR,Battle 7' Putback Layup (11 PTS),Made Shot,Putback Layup Shot,7,72,7,1,2.0,2.0,h
S2425-G0078,4,07:29,TOR,98.0,PHI,79.0,J. Battle,TOR,Battle Free Throw 1 of 1 (12 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0078,4,07:16,TOR,,PHI,,J. Battle,TOR,Battle S.FOUL (P6.T1) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,4,07:16,TOR,,PHI,,J. Battle,TOR,SUB: Barnes FOR Battle,Substitution,,0,0,0,0,,,h
S2425-G0107,2,10:41,TOR,,DEN,,J. Battle,TOR,Battle BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0107,2,07:44,TOR,,DEN,,J. Battle,TOR,Battle P.FOUL (P1.T4) (S.Mitchell),Foul,Personal,0,0,0,0,,,h
S2425-G0107,2,05:55,TOR,,DEN,,J. Battle,TOR,Battle P.FOUL (P2.PN) (J.Capers),Foul,Personal,0,0,0,0,,,h
S2425-G0107,2,05:55,TOR,,DEN,,J. Battle,TOR,SUB: Shead FOR Battle,Substitution,,0,0,0,0,,,h
S2425-G0107,3,04:08,TOR,82.0,DEN,73.0,J. Battle,TOR,Battle 1' Cutting Layup Shot (2 PTS) (Shead 5 AST),Made Shot,Cutting Layup Shot,5,3,1,1,2.0,2.0,h
S2425-G0107,3,03:14,TOR,,DEN,,J. Battle,TOR,Battle S.FOUL (P3.PN) (J.Capers),Foul,Shooting,0,0,0,0,,,h
S2425-G0107,3,02:22,TOR,,DEN,,J. Battle,TOR,Battle REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0107,3,02:22,TOR,87.0,DEN,77.0,J. Battle,TOR,Battle Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0107,3,02:22,TOR,88.0,DEN,77.0,J. Battle,TOR,Battle Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
