game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,11:39,NYK,,IND,,J. Brunson,NYK,MISS Brunson 25' 3PT Jump Shot,Missed Shot,Jump Shot,124,215,25,1,3.0,0.0,h
S2425-G0081,1,09:43,NYK,,IND,,J. Brunson,NYK,MISS Brunson 1' Driving Layup,Missed Shot,Driving Layup Shot,9,-9,1,1,2.0,0.0,h
S2425-G0081,1,09:20,NYK,,IND,,J. Brunson,NYK,Brunson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,09:08,NYK,,IND,,J. Brunson,NYK,MISS Brunson 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-39,60,7,1,2.0,0.0,h
S2425-G0081,1,05:42,NYK,,IND,,J. Brunson,NYK,MISS Brunson 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-15,44,5,1,2.0,0.0,h
S2425-G0081,1,04:29,NYK,14.0,IND,11.0,J. Brunson,NYK,Brunson 8' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,-29,78,8,1,2.0,2.0,h
S2425-G0081,1,03:58,NYK,17.0,IND,14.0,J. Brunson,NYK,Brunson 28' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,6,275,28,1,3.0,3.0,h
S2425-G0081,1,02:53,NYK,,IND,,J. Brunson,NYK,MISS Brunson 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,167,189,25,1,3.0,0.0,h
S2425-G0081,1,02:07,NYK,,IND,,J. Brunson,NYK,SUB: Payne FOR Brunson,Substitution,,0,0,0,0,,,h
S2425-G0081,1,00:01.700000,NYK,,IND,,J. Brunson,NYK,MISS Brunson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0081,1,00:01.700000,NYK,25.0,IND,24.0,J. Brunson,NYK,Brunson Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,2,06:42,NYK,40.0,IND,35.0,J. Brunson,NYK,Brunson 19' Jump Shot (8 PTS),Made Shot,Jump Shot,191,-10,19,1,2.0,2.0,h
S2425-G0081,2,05:51,NYK,,IND,,J. Brunson,NYK,MISS Brunson 2' Driving Layup,Missed Shot,Driving Layup Shot,-20,-8,2,1,2.0,0.0,h
S2425-G0081,2,04:16,NYK,,IND,,J. Brunson,NYK,Brunson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,04:07,NYK,48.0,IND,37.0,J. Brunson,NYK,Brunson 2' Driving Finger Roll Layup (10 PTS),Made Shot,Driving Finger Roll Layup Shot,-21,7,2,1,2.0,2.0,h
S2425-G0081,2,02:53,NYK,,IND,,J. Brunson,NYK,Brunson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,01:03,NYK,58.0,IND,43.0,J. Brunson,NYK,Brunson 1' Driving Finger Roll Layup (12 PTS),Made Shot,Driving Finger Roll Layup Shot,5,4,1,1,2.0,2.0,h
S2425-G0081,2,00:36.200000,NYK,,IND,,J. Brunson,NYK,MISS Brunson 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,10,54,5,1,2.0,0.0,h
S2425-G0081,3,09:59,NYK,,IND,,J. Brunson,NYK,MISS Brunson 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-83,125,15,1,2.0,0.0,h
S2425-G0081,3,09:27,NYK,,IND,,J. Brunson,NYK,Brunson REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,07:47,NYK,,IND,,J. Brunson,NYK,Brunson Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0081,3,07:28,NYK,,IND,,J. Brunson,NYK,MISS Brunson 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,47,95,11,1,2.0,0.0,h
S2425-G0081,3,05:20,NYK,74.0,IND,55.0,J. Brunson,NYK,Brunson 8' Driving Floating Jump Shot (14 PTS),Made Shot,Driving Floating Jump Shot,10,84,8,1,2.0,2.0,h
S2425-G0081,3,03:31,NYK,81.0,IND,59.0,J. Brunson,NYK,Brunson 1' Driving Layup (16 PTS),Made Shot,Driving Layup Shot,-9,6,1,1,2.0,2.0,h
S2425-G0081,3,03:31,NYK,82.0,IND,59.0,J. Brunson,NYK,Brunson Free Throw 1 of 1 (17 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0081,3,02:20,NYK,88.0,IND,60.0,J. Brunson,NYK,Brunson 24' 3PT Pullup Jump Shot (20 PTS),Made Shot,Pullup Jump shot,-100,222,24,1,3.0,3.0,h
S2425-G0081,3,01:57,NYK,,IND,,J. Brunson,NYK,Brunson REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,01:52,NYK,,IND,,J. Brunson,NYK,SUB: Anunoby FOR Brunson,Substitution,,0,0,0,0,,,h
