game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,02:15,WAS,29.0,ATL,29.0,J. Butler,WAS,Butler 6' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,-55,17,6,1,2.0,2.0,h
S2425-G0121,1,01:49,WAS,,ATL,,J. Butler,WAS,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,11:54,WAS,,ATL,,J. Butler,WAS,Butler Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0121,2,11:31,WAS,,ATL,,J. Butler,WAS,MISS Butler 3' Driving Hook Shot,Missed Shot,Driving Hook Shot,27,12,3,1,2.0,0.0,h
S2425-G0121,2,09:15,WAS,,ATL,,J. Butler,WAS,Butler REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,07:19,WAS,,ATL,,J. Butler,WAS,SUB: Valančiūnas FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0073,4,03:41,WAS,92.0,BOS,117.0,J. Butler,WAS,Butler 4' Layup (2 PTS),Made Shot,Layup Shot,36,24,4,1,2.0,2.0,h
S2425-G0073,4,03:41,WAS,93.0,BOS,117.0,J. Butler,WAS,Butler Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0073,4,03:28,WAS,,BOS,,J. Butler,WAS,Butler STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0073,4,03:23,WAS,,BOS,,J. Butler,WAS,MISS Butler 3' Running Layup,Missed Shot,Running Layup Shot,28,-6,3,1,2.0,0.0,h
S2425-G0073,4,03:11,WAS,,BOS,,J. Butler,WAS,MISS Butler 3' Driving Layup,Missed Shot,Driving Layup Shot,-27,-2,3,1,2.0,0.0,h
S2425-G0073,4,03:06,WAS,,BOS,,J. Butler,WAS,MISS Butler 2' Layup,Missed Shot,Layup Shot,17,-1,2,1,2.0,0.0,h
S2425-G0073,4,02:17,WAS,95.0,BOS,119.0,J. Butler,WAS,Butler 2' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,-20,6,2,1,2.0,2.0,h
S2425-G0073,4,02:17,WAS,96.0,BOS,119.0,J. Butler,WAS,Butler Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0073,4,00:24.300000,WAS,,BOS,,J. Butler,WAS,MISS Butler 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,176,224,28,1,3.0,0.0,h
S2425-G0065,1,11:03,MIA,,ORL,,J. Butler,MIA,MISS Butler 5' Jump Shot,Missed Shot,Jump Shot,-12,51,5,1,2.0,0.0,h
S2425-G0065,1,11:00,MIA,,ORL,,J. Butler,MIA,Butler REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,10:59,MIA,,ORL,,J. Butler,MIA,MISS Butler 5' Jump Shot,Missed Shot,Jump Shot,36,32,5,1,2.0,0.0,h
S2425-G0065,1,10:47,MIA,,ORL,,J. Butler,MIA,Butler REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,10:34,MIA,,ORL,,J. Butler,MIA,MISS Butler 3PT Jump Shot,Missed Shot,Jump Shot,232,30,0,1,3.0,0.0,h
S2425-G0065,1,07:43,MIA,,ORL,,J. Butler,MIA,MISS Butler Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0065,1,07:43,MIA,7.0,ORL,9.0,J. Butler,MIA,Butler Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,1,06:28,MIA,,ORL,,J. Butler,MIA,Butler REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,05:47,MIA,,ORL,,J. Butler,MIA,Butler STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0065,1,03:29,MIA,,ORL,,J. Butler,MIA,MISS Butler 3' Running Layup,Missed Shot,Running Layup Shot,-27,-4,3,1,2.0,0.0,h
S2425-G0065,1,03:07,MIA,,ORL,,J. Butler,MIA,SUB: Robinson FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0065,2,06:59,MIA,,ORL,,J. Butler,MIA,MISS Butler 24' 3PT Jump Shot,Missed Shot,Jump Shot,-228,77,24,1,3.0,0.0,h
S2425-G0065,2,06:08,MIA,47.0,ORL,43.0,J. Butler,MIA,Butler 2' Running Alley Oop Layup Shot (3 PTS) (Herro 2 AST),Made Shot,Running Alley Oop Layup Shot,17,-11,2,1,2.0,2.0,h
S2425-G0065,2,00:36,MIA,,ORL,,J. Butler,MIA,Butler REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,00:20.600000,MIA,,ORL,,J. Butler,MIA,MISS Butler 1' Floating Jump Shot,Missed Shot,Floating Jump shot,-7,13,1,1,2.0,0.0,h
S2425-G0065,2,00:04.300000,MIA,,ORL,,J. Butler,MIA,Butler BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0065,3,09:25,MIA,,ORL,,J. Butler,MIA,MISS Butler 2' Layup,Missed Shot,Layup Shot,15,4,2,1,2.0,0.0,h
S2425-G0065,3,09:07,MIA,,ORL,,J. Butler,MIA,Butler S.FOUL (P1.T2) (C.Washington),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,3,05:57,MIA,,ORL,,J. Butler,MIA,Butler Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0065,3,02:24,MIA,,ORL,,J. Butler,MIA,SUB: Robinson FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0090,2,08:23,WAS,,CLE,,J. Butler,WAS,MISS Butler 6' Driving Layup,Missed Shot,Driving Layup Shot,-49,36,6,1,2.0,0.0,h
S2425-G0090,2,07:58,WAS,,CLE,,J. Butler,WAS,Butler STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0090,2,07:56,WAS,30.0,CLE,33.0,J. Butler,WAS,Butler 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-6,5,1,1,2.0,2.0,h
S2425-G0090,2,06:08,WAS,,CLE,,J. Butler,WAS,SUB: Carrington FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0090,4,04:10,WAS,106.0,CLE,124.0,J. Butler,WAS,Butler 6' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,-20,57,6,1,2.0,2.0,h
S2425-G0090,4,03:28,WAS,,CLE,,J. Butler,WAS,Butler S.FOUL (P1.PN) (M.Boland),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,4,02:40,WAS,,CLE,,J. Butler,WAS,Butler S.FOUL (P2.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,4,02:20,WAS,,CLE,,J. Butler,WAS,Butler BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0090,4,01:47,WAS,111.0,CLE,130.0,J. Butler,WAS,Butler 28' 3PT Jump Shot (7 PTS) (Davis 1 AST),Made Shot,Jump Shot,-26,277,28,1,3.0,3.0,h
S2425-G0090,4,01:36,WAS,,CLE,,J. Butler,WAS,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0090,4,01:06,WAS,114.0,CLE,130.0,J. Butler,WAS,Butler Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0090,4,01:06,WAS,,CLE,,J. Butler,WAS,MISS Butler Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0088,1,11:41,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,1,09:26,CHA,,MIA,,J. Butler,MIA,MISS Butler 5' Reverse Layup,Missed Shot,Reverse Layup Shot,44,15,5,1,2.0,0.0,v
S2425-G0088,1,09:07,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,1,08:09,CHA,,MIA,,J. Butler,MIA,Butler L.B.FOUL (P1.T1) (K.Lane),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0088,1,05:39,CHA,,MIA,,J. Butler,MIA,MISS Butler 14' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-135,22,14,1,2.0,0.0,v
S2425-G0088,1,05:21,CHA,,MIA,,J. Butler,MIA,SUB: Jaquez Jr. FOR Butler,Substitution,,0,0,0,0,,,v
S2425-G0088,1,02:56,CHA,,MIA,,J. Butler,MIA,MISS Butler Free Throw Technical,Free Throw,Free Throw Technical,0,0,0,0,1.0,0.0,v
S2425-G0088,1,00:27.200000,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,2,11:43,CHA,23.0,MIA,25.0,J. Butler,MIA,Butler 1' Driving Layup (2 PTS) (Bryant 1 AST),Made Shot,Driving Layup Shot,-6,9,1,1,2.0,2.0,v
S2425-G0088,2,11:13,CHA,23.0,MIA,27.0,J. Butler,MIA,Butler 19' Jump Shot (4 PTS) (Bryant 2 AST),Made Shot,Jump Shot,-22,184,19,1,2.0,2.0,v
S2425-G0088,2,10:43,CHA,25.0,MIA,29.0,J. Butler,MIA,Butler 2' Driving Layup (6 PTS) (Jaquez Jr. 3 AST),Made Shot,Driving Layup Shot,-18,-5,2,1,2.0,2.0,v
S2425-G0088,2,10:43,CHA,25.0,MIA,30.0,J. Butler,MIA,Butler Free Throw 1 of 1 (7 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0088,2,07:40,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,2,07:40,CHA,29.0,MIA,36.0,J. Butler,MIA,Butler Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0088,2,07:40,CHA,29.0,MIA,37.0,J. Butler,MIA,Butler Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0088,2,06:48,CHA,,MIA,,J. Butler,MIA,Butler Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0088,2,06:44,CHA,,MIA,,J. Butler,MIA,SUB: Rozier FOR Butler,Substitution,,0,0,0,0,,,v
S2425-G0088,3,11:46,CHA,,MIA,,J. Butler,MIA,MISS Butler 2' Driving Layup,Missed Shot,Driving Layup Shot,13,16,2,1,2.0,0.0,v
S2425-G0088,3,11:02,CHA,,MIA,,J. Butler,MIA,Butler BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0088,3,09:53,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,3,07:41,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,3,07:41,CHA,,MIA,,J. Butler,MIA,MISS Butler Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0088,3,06:37,CHA,,MIA,,J. Butler,MIA,Butler REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,v
