game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,10:06,LAC,,POR,,J. Grant,POR,Grant S.FOUL (P1.T1) (E.Dalen),Foul,Shooting,0,0,0,0,,,v
S2425-G0127,1,08:23,LAC,,POR,,J. Grant,POR,MISS Grant 1' Driving Layup,Missed Shot,Driving Layup Shot,-11,-4,1,1,2.0,0.0,v
S2425-G0127,1,07:37,LAC,,POR,,J. Grant,POR,SUB: Henderson FOR Grant,Substitution,,0,0,0,0,,,v
S2425-G0127,1,02:03,LAC,,POR,,J. Grant,POR,Grant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,01:44,LAC,,POR,,J. Grant,POR,MISS Grant 26' 3PT Jump Shot,Missed Shot,Jump Shot,-142,216,26,1,3.0,0.0,v
S2425-G0127,1,00:56.400000,LAC,,POR,,J. Grant,POR,MISS Grant 17' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,129,103,17,1,2.0,0.0,v
S2425-G0127,1,00:52.600000,LAC,,POR,,J. Grant,POR,Grant REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,00:48.100000,LAC,26.0,POR,22.0,J. Grant,POR,Grant 3' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,15,31,3,1,2.0,2.0,v
S2425-G0127,2,11:15,LAC,,POR,,J. Grant,POR,MISS Grant 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,20,16,3,1,2.0,0.0,v
S2425-G0127,2,10:43,LAC,30.0,POR,27.0,J. Grant,POR,Grant 24' 3PT Jump Shot (5 PTS) (Henderson 2 AST),Made Shot,Jump Shot,-240,-32,24,1,3.0,3.0,v
S2425-G0127,2,09:19,LAC,,POR,,J. Grant,POR,Grant Double Dribble Turnover (P1.T4),Turnover,Double Dribble,0,0,0,0,,,v
S2425-G0127,2,09:09,LAC,,POR,,J. Grant,POR,SUB: Ayton FOR Grant,Substitution,,0,0,0,0,,,v
S2425-G0127,3,10:17,LAC,55.0,POR,63.0,J. Grant,POR,Grant 26' 3PT Jump Shot (8 PTS) (Simons 2 AST),Made Shot,Jump Shot,239,104,26,1,3.0,3.0,v
S2425-G0127,3,07:07,LAC,,POR,,J. Grant,POR,Grant Lost Ball Turnover (P2.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0127,3,05:23,LAC,,POR,,J. Grant,POR,SUB: Henderson FOR Grant,Substitution,,0,0,0,0,,,v
S2425-G0127,3,03:08,LAC,,POR,,J. Grant,POR,MISS Grant 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,163,223,28,1,3.0,0.0,v
S2425-G0127,3,02:59,LAC,,POR,,J. Grant,POR,MISS Grant 2' Driving Layup,Missed Shot,Driving Layup Shot,-5,23,2,1,2.0,0.0,v
S2425-G0127,3,01:56,LAC,,POR,,J. Grant,POR,Grant Violation:Defensive Goaltending (M.Smith),Violation,Defensive Goaltending,0,0,0,0,,,v
S2425-G0127,3,01:30,LAC,,POR,,J. Grant,POR,MISS Grant 12' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,48,106,12,1,2.0,0.0,v
S2425-G0127,3,00:37.600000,LAC,,POR,,J. Grant,POR,MISS Grant 17' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-86,152,17,1,2.0,0.0,v
S2425-G0127,4,11:08,LAC,,POR,,J. Grant,POR,MISS Grant 26' 3PT Jump Shot,Missed Shot,Jump Shot,238,110,26,1,3.0,0.0,v
S2425-G0127,4,10:09,LAC,,POR,,J. Grant,POR,Grant REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,08:53,LAC,,POR,,J. Grant,POR,MISS Grant 24' 3PT Jump Shot,Missed Shot,Jump Shot,232,48,24,1,3.0,0.0,v
S2425-G0127,4,08:17,LAC,,POR,,J. Grant,POR,SUB: Ayton FOR Grant,Substitution,,0,0,0,0,,,v
S2425-G0127,4,05:59,LAC,,POR,,J. Grant,POR,Grant L.B.FOUL (P2.PN) (C.Blair),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0127,4,02:08,LAC,,POR,,J. Grant,POR,MISS Grant 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,232,102,25,1,3.0,0.0,v
S2425-G0072,1,11:43,POR,2.0,GSW,0.0,J. Grant,POR,Grant 20' Pullup Jump Shot (2 PTS) (Ayton 1 AST),Made Shot,Pullup Jump shot,132,153,20,1,2.0,2.0,h
S2425-G0072,1,11:20,POR,,GSW,,J. Grant,POR,MISS Grant 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,157,225,27,1,3.0,0.0,h
S2425-G0072,1,10:31,POR,,GSW,,J. Grant,POR,Grant BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0072,1,09:52,POR,,GSW,,J. Grant,POR,Grant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,1,09:11,POR,,GSW,,J. Grant,POR,MISS Grant 3' Running Layup,Missed Shot,Running Layup Shot,18,19,3,1,2.0,0.0,h
S2425-G0072,1,08:22,POR,,GSW,,J. Grant,POR,Grant STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0072,1,08:01,POR,,GSW,,J. Grant,POR,MISS Grant 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,108,176,21,1,2.0,0.0,h
S2425-G0072,1,07:49,POR,,GSW,,J. Grant,POR,Grant P.FOUL (P1.T3) (D.Collins),Foul,Personal,0,0,0,0,,,h
S2425-G0072,1,06:32,POR,,GSW,,J. Grant,POR,MISS Grant 25' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,175,178,25,1,3.0,0.0,h
S2425-G0072,1,04:54,POR,,GSW,,J. Grant,POR,SUB: Murray FOR Grant,Substitution,,0,0,0,0,,,h
S2425-G0072,2,10:34,POR,,GSW,,J. Grant,POR,MISS Grant 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-232,5,0,1,3.0,0.0,h
S2425-G0072,2,10:13,POR,,GSW,,J. Grant,POR,MISS Grant 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-1,30,3,1,2.0,0.0,h
S2425-G0072,2,09:06,POR,25.0,GSW,27.0,J. Grant,POR,Grant 1' Driving Layup (4 PTS) (Henderson 1 AST),Made Shot,Driving Layup Shot,10,-1,1,1,2.0,2.0,h
S2425-G0072,2,08:50,POR,,GSW,,J. Grant,POR,Grant REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,2,08:39,POR,27.0,GSW,27.0,J. Grant,POR,Grant Driving Layup (6 PTS) (Henderson 2 AST),Made Shot,Driving Layup Shot,0,1,0,1,2.0,2.0,h
S2425-G0072,2,03:19,POR,42.0,GSW,46.0,J. Grant,POR,Grant 14' Jump Shot (8 PTS) (Avdija 1 AST),Made Shot,Jump Shot,116,79,14,1,2.0,2.0,h
S2425-G0072,2,02:32,POR,,GSW,,J. Grant,POR,MISS Grant 2' Driving Layup,Missed Shot,Driving Layup Shot,20,6,2,1,2.0,0.0,h
S2425-G0072,2,00:31.400000,POR,,GSW,,J. Grant,POR,MISS Grant 26' 3PT Jump Shot,Missed Shot,Jump Shot,188,182,26,1,3.0,0.0,h
S2425-G0072,3,11:33,POR,53.0,GSW,65.0,J. Grant,POR,Grant 3PT Jump Shot (11 PTS) (Camara 1 AST),Made Shot,Jump Shot,225,38,0,1,3.0,3.0,h
S2425-G0072,3,11:06,POR,,GSW,,J. Grant,POR,MISS Grant 1' Driving Layup,Missed Shot,Driving Layup Shot,5,10,1,1,2.0,0.0,h
S2425-G0072,3,08:45,POR,59.0,GSW,70.0,J. Grant,POR,Grant Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0072,3,08:45,POR,60.0,GSW,70.0,J. Grant,POR,Grant Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0072,3,07:39,POR,,GSW,,J. Grant,POR,Grant P.FOUL (P2.T2) (D.Collins),Foul,Personal,0,0,0,0,,,h
S2425-G0072,3,06:48,POR,63.0,GSW,74.0,J. Grant,POR,Grant 3PT Jump Shot (16 PTS) (Camara 3 AST),Made Shot,Jump Shot,227,36,0,1,3.0,3.0,h
S2425-G0072,3,06:22,POR,,GSW,,J. Grant,POR,MISS Grant 3PT Jump Shot,Missed Shot,Jump Shot,223,60,0,1,3.0,0.0,h
S2425-G0072,3,04:00,POR,,GSW,,J. Grant,POR,SUB: Rupert FOR Grant,Substitution,,0,0,0,0,,,h
S2425-G0072,4,06:17,POR,,GSW,,J. Grant,POR,MISS Grant 3' Hook Bank Shot,Missed Shot,Hook Bank Shot,-27,16,3,1,2.0,0.0,h
S2425-G0072,4,06:00,POR,,GSW,,J. Grant,POR,MISS Grant 25' 3PT Jump Shot,Missed Shot,Jump Shot,-237,86,25,1,3.0,0.0,h
S2425-G0072,4,05:56,POR,,GSW,,J. Grant,POR,SUB: Murray FOR Grant,Substitution,,0,0,0,0,,,h
S2425-G0086,1,11:08,POR,3.0,,3.0,J. Grant,POR,Grant 25' 3PT Jump Shot (3 PTS) (Ayton 1 AST),Made Shot,Jump Shot,186,172,25,1,3.0,3.0,h
S2425-G0086,1,10:39,POR,6.0,,3.0,J. Grant,POR,Grant 25' 3PT Jump Shot (6 PTS) (Simons 1 AST),Made Shot,Jump Shot,183,171,25,1,3.0,3.0,h
S2425-G0086,1,10:06,POR,,,,J. Grant,POR,MISS Grant 25' 3PT Jump Shot,Missed Shot,Jump Shot,178,180,25,1,3.0,0.0,h
S2425-G0086,1,09:54,POR,7.0,,4.0,J. Grant,POR,Grant Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0086,1,09:54,POR,8.0,,4.0,J. Grant,POR,Grant Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0086,1,09:33,POR,,,,J. Grant,POR,Grant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,1,09:13,POR,,,,J. Grant,POR,Grant STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0086,1,09:10,POR,,,,J. Grant,POR,Grant Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0086,1,08:36,POR,,,,J. Grant,POR,Grant REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,1,08:32,POR,9.0,,4.0,J. Grant,POR,Grant Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
