game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,1,09:37,WAS,,BOS,,J. Holiday,BOS,Holiday REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,09:32,WAS,,BOS,,J. Holiday,BOS,Holiday Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0073,1,07:50,WAS,,BOS,,J. Holiday,BOS,MISS Holiday 5' Layup,Missed Shot,Layup Shot,37,26,5,1,2.0,0.0,v
S2425-G0073,1,06:41,WAS,,BOS,,J. Holiday,BOS,SUB: Pritchard FOR Holiday,Substitution,,0,0,0,0,,,v
S2425-G0073,1,00:06.600000,WAS,,BOS,,J. Holiday,BOS,Holiday P.FOUL (P1.T3) (M.Kogut),Foul,Personal,0,0,0,0,,,v
S2425-G0073,2,10:08,WAS,36.0,BOS,34.0,J. Holiday,BOS,Holiday Free Throw 1 of 3 (1 PTS),Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,1.0,v
S2425-G0073,2,10:08,WAS,36.0,BOS,35.0,J. Holiday,BOS,Holiday Free Throw 2 of 3 (2 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,v
S2425-G0073,2,10:08,WAS,36.0,BOS,36.0,J. Holiday,BOS,Holiday Free Throw 3 of 3 (3 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,v
S2425-G0073,2,09:17,WAS,36.0,BOS,37.0,J. Holiday,BOS,Holiday Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0073,2,09:17,WAS,36.0,BOS,38.0,J. Holiday,BOS,Holiday Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0073,2,07:45,WAS,,BOS,,J. Holiday,BOS,MISS Holiday 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-13,261,26,1,3.0,0.0,v
S2425-G0073,2,07:19,WAS,,BOS,,J. Holiday,BOS,SUB: Tatum FOR Holiday,Substitution,,0,0,0,0,,,v
S2425-G0073,2,03:12,WAS,,BOS,,J. Holiday,BOS,MISS Holiday 3' Running Layup,Missed Shot,Running Layup Shot,-29,5,3,1,2.0,0.0,v
S2425-G0073,2,03:12,WAS,,BOS,,J. Holiday,BOS,Holiday Traveling Turnover (P2.T5),Turnover,Traveling,0,0,0,0,,,v
S2425-G0073,2,02:18,WAS,,BOS,,J. Holiday,BOS,Holiday P.FOUL (P2.T3) (M.Kogut),Foul,Personal,0,0,0,0,,,v
S2425-G0073,2,01:43,WAS,,BOS,,J. Holiday,BOS,Holiday P.FOUL (P3.PN) (M.Kogut),Foul,Personal,0,0,0,0,,,v
S2425-G0073,2,01:43,WAS,,BOS,,J. Holiday,BOS,SUB: Kornet FOR Holiday,Substitution,,0,0,0,0,,,v
S2425-G0073,3,09:54,WAS,56.0,BOS,73.0,J. Holiday,BOS,Holiday 3' Layup (7 PTS) (Tatum 3 AST),Made Shot,Layup Shot,-31,10,3,1,2.0,2.0,v
S2425-G0073,3,09:37,WAS,,BOS,,J. Holiday,BOS,Holiday REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,3,02:40,WAS,,BOS,,J. Holiday,BOS,SUB: Brown FOR Holiday,Substitution,,0,0,0,0,,,v
S2425-G0119,1,11:38,IND,,BOS,,J. Holiday,BOS,MISS Holiday 7' Layup,Missed Shot,Layup Shot,-59,35,7,1,2.0,0.0,v
S2425-G0119,1,07:14,IND,,BOS,,J. Holiday,BOS,Holiday Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,v
