game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,04:22,MEM,22.0,BKN,14.0,J. Huff,MEM,Huff 1' Cutting Dunk Shot (2 PTS) (LaRavia 2 AST),Made Shot,Cutting Dunk Shot,-1,6,1,1,2.0,2.0,h
S2424-G124,1,03:56,MEM,,BKN,,J. Huff,MEM,MISS Huff 3PT Jump Shot,Missed Shot,Jump Shot,227,1,0,1,3.0,0.0,h
S2424-G124,1,01:19,MEM,,BKN,,J. Huff,MEM,Huff Offensive Charge Foul (P1) (B.Forte),Foul,Offensive Charge,0,0,0,0,,,h
S2424-G124,1,01:19,MEM,,BKN,,J. Huff,MEM,Huff Offensive Foul Turnover (P1.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2424-G124,1,00:56.800000,MEM,,BKN,,J. Huff,MEM,SUB: Smart FOR Huff,Substitution,,0,0,0,0,,,h
S2424-G124,3,00:28.300000,MEM,,BKN,,J. Huff,MEM,SUB: Wells FOR Huff,Substitution,,0,0,0,0,,,h
S2424-G124,4,11:08,MEM,92.0,BKN,93.0,J. Huff,MEM,Huff 2' Alley Oop Dunk (4 PTS) (Morant 10 AST),Made Shot,Alley Oop Dunk Shot,-1,16,2,1,2.0,2.0,h
S2424-G124,4,07:34,MEM,,BKN,,J. Huff,MEM,SUB: Clarke FOR Huff,Substitution,,0,0,0,0,,,h
S2425-G0070,1,01:12,UTA,,MEM,,J. Huff,MEM,MISS Huff 3PT Jump Shot,Missed Shot,Jump Shot,229,28,0,1,3.0,0.0,v
S2425-G0070,1,00:32.600000,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,00:15,UTA,,MEM,,J. Huff,MEM,SUB: Clarke FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0070,2,11:30,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,11:12,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,09:44,UTA,,MEM,,J. Huff,MEM,SUB: Edey FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0070,2,05:30,UTA,37.0,MEM,46.0,J. Huff,MEM,Huff 26' 3PT Jump Shot (3 PTS) (Clarke 1 AST),Made Shot,Jump Shot,-175,188,26,1,3.0,3.0,v
S2425-G0070,2,05:20,UTA,37.0,MEM,49.0,J. Huff,MEM,Huff 25' 3PT Jump Shot (6 PTS) (Pippen Jr. 2 AST),Made Shot,Jump Shot,-56,248,25,1,3.0,3.0,v
S2425-G0070,2,04:52,UTA,,MEM,,J. Huff,MEM,Huff BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0070,2,03:37,UTA,,MEM,,J. Huff,MEM,MISS Huff 3PT Jump Shot,Missed Shot,Jump Shot,-229,26,0,1,3.0,0.0,v
S2425-G0070,2,03:29,UTA,,MEM,,J. Huff,MEM,Huff BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0070,2,02:17,UTA,,MEM,,J. Huff,MEM,Grizzlies T.Foul (Def. 3 Sec Huff ) (J.Williams),Foul,Defense 3 Second,0,0,0,0,,,v
S2425-G0070,2,02:08,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,01:06,UTA,48.0,MEM,60.0,J. Huff,MEM,Huff Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,2,01:06,UTA,48.0,MEM,61.0,J. Huff,MEM,Huff Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,3,05:35,UTA,,MEM,,J. Huff,MEM,SUB: Clarke FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0070,4,07:57,UTA,,MEM,,J. Huff,MEM,Huff S.FOUL (P1.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2425-G0070,4,07:34,UTA,102.0,MEM,104.0,J. Huff,MEM,Huff 4' Alley Oop Dunk (10 PTS) (Pippen Jr. 7 AST),Made Shot,Alley Oop Dunk Shot,2,37,4,1,2.0,2.0,v
S2425-G0070,4,06:12,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,4,05:39,UTA,105.0,MEM,110.0,J. Huff,MEM,Huff 25' 3PT Jump Shot (13 PTS) (Bane 4 AST),Made Shot,Jump Shot,-107,230,25,1,3.0,3.0,v
S2425-G0070,4,00:56.600000,UTA,,MEM,,J. Huff,MEM,Huff S.FOUL (P2.PN) (J.Williams),Foul,Shooting,0,0,0,0,,,v
S2425-G0092,1,01:48,MEM,28.0,ORL,18.0,J. Huff,MEM,Huff 26' 3PT Jump Shot (3 PTS) (Pippen Jr. 4 AST),Made Shot,Jump Shot,97,240,26,1,3.0,3.0,h
S2425-G0092,1,01:13,MEM,30.0,ORL,20.0,J. Huff,MEM,Huff 2' Driving Layup (5 PTS) (Pippen Jr. 5 AST),Made Shot,Driving Layup Shot,13,8,2,1,2.0,2.0,h
S2425-G0092,1,01:13,MEM,31.0,ORL,20.0,J. Huff,MEM,Huff Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0092,1,00:56.400000,MEM,,ORL,,J. Huff,MEM,Huff BLOCK (1 BLK),,,0,0,0,0,,,h
