game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,04:13,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. P.FOUL (P1.T2) (C.Washington),Foul,Personal,0,0,0,0,,,h
S2425-G0065,1,03:07,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0065,1,03:07,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0065,1,01:31,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. L.B.FOUL (P2.T3) (C.Washington),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0065,1,00:38.700000,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,11:17,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. 2' Hook Shot,Missed Shot,Hook Shot,13,14,2,1,2.0,0.0,h
S2425-G0065,2,11:17,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,11:16,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. 3' Putback Layup,Missed Shot,Putback Layup Shot,-1,27,3,1,2.0,0.0,h
S2425-G0065,2,11:16,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,11:13,MIA,34.0,ORL,32.0,J. Jaquez Jr.,MIA,Jaquez Jr. 2' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-13,14,2,1,2.0,2.0,h
S2425-G0065,2,10:13,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,10:03,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. P.FOUL (P3.T1) (J.Butler),Foul,Personal,0,0,0,0,,,h
S2425-G0065,2,10:03,MIA,,ORL,,J. Jaquez Jr.,MIA,SUB: Herro FOR Jaquez Jr.,Substitution,,0,0,0,0,,,h
S2425-G0065,3,04:51,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. 7' Driving Hook Shot,Missed Shot,Driving Hook Shot,72,10,7,1,2.0,0.0,h
S2425-G0065,3,00:56,MIA,70.0,ORL,94.0,J. Jaquez Jr.,MIA,Jaquez Jr. 3PT Fadeaway Jumper (5 PTS),Made Shot,Fadeaway Jump Shot,-229,17,0,1,3.0,3.0,h
S2425-G0065,3,00:21.900000,MIA,71.0,ORL,97.0,J. Jaquez Jr.,MIA,Jaquez Jr. Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,3,00:21.900000,MIA,72.0,ORL,97.0,J. Jaquez Jr.,MIA,Jaquez Jr. Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,4,11:19,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. 4' Driving Hook Shot,Missed Shot,Driving Hook Shot,15,33,4,1,2.0,0.0,h
S2425-G0065,4,10:14,MIA,79.0,ORL,99.0,J. Jaquez Jr.,MIA,Jaquez Jr. 27' 3PT Jump Shot (10 PTS) (Rozier 5 AST),Made Shot,Jump Shot,-147,222,27,1,3.0,3.0,h
S2425-G0065,4,10:14,MIA,80.0,ORL,99.0,J. Jaquez Jr.,MIA,Jaquez Jr. Free Throw 1 of 1 (11 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0065,4,09:40,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. Offensive Charge Foul (P4) (C.Washington),Foul,Offensive Charge,0,0,0,0,,,h
S2425-G0065,4,09:40,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0065,4,08:42,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,4,08:14,MIA,,ORL,,J. Jaquez Jr.,MIA,Jaquez Jr. Bad Pass Turnover (P2.T9),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0065,4,07:53,MIA,82.0,ORL,107.0,J. Jaquez Jr.,MIA,Jaquez Jr. 1' Cutting Layup Shot (13 PTS) (Robinson 1 AST),Made Shot,Cutting Layup Shot,9,5,1,1,2.0,2.0,h
S2425-G0065,4,06:30,MIA,,ORL,,J. Jaquez Jr.,MIA,MISS Jaquez Jr. 5' Driving Layup,Missed Shot,Driving Layup Shot,20,41,5,1,2.0,0.0,h
S2425-G0065,4,06:15,MIA,,ORL,,J. Jaquez Jr.,MIA,SUB: Ware FOR Jaquez Jr.,Substitution,,0,0,0,0,,,h
