game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,2,10:00,MEM,36.0,BKN,37.0,J. Konchar,MEM,Konchar 3PT Jump Shot (3 PTS) (Morant 4 AST),Made Shot,Jump Shot,-229,13,0,1,3.0,3.0,h
S2424-G124,2,07:42,MEM,,BKN,,J. Konchar,MEM,Konchar Bad Pass Turnover (P1.T10),Turnover,Bad Pass,0,0,0,0,,,h
S2424-G124,2,05:44,MEM,,BKN,,J. Konchar,MEM,SUB: LaRavia FOR Konchar,Substitution,,0,0,0,0,,,h
S2424-G124,3,10:41,MEM,,BKN,,J. Konchar,MEM,MISS Konchar 3PT Jump Shot,Missed Shot,Jump Shot,222,53,0,1,3.0,0.0,h
S2424-G124,3,06:35,MEM,,BKN,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,3,05:42,MEM,,BKN,,J. Konchar,MEM,SUB: Wells FOR Konchar,Substitution,,0,0,0,0,,,h
S2424-G124,4,10:49,MEM,,BKN,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,4,07:34,MEM,,BKN,,J. Konchar,MEM,SUB: Wells FOR Konchar,Substitution,,0,0,0,0,,,h
S2424-G124,4,00:46,MEM,,BKN,,J. Konchar,MEM,Konchar BLOCK (1 BLK),,,0,0,0,0,,,h
S2424-G124,4,00:40.900000,MEM,,BKN,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0070,1,03:52,UTA,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,09:02,UTA,,MEM,,J. Konchar,MEM,SUB: Bane FOR Konchar,Substitution,,0,0,0,0,,,v
S2425-G0070,2,00:29.400000,UTA,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,00:04.500000,UTA,,MEM,,J. Konchar,MEM,Konchar S.FOUL (P1.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2425-G0070,2,00:04.500000,UTA,,MEM,,J. Konchar,MEM,SUB: Bane FOR Konchar,Substitution,,0,0,0,0,,,v
S2425-G0070,3,01:55,UTA,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,3,00:31.300000,UTA,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,4,11:06,UTA,88.0,MEM,97.0,J. Konchar,MEM,Konchar Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,4,11:06,UTA,88.0,MEM,98.0,J. Konchar,MEM,Konchar Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,4,10:48,UTA,88.0,MEM,101.0,J. Konchar,MEM,Konchar 3PT Jump Shot (5 PTS) (Morant 8 AST),Made Shot,Jump Shot,-224,6,0,1,3.0,3.0,v
S2425-G0070,4,09:57,UTA,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,4,09:32,UTA,,MEM,,J. Konchar,MEM,Konchar P.FOUL (P2.T3) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2425-G0070,4,07:20,UTA,,MEM,,J. Konchar,MEM,SUB: Aldama FOR Konchar,Substitution,,0,0,0,0,,,v
S2425-G0082,1,05:19,HOU,,MEM,,J. Konchar,MEM,Konchar STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0082,1,05:11,HOU,21.0,MEM,21.0,J. Konchar,MEM,Konchar 25' 3PT Jump Shot (3 PTS) (Pippen Jr. 1 AST),Made Shot,Jump Shot,-146,204,25,1,3.0,3.0,v
S2425-G0082,1,04:22,HOU,,MEM,,J. Konchar,MEM,MISS Konchar 25' 3PT Jump Shot,Missed Shot,Jump Shot,-161,193,25,1,3.0,0.0,v
S2425-G0082,1,03:19,HOU,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0082,1,03:10,HOU,27.0,MEM,29.0,J. Konchar,MEM,Konchar 27' 3PT Jump Shot (6 PTS) (Pippen Jr. 2 AST),Made Shot,Jump Shot,-12,267,27,1,3.0,3.0,v
S2425-G0082,2,02:04,HOU,,MEM,,J. Konchar,MEM,Konchar S.FOUL (P1.PN) (D.Guthrie),Foul,Shooting,0,0,0,0,,,v
S2425-G0082,2,01:48,HOU,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0082,2,00:25.800000,HOU,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0082,2,00:20,HOU,,MEM,,J. Konchar,MEM,SUB: Bane FOR Konchar,Substitution,,0,0,0,0,,,v
S2425-G0082,3,00:00,HOU,,MEM,,J. Konchar,MEM,Konchar BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0082,4,10:22,HOU,,MEM,,J. Konchar,MEM,Konchar S.FOUL (P2.T2) (D.Guthrie),Foul,Shooting,0,0,0,0,,,v
S2425-G0082,4,09:00,HOU,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0082,4,09:00,HOU,,MEM,,J. Konchar,MEM,Konchar Out of Bounds Lost Ball Turnover (P1.T17),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0082,4,08:26,HOU,,MEM,,J. Konchar,MEM,SUB: Wells FOR Konchar,Substitution,,0,0,0,0,,,v
S2425-G0082,4,05:27,HOU,,MEM,,J. Konchar,MEM,Konchar STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0082,4,05:26,HOU,,MEM,,J. Konchar,MEM,MISS Konchar Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0082,4,05:26,HOU,115.0,MEM,99.0,J. Konchar,MEM,Konchar Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0082,4,02:53,HOU,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0082,4,01:03,HOU,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0124,2,10:00,MEM,36.0,BKN,37.0,J. Konchar,MEM,Konchar 3PT Jump Shot (3 PTS) (Morant 4 AST),Made Shot,Jump Shot,-229,13,0,1,3.0,3.0,h
S2425-G0124,2,07:42,MEM,,BKN,,J. Konchar,MEM,Konchar Bad Pass Turnover (P1.T10),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0124,2,05:44,MEM,,BKN,,J. Konchar,MEM,SUB: LaRavia FOR Konchar,Substitution,,0,0,0,0,,,h
S2425-G0124,3,10:41,MEM,,BKN,,J. Konchar,MEM,MISS Konchar 3PT Jump Shot,Missed Shot,Jump Shot,222,53,0,1,3.0,0.0,h
S2425-G0124,3,06:35,MEM,,BKN,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,3,05:42,MEM,,BKN,,J. Konchar,MEM,SUB: Wells FOR Konchar,Substitution,,0,0,0,0,,,h
S2425-G0124,4,10:49,MEM,,BKN,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,4,07:34,MEM,,BKN,,J. Konchar,MEM,SUB: Wells FOR Konchar,Substitution,,0,0,0,0,,,h
S2425-G0124,4,00:46,MEM,,BKN,,J. Konchar,MEM,Konchar BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0124,4,00:40.900000,MEM,,BKN,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
