game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,05:40,MEM,,BKN,,J. LaRavia,MEM,LaRavia P.FOUL (P1.T2) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2424-G124,1,05:40,MEM,,BKN,,J. LaRavia,MEM,LaRavia Violation:Kicked Ball (B.Forte),Violation,Kicked Ball,0,0,0,0,,,h
S2424-G124,1,03:53,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,02:18,MEM,,BKN,,J. LaRavia,MEM,LaRavia Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2424-G124,1,02:06,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,02:06,MEM,27.0,BKN,24.0,J. LaRavia,MEM,LaRavia Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,01:35,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-13,4,1,1,2.0,0.0,h
S2424-G124,1,01:19,MEM,,BKN,,J. LaRavia,MEM,SUB: Morant FOR LaRavia,Substitution,,0,0,0,0,,,h
S2424-G124,2,04:39,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,2,04:31,MEM,,BKN,,J. LaRavia,MEM,LaRavia Bad Pass Turnover (P2.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2424-G124,2,01:07,MEM,,BKN,,J. LaRavia,MEM,LaRavia P.FOUL (P2.PN) (B.Nansel),Foul,Personal,0,0,0,0,,,h
S2424-G124,2,00:08.100000,MEM,,BKN,,J. LaRavia,MEM,LaRavia BLOCK (1 BLK),,,0,0,0,0,,,h
S2424-G124,3,08:10,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,3,02:54,MEM,,BKN,,J. LaRavia,MEM,SUB: Jackson Jr. FOR LaRavia,Substitution,,0,0,0,0,,,h
S2424-G124,4,08:41,MEM,95.0,BKN,101.0,J. LaRavia,MEM,LaRavia 3' Driving Finger Roll Layup (3 PTS) (Pippen Jr. 4 AST),Made Shot,Driving Finger Roll Layup Shot,-26,16,3,1,2.0,2.0,h
S2424-G124,4,08:14,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 3PT Running Jump Shot,Missed Shot,Running Jump Shot,223,46,0,1,3.0,0.0,h
S2424-G124,4,06:58,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,4,06:57,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,-11,20,2,1,2.0,0.0,h
S2424-G124,4,04:27,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 6' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-42,43,6,1,2.0,0.0,h
S2424-G124,4,04:08,MEM,,BKN,,J. LaRavia,MEM,LaRavia S.FOUL (P3.T3) (B.Forte),Foul,Shooting,0,0,0,0,,,h
S2424-G124,4,02:54,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 6' Driving Layup,Missed Shot,Driving Layup Shot,32,55,6,1,2.0,0.0,h
S2424-G124,4,02:51,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,4,02:51,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2424-G124,4,02:51,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,4,02:48,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,h
S2424-G124,4,02:47,MEM,,BKN,,J. LaRavia,MEM,LaRavia REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,4,02:46,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 3' Tip Layup Shot,Missed Shot,Tip Layup Shot,-13,23,3,1,2.0,0.0,h
S2424-G124,4,02:31,MEM,,BKN,,J. LaRavia,MEM,SUB: Aldama FOR LaRavia,Substitution,,0,0,0,0,,,h
S2424-G124,4,01:09,MEM,,BKN,,J. LaRavia,MEM,MISS LaRavia 25' 3PT Jump Shot,Missed Shot,Jump Shot,-223,112,25,1,3.0,0.0,h
S2425-G0070,1,00:58.300000,UTA,,MEM,,J. LaRavia,MEM,LaRavia REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,11:03,UTA,23.0,MEM,34.0,J. LaRavia,MEM,LaRavia 3' Alley Oop Dunk (2 PTS) (Morant 3 AST),Made Shot,Alley Oop Dunk Shot,-32,10,3,1,2.0,2.0,v
S2425-G0070,2,08:53,UTA,29.0,MEM,39.0,J. LaRavia,MEM,LaRavia 25' 3PT Jump Shot (5 PTS) (Smart 1 AST),Made Shot,Jump Shot,-210,137,25,1,3.0,3.0,v
S2425-G0070,2,08:18,UTA,,MEM,,J. LaRavia,MEM,LaRavia S.FOUL (P1.T2) (J.Conley),Foul,Shooting,0,0,0,0,,,v
S2425-G0070,2,07:58,UTA,,MEM,,J. LaRavia,MEM,MISS LaRavia 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,48,39,6,1,2.0,0.0,v
S2425-G0070,2,07:40,UTA,,MEM,,J. LaRavia,MEM,LaRavia BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0070,2,06:01,UTA,,MEM,,J. LaRavia,MEM,LaRavia P.FOUL (P2.T4) (J.Williams),Foul,Personal,0,0,0,0,,,v
