game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0068,1,02:14,HOU,,CHA,,J. Landale,HOU,Landale REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,02:12,HOU,,CHA,,J. Landale,HOU,MISS Landale 5' Putback Layup,Missed Shot,Putback Layup Shot,16,44,5,1,2.0,0.0,h
S2425-G0068,2,10:46,HOU,,CHA,,J. Landale,HOU,Landale REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,2,10:33,HOU,31.0,CHA,25.0,J. Landale,HOU,Landale 26' 3PT Jump Shot (3 PTS) (Sheppard 1 AST),Made Shot,Jump Shot,-130,226,26,1,3.0,3.0,h
S2425-G0068,2,10:20,HOU,,CHA,,J. Landale,HOU,Landale S.FOUL (P1.T2) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0068,2,09:11,HOU,,CHA,,J. Landale,HOU,SUB: Sengun FOR Landale,Substitution,,0,0,0,0,,,h
S2425-G0068,3,01:57,HOU,81.0,CHA,73.0,J. Landale,HOU,Landale 9' Jump Bank Shot (5 PTS) (Eason 2 AST),Made Shot,Jump Bank Shot,-86,27,9,1,2.0,2.0,h
S2425-G0068,3,00:14.800000,HOU,,CHA,,J. Landale,HOU,Landale REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,3,00:11.300000,HOU,,CHA,,J. Landale,HOU,MISS Landale Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0068,3,00:07.800000,HOU,,CHA,,J. Landale,HOU,SUB: Sengun FOR Landale,Substitution,,0,0,0,0,,,h
S2425-G0082,2,10:08,HOU,,MEM,,J. Landale,HOU,Landale REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0082,2,09:54,HOU,,MEM,,J. Landale,HOU,Landale REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0082,2,09:26,HOU,,MEM,,J. Landale,HOU,Landale REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0082,2,08:41,HOU,,MEM,,J. Landale,HOU,SUB: Brooks FOR Landale,Substitution,,0,0,0,0,,,h
S2425-G0094,1,01:40,SAS,34.0,HOU,26.0,J. Landale,HOU,Landale Driving Layup (2 PTS) (VanVleet 1 AST),Made Shot,Driving Layup Shot,4,2,0,1,2.0,2.0,v
S2425-G0094,1,00:33.600000,SAS,,HOU,,J. Landale,HOU,SUB: Ja. Green FOR Landale,Substitution,,0,0,0,0,,,v
S2425-G0094,2,10:54,SAS,40.0,HOU,32.0,J. Landale,HOU,Landale Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0094,2,10:54,SAS,,HOU,,J. Landale,HOU,MISS Landale Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0094,2,09:34,SAS,42.0,HOU,38.0,J. Landale,HOU,Landale Dunk (5 PTS) (Thompson 2 AST),Made Shot,Dunk Shot,-1,1,0,1,2.0,2.0,v
S2425-G0094,2,08:00,SAS,,HOU,,J. Landale,HOU,SUB: VanVleet FOR Landale,Substitution,,0,0,0,0,,,v
S2425-G0094,3,03:32,SAS,,HOU,,J. Landale,HOU,MISS Landale 3' Layup,Missed Shot,Layup Shot,10,29,3,1,2.0,0.0,v
S2425-G0094,3,03:06,SAS,,HOU,,J. Landale,HOU,Landale REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0094,3,01:10,SAS,80.0,HOU,64.0,J. Landale,HOU,Landale Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0094,3,01:10,SAS,80.0,HOU,65.0,J. Landale,HOU,Landale Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0094,3,00:38.300000,SAS,83.0,HOU,67.0,J. Landale,HOU,Landale 13' Floating Jump Shot (9 PTS) (VanVleet 4 AST),Made Shot,Floating Jump shot,-2,132,13,1,2.0,2.0,v
S2425-G0094,3,00:09.900000,SAS,85.0,HOU,69.0,J. Landale,HOU,Landale 4' Turnaround Hook Shot (11 PTS),Made Shot,Turnaround Hook Shot,-39,16,4,1,2.0,2.0,v
S2425-G0094,4,10:43,SAS,,HOU,,J. Landale,HOU,MISS Landale 18' Jump Shot,Missed Shot,Jump Shot,85,162,18,1,2.0,0.0,v
S2425-G0094,4,09:53,SAS,,HOU,,J. Landale,HOU,Landale REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0094,4,08:52,SAS,93.0,HOU,79.0,J. Landale,HOU,Landale 2' Cutting Dunk Shot (13 PTS) (VanVleet 6 AST),Made Shot,Cutting Dunk Shot,9,17,2,1,2.0,2.0,v
S2425-G0094,4,08:25,SAS,,HOU,,J. Landale,HOU,SUB: Smith Jr. FOR Landale,Substitution,,0,0,0,0,,,v
