game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,05:47,TOR,19.0,DEN,20.0,J. Strawther,DEN,Strawther 8' Driving Floating Jump Shot (2 PTS) (Gordon 2 AST),Made Shot,Driving Floating Jump Shot,78,9,8,1,2.0,2.0,v
S2425-G0107,2,08:20,TOR,40.0,DEN,39.0,J. Strawther,DEN,Strawther 24' 3PT Pullup Jump Shot (5 PTS) (Westbrook 1 AST),Made Shot,Pullup Jump shot,-165,178,24,1,3.0,3.0,v
S2425-G0107,2,07:00,TOR,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,06:40,TOR,,DEN,,J. Strawther,DEN,Strawther L.B.FOUL (P1.T2) (S.Mitchell),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0107,2,05:55,TOR,,DEN,,J. Strawther,DEN,MISS Strawther Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0107,2,05:55,TOR,47.0,DEN,42.0,J. Strawther,DEN,Strawther Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,2,04:54,TOR,,DEN,,J. Strawther,DEN,SUB: Porter Jr. FOR Strawther,Substitution,,0,0,0,0,,,v
S2425-G0107,3,05:36,TOR,78.0,DEN,70.0,J. Strawther,DEN,Strawther 26' 3PT Jump Shot (9 PTS) (Murray 3 AST),Made Shot,Jump Shot,-221,128,26,1,3.0,3.0,v
S2425-G0107,3,04:55,TOR,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,02:22,TOR,,DEN,,J. Strawther,DEN,Strawther S.FOUL (P2.T2) (J.Capers),Foul,Shooting,0,0,0,0,,,v
S2425-G0107,4,10:33,TOR,,DEN,,J. Strawther,DEN,Strawther Offensive Charge Foul (P3) (J.Capers),Foul,Offensive Charge,0,0,0,0,,,v
S2425-G0107,4,10:33,TOR,,DEN,,J. Strawther,DEN,Strawther Offensive Foul Turnover (P1.T14),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0107,4,08:55,TOR,,DEN,,J. Strawther,DEN,SUB: Jokić FOR Strawther,Substitution,,0,0,0,0,,,v
S2425-G0075,1,05:14,DEN,,OKC,,J. Strawther,DEN,MISS Strawther 26' 3PT Jump Shot,Missed Shot,Jump Shot,147,215,26,1,3.0,0.0,h
S2425-G0075,1,02:34,DEN,,OKC,,J. Strawther,DEN,Strawther S.FOUL (P1.T3) (J.Orr),Foul,Shooting,0,0,0,0,,,h
S2425-G0075,1,01:42,DEN,,OKC,,J. Strawther,DEN,MISS Strawther 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-18,4,2,1,2.0,0.0,h
S2425-G0075,1,00:12.500000,DEN,,OKC,,J. Strawther,DEN,SUB: Braun FOR Strawther,Substitution,,0,0,0,0,,,h
S2425-G0075,2,10:36,DEN,,OKC,,J. Strawther,DEN,Strawther STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0075,2,10:30,DEN,28.0,OKC,33.0,J. Strawther,DEN,Strawther 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-10,0,1,1,2.0,2.0,h
S2425-G0075,2,08:22,DEN,,OKC,,J. Strawther,DEN,SUB: Gordon FOR Strawther,Substitution,,0,0,0,0,,,h
S2425-G0075,3,02:07,DEN,,OKC,,J. Strawther,DEN,MISS Strawther 25' 3PT Jump Shot,Missed Shot,Jump Shot,194,159,25,1,3.0,0.0,h
S2425-G0075,3,00:53,DEN,68.0,OKC,85.0,J. Strawther,DEN,Strawther 8' Driving Floating Jump Shot (4 PTS) (Murray 3 AST),Made Shot,Driving Floating Jump Shot,-45,69,8,1,2.0,2.0,h
S2425-G0075,4,11:21,DEN,,OKC,,J. Strawther,DEN,Strawther P.FOUL (P2.T1) (J.Orr),Foul,Personal,0,0,0,0,,,h
S2425-G0075,4,11:01,DEN,73.0,OKC,85.0,J. Strawther,DEN,Strawther 10' Driving Floating Bank Jump Shot (6 PTS) (Westbrook 4 AST),Made Shot,Driving Floating Bank Jump Shot,89,55,10,1,2.0,2.0,h
S2425-G0075,4,08:26,DEN,,OKC,,J. Strawther,DEN,Strawther Lost Ball Turnover (P1.T13),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0075,4,07:52,DEN,,OKC,,J. Strawther,DEN,SUB: Gordon FOR Strawther,Substitution,,0,0,0,0,,,h
S2425-G0087,1,04:44,DEN,,LAC,,J. Strawther,DEN,Strawther P.FOUL (P1.T2) (B.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0087,1,04:00,DEN,,LAC,,J. Strawther,DEN,Strawther REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0087,1,03:59,DEN,14.0,LAC,16.0,J. Strawther,DEN,Strawther Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0087,1,02:43,DEN,,LAC,,J. Strawther,DEN,MISS Strawther 1' Running Layup,Missed Shot,Running Layup Shot,9,11,1,1,2.0,0.0,h
S2425-G0087,1,02:35,DEN,,LAC,,J. Strawther,DEN,Strawther P.FOUL (P2.T3) (A.Abazi),Foul,Personal,0,0,0,0,,,h
S2425-G0087,1,01:51,DEN,,LAC,,J. Strawther,DEN,Strawther REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0087,2,06:21,DEN,,LAC,,J. Strawther,DEN,SUB: Porter Jr. FOR Strawther,Substitution,,0,0,0,0,,,h
S2425-G0087,3,03:42,DEN,66.0,LAC,66.0,J. Strawther,DEN,Strawther 26' 3PT Jump Shot (5 PTS) (Murray 4 AST),Made Shot,Jump Shot,-212,148,26,1,3.0,3.0,h
S2425-G0087,3,02:18,DEN,,LAC,,J. Strawther,DEN,Strawther STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0087,3,01:42,DEN,,LAC,,J. Strawther,DEN,Strawther S.FOUL (P3.T3) (A.Abazi),Foul,Shooting,0,0,0,0,,,h
S2425-G0087,3,01:33,DEN,,LAC,,J. Strawther,DEN,Strawther OFF.Foul (P4) (J.Van Duyne),Foul,Offensive,0,0,0,0,,,h
S2425-G0087,3,01:33,DEN,,LAC,,J. Strawther,DEN,Strawther Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0087,3,01:21,DEN,,LAC,,J. Strawther,DEN,Strawther STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0087,4,11:50,DEN,,LAC,,J. Strawther,DEN,MISS Strawther 15' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-34,141,15,1,2.0,0.0,h
S2425-G0087,4,10:13,DEN,74.0,LAC,75.0,J. Strawther,DEN,Strawther 26' 3PT Jump Bank Shot (8 PTS) (Westbrook 1 AST),Made Shot,Jump Bank Shot,-192,179,26,1,3.0,3.0,h
S2425-G0087,4,08:46,DEN,,LAC,,J. Strawther,DEN,Strawther S.FOUL (P5.T3) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0087,4,08:46,DEN,,LAC,,J. Strawther,DEN,SUB: Murray FOR Strawther,Substitution,,0,0,0,0,,,h
S2425-G0113,1,03:40,BKN,24.0,DEN,19.0,J. Strawther,DEN,Strawther 3' Cutting Layup Shot (2 PTS) (Jokić 4 AST),Made Shot,Cutting Layup Shot,-28,5,3,1,2.0,2.0,v
S2425-G0113,1,02:53,BKN,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0113,1,02:47,BKN,,DEN,,J. Strawther,DEN,MISS Strawther 25' 3PT Jump Shot,Missed Shot,Jump Shot,-81,239,25,1,3.0,0.0,v
S2425-G0113,2,07:42,BKN,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0113,2,07:02,BKN,49.0,DEN,41.0,J. Strawther,DEN,Strawther 3PT Jump Shot (5 PTS) (Braun 1 AST),Made Shot,Jump Shot,228,24,0,1,3.0,3.0,v
S2425-G0113,2,04:27,BKN,,DEN,,J. Strawther,DEN,SUB: Porter Jr. FOR Strawther,Substitution,,0,0,0,0,,,v
S2425-G0113,3,03:59,BKN,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0113,3,03:44,BKN,,DEN,,J. Strawther,DEN,Strawther STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0113,3,02:17,BKN,,DEN,,J. Strawther,DEN,MISS Strawther 2' Driving Layup,Missed Shot,Driving Layup Shot,-20,11,2,1,2.0,0.0,v
S2425-G0113,3,00:38.800000,BKN,,DEN,,J. Strawther,DEN,Strawther Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0113,4,09:02,BKN,,DEN,,J. Strawther,DEN,MISS Strawther 25' 3PT Jump Shot,Missed Shot,Jump Shot,-167,186,25,1,3.0,0.0,v
S2425-G0113,4,08:05,BKN,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0113,4,05:16,BKN,112.0,DEN,112.0,J. Strawther,DEN,Strawther 3' Driving Layup (7 PTS) (Jokić 13 AST),Made Shot,Driving Layup Shot,25,7,3,1,2.0,2.0,v
S2425-G0113,4,04:20,BKN,,DEN,,J. Strawther,DEN,SUB: Porter Jr. FOR Strawther,Substitution,,0,0,0,0,,,v
