game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,11:03,MIA,,ORL,,K. Caldwell-Pope,ORL,Caldwell-Pope BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0065,1,08:12,MIA,,ORL,,K. Caldwell-Pope,ORL,Caldwell-Pope BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0065,1,06:11,MIA,,ORL,,K. Caldwell-Pope,ORL,MISS Caldwell-Pope 3PT Jump Shot,Missed Shot,Jump Shot,-234,7,0,1,3.0,0.0,v
S2425-G0065,1,05:47,MIA,,ORL,,K. Caldwell-Pope,ORL,Caldwell-Pope Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0065,1,05:42,MIA,,ORL,,K. Caldwell-Pope,ORL,SUB: Anthony FOR Caldwell-Pope,Substitution,,0,0,0,0,,,v
S2425-G0065,1,00:00,MIA,,ORL,,K. Caldwell-Pope,ORL,MISS Caldwell-Pope 30' 3PT Jump Shot,Missed Shot,Jump Shot,131,273,30,1,3.0,0.0,v
S2425-G0065,2,06:16,MIA,,ORL,,K. Caldwell-Pope,ORL,MISS Caldwell-Pope 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,8,24,1,3.0,0.0,v
S2425-G0065,2,05:49,MIA,47.0,ORL,44.0,K. Caldwell-Pope,ORL,Caldwell-Pope Free Throw Technical (1 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2425-G0065,2,03:50,MIA,,ORL,,K. Caldwell-Pope,ORL,Caldwell-Pope REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,03:04,MIA,51.0,ORL,50.0,K. Caldwell-Pope,ORL,Caldwell-Pope Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,2,03:04,MIA,51.0,ORL,51.0,K. Caldwell-Pope,ORL,Caldwell-Pope Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
