game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0111,1,11:14,PHX,,LAL,,K. Durant,PHX,Durant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,1,11:01,PHX,2.0,LAL,0.0,K. Durant,PHX,Durant 13' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-23,124,13,1,2.0,2.0,h
S2425-G0111,1,08:53,PHX,,LAL,,K. Durant,PHX,Durant S.FOUL (P1.T1) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2425-G0111,1,06:21,PHX,,LAL,,K. Durant,PHX,MISS Durant 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,168,204,26,1,3.0,0.0,h
S2425-G0111,1,05:26,PHX,,LAL,,K. Durant,PHX,MISS Durant 4' Driving Layup,Missed Shot,Driving Layup Shot,40,17,4,1,2.0,0.0,h
S2425-G0111,1,04:38,PHX,12.0,LAL,26.0,K. Durant,PHX,Durant 17' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,-4,171,17,1,2.0,2.0,h
S2425-G0111,1,03:47,PHX,14.0,LAL,29.0,K. Durant,PHX,Durant 7' Driving Floating Jump Shot (6 PTS) (Plumlee 1 AST),Made Shot,Driving Floating Jump Shot,-58,38,7,1,2.0,2.0,h
S2425-G0111,1,03:47,PHX,15.0,LAL,29.0,K. Durant,PHX,Durant Free Throw 1 of 1 (7 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0111,1,03:01,PHX,17.0,LAL,31.0,K. Durant,PHX,Durant 11' Turnaround Fadeaway (9 PTS),Made Shot,Turnaround Fadeaway shot,-107,8,11,1,2.0,2.0,h
S2425-G0111,1,02:14,PHX,,LAL,,K. Durant,PHX,MISS Durant 26' 3PT Jump Shot,Missed Shot,Jump Shot,-163,197,26,1,3.0,0.0,h
S2425-G0111,1,01:52,PHX,,LAL,,K. Durant,PHX,Durant REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,1,01:42,PHX,,LAL,,K. Durant,PHX,Durant Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0111,1,00:34.400000,PHX,23.0,LAL,34.0,K. Durant,PHX,Durant 25' 3PT Pullup Jump Shot (12 PTS),Made Shot,Pullup Jump shot,-151,195,25,1,3.0,3.0,h
S2425-G0111,2,06:30,PHX,,LAL,,K. Durant,PHX,Durant BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0111,2,06:10,PHX,,LAL,,K. Durant,PHX,MISS Durant 26' 3PT Jump Shot,Missed Shot,Jump Shot,114,237,26,1,3.0,0.0,h
S2425-G0111,2,04:31,PHX,,LAL,,K. Durant,PHX,Durant Bad Pass Turnover (P2.T7),Turnover,Bad Pass,0,0,0,0,,,h
