game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,3,04:31,DAL,,UTA,,K. Filipowski,UTA,Filipowski S.FOUL (P1.T3) (K.Lane),Foul,Shooting,0,0,0,0,,,v
S2425-G0110,3,04:17,DAL,,UTA,,K. Filipowski,UTA,MISS Filipowski 24' 3PT Jump Shot,Missed Shot,Jump Shot,203,135,24,1,3.0,0.0,v
S2425-G0110,3,02:12,DAL,,UTA,,K. Filipowski,UTA,SUB: Markkanen FOR Filipowski,Substitution,,0,0,0,0,,,v
S2425-G0110,3,00:32.700000,DAL,,UTA,,K. Filipowski,UTA,Filipowski P.FOUL (P2.T4) (M.Davis),Foul,Personal,0,0,0,0,,,v
S2425-G0110,4,00:39.800000,DAL,,UTA,,K. Filipowski,UTA,Filipowski REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,1,02:27,UTA,,SAC,,K. Filipowski,UTA,Filipowski REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0115,2,07:14,UTA,,SAC,,K. Filipowski,UTA,Filipowski REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0115,2,06:24,UTA,40.0,SAC,46.0,K. Filipowski,UTA,Filipowski 5' Driving Floating Jump Shot (2 PTS) (George 4 AST),Made Shot,Driving Floating Jump Shot,-7,49,5,1,2.0,2.0,h
S2425-G0115,2,05:54,UTA,,SAC,,K. Filipowski,UTA,Filipowski REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0115,2,05:17,UTA,,SAC,,K. Filipowski,UTA,MISS Filipowski 26' 3PT Jump Shot,Missed Shot,Jump Shot,-223,137,26,1,3.0,0.0,h
S2425-G0115,2,05:05,UTA,,SAC,,K. Filipowski,UTA,Filipowski STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0115,2,04:34,UTA,,SAC,,K. Filipowski,UTA,Filipowski REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
