game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,03:11,LAC,,POR,,K. Murray,POR,Murray STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0127,1,02:23,LAC,,POR,,K. Murray,POR,MISS Murray 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-227,14,0,1,3.0,0.0,v
S2425-G0127,1,00:12.100000,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,00:01.400000,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,00:00,LAC,26.0,POR,24.0,K. Murray,POR,Murray Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0127,2,11:45,LAC,,POR,,K. Murray,POR,Murray Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0127,2,08:35,LAC,36.0,POR,32.0,K. Murray,POR,Murray 27' 3PT Step Back Jump Shot (5 PTS),Made Shot,Step Back Jump shot,129,239,27,1,3.0,3.0,v
S2425-G0127,2,06:22,LAC,,POR,,K. Murray,POR,Murray L.B.FOUL (P1.T2) (C.Blair),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0127,2,06:05,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,2,04:35,LAC,,POR,,K. Murray,POR,Murray BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0127,2,04:35,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,2,02:56,LAC,,POR,,K. Murray,POR,SUB: Grant FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0127,3,03:05,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,3,02:44,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,3,01:01,LAC,,POR,,K. Murray,POR,Murray STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0127,3,00:53,LAC,,POR,,K. Murray,POR,MISS Murray 2' Driving Layup,Missed Shot,Driving Layup Shot,2,22,2,1,2.0,0.0,v
S2425-G0127,3,00:45.500000,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,3,00:02.400000,LAC,,POR,,K. Murray,POR,Murray REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,10:12,LAC,,POR,,K. Murray,POR,SUB: Simons FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0096,1,09:54,LAL,,SAC,,K. Murray,SAC,MISS Murray 29' 3PT Jump Shot,Missed Shot,Jump Shot,-99,277,29,1,3.0,0.0,v
S2425-G0096,1,09:15,LAL,6.0,SAC,4.0,K. Murray,SAC,Murray 1' Running Dunk (2 PTS) (DeRozan 1 AST),Made Shot,Running Dunk Shot,2,7,1,1,2.0,2.0,v
S2425-G0096,1,07:36,LAL,,SAC,,K. Murray,SAC,Murray BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0096,1,07:16,LAL,,SAC,,K. Murray,SAC,Murray STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0096,1,07:09,LAL,,SAC,,K. Murray,SAC,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,145,207,25,1,3.0,0.0,v
S2425-G0096,1,05:07,LAL,,SAC,,K. Murray,SAC,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,1,05:01,LAL,,SAC,,K. Murray,SAC,Murray Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0096,1,04:12,LAL,18.0,SAC,15.0,K. Murray,SAC,Murray Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0096,1,04:12,LAL,18.0,SAC,16.0,K. Murray,SAC,Murray Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0096,1,03:57,LAL,,SAC,,K. Murray,SAC,SUB: Lyles FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0096,1,01:53,LAL,,SAC,,K. Murray,SAC,Murray P.FOUL (P1.PN) (D.Richardson),Foul,Personal,0,0,0,0,,,v
S2425-G0096,1,00:53.500000,LAL,28.0,SAC,24.0,K. Murray,SAC,Murray 1' Driving Dunk (6 PTS) (Monk 1 AST),Made Shot,Driving Dunk Shot,5,7,1,1,2.0,2.0,v
S2425-G0096,2,09:51,LAL,,SAC,,K. Murray,SAC,MISS Murray 26' 3PT Jump Shot,Missed Shot,Jump Shot,-147,217,26,1,3.0,0.0,v
S2425-G0096,2,08:59,LAL,,SAC,,K. Murray,SAC,SUB: Sabonis FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0096,2,04:46,LAL,,SAC,,K. Murray,SAC,Murray S.FOUL (P2.T2) (S.Twardoski),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,2,03:26,LAL,,SAC,,K. Murray,SAC,Murray STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0096,2,01:18,LAL,59.0,SAC,55.0,K. Murray,SAC,Murray 11' Driving Floating Jump Shot (8 PTS) (Fox 6 AST),Made Shot,Driving Floating Jump Shot,-51,100,11,1,2.0,2.0,v
S2425-G0096,2,00:59.900000,LAL,,SAC,,K. Murray,SAC,Murray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,2,00:45.600000,LAL,59.0,SAC,58.0,K. Murray,SAC,Murray 24' 3PT Jump Shot (11 PTS) (Len 1 AST),Made Shot,Jump Shot,-235,21,24,1,3.0,3.0,v
S2425-G0096,3,10:21,LAL,,SAC,,K. Murray,SAC,Murray REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,3,10:16,LAL,66.0,SAC,65.0,K. Murray,SAC,Murray 27' 3PT Jump Shot (14 PTS) (Sabonis 5 AST),Made Shot,Jump Shot,31,267,27,1,3.0,3.0,v
S2425-G0096,3,09:00,LAL,,SAC,,K. Murray,SAC,Murray BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0096,3,08:08,LAL,,SAC,,K. Murray,SAC,MISS Murray 27' 3PT Jump Shot,Missed Shot,Jump Shot,38,264,27,1,3.0,0.0,v
S2425-G0096,3,07:08,LAL,,SAC,,K. Murray,SAC,MISS Murray 5' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,38,29,5,1,2.0,0.0,v
S2425-G0096,3,03:49,LAL,,SAC,,K. Murray,SAC,SUB: Lyles FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0096,3,01:10,LAL,,SAC,,K. Murray,SAC,Murray REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,4,11:30,LAL,,SAC,,K. Murray,SAC,MISS Murray 27' 3PT Jump Shot,Missed Shot,Jump Shot,44,267,27,1,3.0,0.0,v
S2425-G0096,4,09:57,LAL,,SAC,,K. Murray,SAC,SUB: Sabonis FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0072,1,03:28,POR,,GSW,,K. Murray,POR,Murray S.FOUL (P1.PN) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2425-G0072,1,02:35,POR,,GSW,,K. Murray,POR,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,-225,11,0,1,3.0,0.0,h
S2425-G0072,1,01:41,POR,,GSW,,K. Murray,POR,MISS Murray 1' Driving Layup,Missed Shot,Driving Layup Shot,12,6,1,1,2.0,0.0,h
S2425-G0072,1,01:39,POR,,GSW,,K. Murray,POR,Murray REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,1,01:39,POR,19.0,GSW,18.0,K. Murray,POR,Murray Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0072,1,01:39,POR,,GSW,,K. Murray,POR,MISS Murray Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0072,3,01:39,POR,,GSW,,K. Murray,POR,SUB: Walker FOR Murray,Substitution,,0,0,0,0,,,h
S2425-G0072,4,05:17,POR,,GSW,,K. Murray,POR,Murray Bad Pass Turnover (P1.T17),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0072,4,03:48,POR,,GSW,,K. Murray,POR,MISS Murray Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0072,4,03:48,POR,,GSW,,K. Murray,POR,MISS Murray Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0072,4,03:16,POR,,GSW,,K. Murray,POR,SUB: Reath FOR Murray,Substitution,,0,0,0,0,,,h
S2425-G0086,1,02:43,POR,,,,K. Murray,POR,MISS Murray 3' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-25,8,3,1,2.0,0.0,h
S2425-G0086,1,02:30,POR,,,,K. Murray,POR,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,1,02:24,POR,,,,K. Murray,POR,MISS Murray 2' Running Layup,Missed Shot,Running Layup Shot,18,11,2,1,2.0,0.0,h
S2425-G0086,1,02:02,POR,27.0,,13.0,K. Murray,POR,Murray 1' Running Dunk (2 PTS) (Simons 3 AST),Made Shot,Running Dunk Shot,-6,6,1,1,2.0,2.0,h
S2425-G0086,1,00:55.800000,POR,,,,K. Murray,POR,Murray REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,2,07:36,POR,,,,K. Murray,POR,SUB: Simons FOR Murray,Substitution,,0,0,0,0,,,h
S2425-G0086,3,02:08,POR,76.0,,68.0,K. Murray,POR,Murray 24' 3PT Pullup Jump Shot (5 PTS) (Henderson 6 AST),Made Shot,Pullup Jump shot,-232,64,24,1,3.0,3.0,h
S2425-G0086,3,00:44.300000,POR,84.0,,71.0,K. Murray,POR,Murray 2' Running Dunk (7 PTS) (Avdija 5 AST),Made Shot,Running Dunk Shot,-15,2,2,1,2.0,2.0,h
S2425-G0086,3,00:01.900000,POR,,,,K. Murray,POR,Murray REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,4,07:58,POR,,,,K. Murray,POR,Murray S.FOUL (P1.T3) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0086,4,07:58,POR,,,,K. Murray,POR,SUB: Simons FOR Murray,Substitution,,0,0,0,0,,,h
S2425-G0115,1,11:41,UTA,,SAC,,K. Murray,SAC,MISS Murray 3PT Jump Shot,Missed Shot,Jump Shot,234,-15,0,1,3.0,0.0,v
S2425-G0115,1,10:31,UTA,,SAC,,K. Murray,SAC,Murray STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0115,1,10:29,UTA,,SAC,,K. Murray,SAC,Murray Step Out of Bounds Turnover (P1.T1),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0115,1,07:42,UTA,,SAC,,K. Murray,SAC,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,58,247,25,1,3.0,0.0,v
S2425-G0115,1,05:36,UTA,,SAC,,K. Murray,SAC,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,1,03:21,UTA,17.0,SAC,26.0,K. Murray,SAC,Murray 26' 3PT Jump Shot (3 PTS) (DeRozan 3 AST),Made Shot,Jump Shot,1,257,26,1,3.0,3.0,v
S2425-G0115,1,03:03,UTA,,SAC,,K. Murray,SAC,SUB: Lyles FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0115,1,00:00.600000,UTA,22.0,SAC,34.0,K. Murray,SAC,Murray 3' Driving Dunk (5 PTS) (Ellis 1 AST),Made Shot,Driving Dunk Shot,-1,31,3,1,2.0,2.0,v
S2425-G0115,2,08:55,UTA,31.0,SAC,41.0,K. Murray,SAC,Murray 28' 3PT Jump Shot (8 PTS) (Fox 3 AST),Made Shot,Jump Shot,196,206,28,1,3.0,3.0,v
S2425-G0115,2,08:03,UTA,,SAC,,K. Murray,SAC,Murray S.FOUL (P1.T3) (D.Taylor),Foul,Shooting,0,0,0,0,,,v
S2425-G0115,2,07:20,UTA,,SAC,,K. Murray,SAC,Murray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,2,03:30,UTA,,SAC,,K. Murray,SAC,Murray REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,2,02:14,UTA,,SAC,,K. Murray,SAC,Murray REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,2,02:06,UTA,,SAC,,K. Murray,SAC,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,-60,245,25,1,3.0,0.0,v
S2425-G0115,2,01:32,UTA,48.0,SAC,56.0,K. Murray,SAC,Murray 10' Driving Floating Jump Shot (10 PTS) (Ellis 2 AST),Made Shot,Driving Floating Jump Shot,-40,87,10,1,2.0,2.0,v
S2425-G0115,2,00:37.300000,UTA,,SAC,,K. Murray,SAC,MISS Murray 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,235,10,24,1,3.0,0.0,v
S2425-G0115,3,09:32,UTA,,SAC,,K. Murray,SAC,MISS Murray 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,32,138,14,1,2.0,0.0,v
S2425-G0115,3,09:14,UTA,,SAC,,K. Murray,SAC,MISS Murray 5' Floating Jump Shot,Missed Shot,Floating Jump shot,12,49,5,1,2.0,0.0,v
S2425-G0115,3,06:00,UTA,,SAC,,K. Murray,SAC,SUB: Ellis FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0115,3,01:57,UTA,66.0,SAC,86.0,K. Murray,SAC,Murray 3' Running Layup (12 PTS) (Monk 2 AST),Made Shot,Running Layup Shot,32,12,3,1,2.0,2.0,v
S2425-G0115,3,01:34,UTA,,SAC,,K. Murray,SAC,MISS Murray 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-168,193,26,1,3.0,0.0,v
