game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,11:20,TOR,,PHI,,K. Oubre Jr.,PHI,Oubre Jr. Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0078,1,10:40,TOR,,PHI,,K. Oubre Jr.,PHI,Oubre Jr. P.FOUL (P1.T1) (P.Fraher),Foul,Personal,0,0,0,0,,,v
S2425-G0078,1,08:05,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-222,132,26,1,3.0,0.0,v
S2425-G0078,1,06:48,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,129,8,13,1,2.0,0.0,v
S2425-G0078,1,06:31,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0078,1,06:31,TOR,16.0,PHI,15.0,K. Oubre Jr.,PHI,Oubre Jr. Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,1,06:14,TOR,,PHI,,K. Oubre Jr.,PHI,SUB: Gordon FOR Oubre Jr.,Substitution,,0,0,0,0,,,v
S2425-G0078,1,03:57,TOR,23.0,PHI,22.0,K. Oubre Jr.,PHI,Oubre Jr. 3PT Jump Shot (4 PTS) (Maxey 3 AST),Made Shot,Jump Shot,-233,-13,0,1,3.0,3.0,v
S2425-G0078,1,02:49,TOR,,PHI,,K. Oubre Jr.,PHI,Oubre Jr. STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0078,1,02:17,TOR,25.0,PHI,25.0,K. Oubre Jr.,PHI,Oubre Jr. 26' 3PT Pullup Jump Shot (7 PTS) (K. Martin 1 AST),Made Shot,Pullup Jump shot,-98,236,26,1,3.0,3.0,v
S2425-G0078,1,01:06,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 20' Step Back Jump Shot,Missed Shot,Step Back Jump shot,105,173,20,1,2.0,0.0,v
S2425-G0078,2,11:14,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-89,247,26,1,3.0,0.0,v
S2425-G0078,2,10:44,TOR,34.0,PHI,33.0,K. Oubre Jr.,PHI,Oubre Jr. 8' Driving Floating Jump Shot (9 PTS) (C. Martin 1 AST),Made Shot,Driving Floating Jump Shot,47,63,8,1,2.0,2.0,v
S2425-G0078,2,07:25,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 4' Driving Layup,Missed Shot,Driving Layup Shot,-43,10,4,1,2.0,0.0,v
S2425-G0078,2,06:25,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,136,210,25,1,3.0,0.0,v
S2425-G0078,2,05:55,TOR,50.0,PHI,42.0,K. Oubre Jr.,PHI,Oubre Jr. 3' Cutting Layup Shot (11 PTS) (Yabusele 1 AST),Made Shot,Cutting Layup Shot,-29,8,3,1,2.0,2.0,v
S2425-G0078,2,05:55,TOR,50.0,PHI,43.0,K. Oubre Jr.,PHI,Oubre Jr. Free Throw 1 of 1 (12 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
