game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,12:00,NYK,,IND,,K. Towns,NYK,Jump Ball Towns vs. Turner: Tip to Hart,Jump Ball,,0,0,0,0,,,h
S2425-G0081,1,11:22,NYK,,IND,,K. Towns,NYK,Towns S.FOUL (P1.T1) (B.Kennedy),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,1,11:05,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,10:55,NYK,,IND,,K. Towns,NYK,MISS Towns 20' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-66,188,20,1,2.0,0.0,h
S2425-G0081,1,10:42,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,07:42,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,07:20,NYK,6.0,IND,8.0,K. Towns,NYK,Towns 5' Turnaround Hook Shot (2 PTS),Made Shot,Turnaround Hook Shot,53,11,5,1,2.0,2.0,h
S2425-G0081,1,07:01,NYK,9.0,IND,8.0,K. Towns,NYK,Towns 26' 3PT Jump Shot (5 PTS) (Brunson 1 AST),Made Shot,Jump Shot,-45,259,26,1,3.0,3.0,h
S2425-G0081,1,03:25,NYK,19.0,IND,16.0,K. Towns,NYK,Towns 1' Dunk (7 PTS) (Bridges 1 AST),Made Shot,Dunk Shot,-7,10,1,1,2.0,2.0,h
S2425-G0081,1,02:11,NYK,,IND,,K. Towns,NYK,MISS Towns 3' Driving Layup,Missed Shot,Driving Layup Shot,-25,6,3,1,2.0,0.0,h
S2425-G0081,1,02:07,NYK,,IND,,K. Towns,NYK,SUB: Sims FOR Towns,Substitution,,0,0,0,0,,,h
S2425-G0081,1,00:01.700000,NYK,,IND,,K. Towns,NYK,SUB: Sims FOR Towns,Substitution,,0,0,0,0,,,h
S2425-G0081,2,05:40,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,05:27,NYK,,IND,,K. Towns,NYK,MISS Towns 9' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-75,48,9,1,2.0,0.0,h
S2425-G0081,2,05:06,NYK,,IND,,K. Towns,NYK,Towns BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0081,2,01:43,NYK,53.0,IND,43.0,K. Towns,NYK,Towns Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,2,01:43,NYK,54.0,IND,43.0,K. Towns,NYK,Towns Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,2,01:11,NYK,,IND,,K. Towns,NYK,Towns BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0081,2,00:04.500000,NYK,61.0,IND,45.0,K. Towns,NYK,Towns 27' 3PT Jump Shot (12 PTS) (Brunson 5 AST),Made Shot,Jump Shot,-136,235,27,1,3.0,3.0,h
S2425-G0081,3,11:42,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,11:07,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,09:08,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,08:37,NYK,,IND,,K. Towns,NYK,Towns P.FOUL (P2.T1) (J.DeRosa),Foul,Personal,0,0,0,0,,,h
S2425-G0081,3,08:29,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,07:26,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:2 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,06:42,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,06:37,NYK,71.0,IND,51.0,K. Towns,NYK,Towns 7' Hook Shot (14 PTS),Made Shot,Hook Shot,18,71,7,1,2.0,2.0,h
S2425-G0081,3,05:08,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:3 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,04:55,NYK,,IND,,K. Towns,NYK,MISS Towns 3' Driving Layup,Missed Shot,Driving Layup Shot,4,29,3,1,2.0,0.0,h
S2425-G0081,3,04:54,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:4 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,04:53,NYK,75.0,IND,55.0,K. Towns,NYK,Towns Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,3,04:53,NYK,76.0,IND,55.0,K. Towns,NYK,Towns Free Throw 2 of 2 (16 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,3,04:20,NYK,,IND,,K. Towns,NYK,SUB: Sims FOR Towns,Substitution,,0,0,0,0,,,h
S2425-G0081,3,00:32.600000,NYK,,IND,,K. Towns,NYK,Towns STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0081,3,00:28.100000,NYK,94.0,IND,64.0,K. Towns,NYK,Towns Free Throw 1 of 2 (17 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
