game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,11:44,ATL,,CHA,,L. Ball,CHA,MISS Ball 27' 3PT Jump Shot,Missed Shot,Jump Shot,-131,232,27,1,3.0,0.0,v
S2425-G0079,1,10:05,ATL,,CHA,,L. Ball,CHA,Ball S.FOUL (P1.T2) (Z.Zarba),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,1,09:32,ATL,,CHA,,L. Ball,CHA,Ball P.FOUL (P2.T3) (B.Forte),Foul,Personal,0,0,0,0,,,v
S2425-G0079,1,09:05,ATL,,CHA,,L. Ball,CHA,Ball REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,08:51,ATL,,CHA,,L. Ball,CHA,Ball Traveling Turnover (P1.T2),Turnover,Traveling,0,0,0,0,,,v
S2425-G0079,1,06:56,ATL,,CHA,,L. Ball,CHA,Ball Bad Pass Turnover (P2.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,06:42,ATL,,CHA,,L. Ball,CHA,Ball Bad Pass Turnover (P3.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,06:05,ATL,,CHA,,L. Ball,CHA,SUB: Micić FOR Ball,Substitution,,0,0,0,0,,,v
S2425-G0079,2,11:23,ATL,30.0,CHA,19.0,L. Ball,CHA,Ball 26' 3PT Jump Shot (3 PTS) (Williams 1 AST),Made Shot,Jump Shot,58,257,26,1,3.0,3.0,v
S2425-G0079,2,10:37,ATL,,CHA,,L. Ball,CHA,Ball REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:29,ATL,,CHA,,L. Ball,CHA,MISS Ball 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-116,229,26,1,3.0,0.0,v
S2425-G0079,2,09:40,ATL,34.0,CHA,23.0,L. Ball,CHA,Ball Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,09:40,ATL,34.0,CHA,24.0,L. Ball,CHA,Ball Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,08:40,ATL,,CHA,,L. Ball,CHA,MISS Ball 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,104,15,11,1,2.0,0.0,v
S2425-G0079,2,07:24,ATL,43.0,CHA,31.0,L. Ball,CHA,Ball 30' 3PT Jump Shot (8 PTS) (Green 2 AST),Made Shot,Jump Shot,47,299,30,1,3.0,3.0,v
S2425-G0079,2,07:02,ATL,,CHA,,L. Ball,CHA,SUB: Mann FOR Ball,Substitution,,0,0,0,0,,,v
S2425-G0079,2,04:33,ATL,,CHA,,L. Ball,CHA,MISS Ball 30' 3PT Jump Shot,Missed Shot,Jump Shot,40,300,30,1,3.0,0.0,v
S2425-G0079,2,03:06,ATL,54.0,CHA,44.0,L. Ball,CHA,Ball Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,03:06,ATL,54.0,CHA,45.0,L. Ball,CHA,Ball Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,02:36,ATL,,CHA,,L. Ball,CHA,MISS Ball 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,127,237,27,1,3.0,0.0,v
S2425-G0079,2,02:31,ATL,57.0,CHA,47.0,L. Ball,CHA,Ball 1' Driving Dunk (12 PTS) (Williams 3 AST),Made Shot,Driving Dunk Shot,-2,14,1,1,2.0,2.0,v
