game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,04:56,WAS,24.0,ATL,17.0,L. Nance Jr.,ATL,Nance Jr. 4' Alley Oop Dunk (2 PTS) (Mathews 1 AST),Made Shot,Alley Oop Dunk Shot,-34,11,4,1,2.0,2.0,v
S2425-G0121,1,03:22,WAS,,ATL,,L. Nance Jr.,ATL,SUB: Risacher FOR Nance Jr.,Substitution,,0,0,0,0,,,v
S2425-G0121,3,03:30,WAS,,ATL,,L. Nance Jr.,ATL,SUB: Johnson FOR Nance Jr.,Substitution,,0,0,0,0,,,v
S2425-G0103,1,05:40,ATL,17.0,WAS,10.0,L. Nance Jr.,ATL,Nance Jr. 15' Jump Shot (2 PTS) (Roddy 1 AST),Made Shot,Jump Shot,151,28,15,1,2.0,2.0,h
S2425-G0103,1,05:32,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. P.FOUL (P1.T4) (I.Hwang),Foul,Personal,0,0,0,0,,,h
S2425-G0103,1,03:52,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0103,1,03:19,ATL,21.0,WAS,17.0,L. Nance Jr.,ATL,Nance Jr. 7' Hook Shot (4 PTS) (Young 5 AST),Made Shot,Hook Shot,17,68,7,1,2.0,2.0,h
S2425-G0103,2,10:11,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0103,2,10:05,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. P.FOUL (P2.T1) (M.Ervin),Foul,Personal,0,0,0,0,,,h
S2425-G0103,2,08:04,ATL,,WAS,,L. Nance Jr.,ATL,MISS Nance Jr. 3PT Jump Shot,Missed Shot,Jump Shot,230,-6,0,1,3.0,0.0,h
S2425-G0103,2,05:49,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. P.FOUL (P3.T2) (J.Tiven),Foul,Personal,0,0,0,0,,,h
S2425-G0103,2,05:49,ATL,,WAS,,L. Nance Jr.,ATL,SUB: Daniels FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2425-G0103,3,05:34,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. Bad Pass Turnover (P1.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0103,3,05:04,ATL,76.0,WAS,69.0,L. Nance Jr.,ATL,Nance Jr. 3PT Jump Shot (7 PTS) (Daniels 1 AST),Made Shot,Jump Shot,230,47,0,1,3.0,3.0,h
S2425-G0103,3,04:02,ATL,79.0,WAS,75.0,L. Nance Jr.,ATL,Nance Jr. 26' 3PT Jump Shot (10 PTS) (Mathews 2 AST),Made Shot,Jump Shot,109,239,26,1,3.0,3.0,h
S2425-G0103,3,02:13,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. P.FOUL (P4.T3) (M.Ervin),Foul,Personal,0,0,0,0,,,h
S2425-G0103,3,00:58.300000,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0103,4,11:16,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0103,4,11:16,ATL,85.0,WAS,84.0,L. Nance Jr.,ATL,Nance Jr. Putback Layup (12 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0103,4,10:17,ATL,,WAS,,L. Nance Jr.,ATL,MISS Nance Jr. 5' Floating Jump Shot,Missed Shot,Floating Jump shot,-1,50,5,1,2.0,0.0,h
S2425-G0103,4,10:16,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0103,4,09:27,ATL,,WAS,,L. Nance Jr.,ATL,Nance Jr. STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0103,4,08:30,ATL,94.0,WAS,95.0,L. Nance Jr.,ATL,Nance Jr. 26' 3PT Jump Shot (15 PTS) (Johnson 5 AST),Made Shot,Jump Shot,145,213,26,1,3.0,3.0,h
S2425-G0103,4,07:43,ATL,,WAS,,L. Nance Jr.,ATL,MISS Nance Jr. 3PT Jump Shot,Missed Shot,Jump Shot,-230,36,0,1,3.0,0.0,h
S2425-G0103,4,07:12,ATL,,WAS,,L. Nance Jr.,ATL,SUB: Capela FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2425-G0103,4,00:12.700000,ATL,,WAS,,L. Nance Jr.,ATL,SUB: Capela FOR Nance Jr.,Substitution,,0,0,0,0,,,h
