game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,11:07,NYK,,IND,,M. Bridges,NYK,MISS Bridges 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-18,130,13,1,2.0,0.0,h
S2425-G0081,1,06:31,NYK,,IND,,M. Bridges,NYK,Bridges S.FOUL (P1.T3) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,1,05:51,NYK,,IND,,M. Bridges,NYK,Bridges S.FOUL (P2.T4) (B.Kennedy),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,1,05:11,NYK,12.0,IND,11.0,M. Bridges,NYK,Bridges 9' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,-9,90,9,1,2.0,2.0,h
S2425-G0081,1,01:55,NYK,21.0,IND,18.0,M. Bridges,NYK,Bridges 12' Pullup Jump Shot (4 PTS) (McBride 1 AST),Made Shot,Pullup Jump shot,-97,63,12,1,2.0,2.0,h
S2425-G0081,1,00:42.500000,NYK,,IND,,M. Bridges,NYK,Bridges REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,11:24,NYK,27.0,IND,26.0,M. Bridges,NYK,Bridges 8' Turnaround Fadeaway (6 PTS) (Hart 1 AST),Made Shot,Turnaround Fadeaway shot,74,33,8,1,2.0,2.0,h
S2425-G0081,2,09:32,NYK,34.0,IND,32.0,M. Bridges,NYK,Bridges 8' Driving Floating Jump Shot (8 PTS),Made Shot,Driving Floating Jump Shot,2,80,8,1,2.0,2.0,h
S2425-G0081,2,08:29,NYK,,IND,,M. Bridges,NYK,Bridges S.FOUL (P3.T2) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,2,08:29,NYK,,IND,,M. Bridges,NYK,SUB: Anunoby FOR Bridges,Substitution,,0,0,0,0,,,h
S2425-G0081,3,11:25,NYK,62.0,IND,45.0,M. Bridges,NYK,Bridges Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,3,11:25,NYK,63.0,IND,45.0,M. Bridges,NYK,Bridges Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,3,10:43,NYK,,IND,,M. Bridges,NYK,Bridges STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0081,3,08:21,NYK,69.0,IND,49.0,M. Bridges,NYK,Bridges 10' Turnaround Fadeaway (12 PTS),Made Shot,Turnaround Fadeaway shot,89,36,10,1,2.0,2.0,h
S2425-G0081,3,05:59,NYK,,IND,,M. Bridges,NYK,MISS Bridges 12' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,82,89,12,1,2.0,0.0,h
S2425-G0081,3,04:28,NYK,,IND,,M. Bridges,NYK,MISS Bridges Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0081,3,04:28,NYK,77.0,IND,57.0,M. Bridges,NYK,Bridges Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,3,02:59,NYK,85.0,IND,60.0,M. Bridges,NYK,Bridges 3PT Jump Shot (16 PTS) (McBride 2 AST),Made Shot,Jump Shot,-223,2,0,1,3.0,3.0,h
S2425-G0081,3,01:52,NYK,90.0,IND,60.0,M. Bridges,NYK,Bridges 1' Running Dunk (18 PTS),Made Shot,Running Dunk Shot,12,5,1,1,2.0,2.0,h
S2425-G0081,3,01:14,NYK,93.0,IND,62.0,M. Bridges,NYK,Bridges 25' 3PT Pullup Jump Shot (21 PTS) (Hart 3 AST),Made Shot,Pullup Jump shot,70,245,25,1,3.0,3.0,h
S2425-G0081,4,11:23,NYK,,IND,,M. Bridges,NYK,MISS Bridges 25' 3PT Jump Shot,Missed Shot,Jump Shot,145,201,25,1,3.0,0.0,h
S2425-G0081,4,10:38,NYK,,IND,,M. Bridges,NYK,Bridges P.FOUL (P4.T1) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2425-G0081,4,09:40,NYK,,IND,,M. Bridges,NYK,Bridges Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0081,4,09:30,NYK,,IND,,M. Bridges,NYK,SUB: Hart FOR Bridges,Substitution,,0,0,0,0,,,h
S2425-G0081,4,06:26,NYK,,IND,,M. Bridges,NYK,MISS Bridges 1' Driving Layup,Missed Shot,Driving Layup Shot,-1,8,1,1,2.0,0.0,h
S2425-G0081,4,04:24,NYK,,IND,,M. Bridges,NYK,SUB: Dadiet FOR Bridges,Substitution,,0,0,0,0,,,h
S2425-G0106,1,10:28,NYK,,CLE,,M. Bridges,NYK,Bridges REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,1,05:21,NYK,,CLE,,M. Bridges,NYK,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,-169,197,26,1,3.0,0.0,h
S2425-G0106,1,05:09,NYK,10.0,CLE,11.0,M. Bridges,NYK,Bridges 2' Layup (2 PTS) (Hart 1 AST),Made Shot,Layup Shot,4,15,2,1,2.0,2.0,h
S2425-G0106,1,02:58,NYK,,CLE,,M. Bridges,NYK,Bridges REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,1,00:32.900000,NYK,18.0,CLE,22.0,M. Bridges,NYK,Bridges 9' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,85,37,9,1,2.0,2.0,h
S2425-G0106,2,11:03,NYK,,CLE,,M. Bridges,NYK,Bridges Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0106,2,10:42,NYK,,CLE,,M. Bridges,NYK,MISS Bridges 3PT Jump Shot,Missed Shot,Jump Shot,-233,-10,0,1,3.0,0.0,h
S2425-G0106,2,09:57,NYK,24.0,CLE,26.0,M. Bridges,NYK,Bridges 11' Driving Floating Bank Jump Shot (6 PTS) (McBride 2 AST),Made Shot,Driving Floating Bank Jump Shot,77,73,11,1,2.0,2.0,h
S2425-G0106,2,09:51,NYK,,CLE,,M. Bridges,NYK,SUB: Hart FOR Bridges,Substitution,,0,0,0,0,,,h
S2425-G0106,2,03:34,NYK,,CLE,,M. Bridges,NYK,Bridges STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0106,2,03:30,NYK,47.0,CLE,38.0,M. Bridges,NYK,Bridges 1' Running Dunk (8 PTS),Made Shot,Running Dunk Shot,6,13,1,1,2.0,2.0,h
S2425-G0106,2,01:27,NYK,,CLE,,M. Bridges,NYK,Bridges P.FOUL (P1.T3) (S.Corbin),Foul,Personal,0,0,0,0,,,h
S2425-G0106,2,00:36.200000,NYK,,CLE,,M. Bridges,NYK,Bridges STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0106,2,00:27.200000,NYK,,CLE,,M. Bridges,NYK,Bridges REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,2,00:24,NYK,,CLE,,M. Bridges,NYK,MISS Bridges 2' Layup,Missed Shot,Layup Shot,-15,17,2,1,2.0,0.0,h
S2425-G0106,2,00:06.700000,NYK,,CLE,,M. Bridges,NYK,Bridges REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,2,00:06.300000,NYK,52.0,CLE,45.0,M. Bridges,NYK,Bridges 1' Putback Layup (10 PTS),Made Shot,Putback Layup Shot,-4,8,1,1,2.0,2.0,h
S2425-G0106,3,11:47,NYK,,CLE,,M. Bridges,NYK,MISS Bridges 5' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,29,38,5,1,2.0,0.0,h
S2425-G0106,3,09:51,NYK,57.0,CLE,50.0,M. Bridges,NYK,Bridges 5' Turnaround Fadeaway (12 PTS) (Brunson 3 AST),Made Shot,Turnaround Fadeaway shot,-48,15,5,1,2.0,2.0,h
S2425-G0106,3,08:47,NYK,,CLE,,M. Bridges,NYK,Bridges P.FOUL (P2.T2) (S.Corbin),Foul,Personal,0,0,0,0,,,h
S2425-G0106,3,08:18,NYK,60.0,CLE,52.0,M. Bridges,NYK,Bridges 14' Turnaround Jump Shot (14 PTS) (Brunson 4 AST),Made Shot,Turnaround Jump Shot,-83,118,14,1,2.0,2.0,h
S2425-G0106,3,05:11,NYK,69.0,CLE,57.0,M. Bridges,NYK,Bridges 3PT Jump Shot (17 PTS) (Towns 3 AST),Made Shot,Jump Shot,224,0,0,1,3.0,3.0,h
S2425-G0106,3,03:58,NYK,,CLE,,M. Bridges,NYK,Bridges P.FOUL (P3.T4) (R.Hussey),Foul,Personal,0,0,0,0,,,h
S2425-G0106,3,03:37,NYK,74.0,CLE,63.0,M. Bridges,NYK,Bridges 8' Fadeaway Jumper (19 PTS),Made Shot,Fadeaway Jump Shot,18,76,8,1,2.0,2.0,h
S2425-G0106,3,03:01,NYK,,CLE,,M. Bridges,NYK,MISS Bridges 4' Driving Layup,Missed Shot,Driving Layup Shot,-34,20,4,1,2.0,0.0,h
S2425-G0106,3,01:58,NYK,,CLE,,M. Bridges,NYK,Bridges BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0106,4,11:23,NYK,,CLE,,M. Bridges,NYK,Bridges REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,4,10:00,NYK,,CLE,,M. Bridges,NYK,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,-148,212,26,1,3.0,0.0,h
S2425-G0106,4,09:34,NYK,,CLE,,M. Bridges,NYK,SUB: Hart FOR Bridges,Substitution,,0,0,0,0,,,h
S2425-G0106,4,05:11,NYK,,CLE,,M. Bridges,NYK,Bridges Lost Ball Turnover (P2.T14),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0106,4,05:00,NYK,,CLE,,M. Bridges,NYK,Bridges REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,4,00:20.300000,NYK,,CLE,,M. Bridges,NYK,Bridges Personal Take Foul (P4.PN) (R.Hussey),Foul,Personal Take,0,0,0,0,,,h
S2425-G0079,1,10:51,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,33,117,12,1,2.0,0.0,v
S2425-G0079,1,10:20,ATL,7.0,CHA,3.0,M. Bridges,CHA,Bridges 26' 3PT Jump Shot (3 PTS) (Ball 1 AST),Made Shot,Jump Shot,-164,197,26,1,3.0,3.0,v
S2425-G0079,1,09:00,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 24' 3PT Jump Shot,Missed Shot,Jump Shot,-233,35,24,1,3.0,0.0,v
S2425-G0079,1,08:05,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,136,216,26,1,3.0,0.0,v
