game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,10:58,TOR,2.0,DEN,3.0,M. Porter Jr.,DEN,Porter Jr. 26' 3PT Jump Shot (3 PTS) (Gordon 1 AST),Made Shot,Jump Shot,-181,188,26,1,3.0,3.0,v
S2425-G0107,1,08:57,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0107,1,05:58,TOR,,DEN,,M. Porter Jr.,DEN,SUB: Strawther FOR Porter Jr.,Substitution,,0,0,0,0,,,v
S2425-G0107,1,02:08,TOR,,DEN,,M. Porter Jr.,DEN,MISS Porter Jr. 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-238,36,24,1,3.0,0.0,v
S2425-G0107,1,01:29,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,01:21,TOR,,DEN,,M. Porter Jr.,DEN,MISS Porter Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,107,245,27,1,3.0,0.0,v
S2425-G0107,2,11:30,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,10:49,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,10:13,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. Violation:Defensive Goaltending (S.Mitchell),Violation,Defensive Goaltending,0,0,0,0,,,v
S2425-G0107,2,09:59,TOR,34.0,DEN,32.0,M. Porter Jr.,DEN,Porter Jr. 1' Driving Dunk (5 PTS) (Šarić 1 AST),Made Shot,Driving Dunk Shot,-4,5,1,1,2.0,2.0,v
S2425-G0107,2,09:18,TOR,,DEN,,M. Porter Jr.,DEN,SUB: Murray FOR Porter Jr.,Substitution,,0,0,0,0,,,v
S2425-G0107,2,03:46,TOR,53.0,DEN,47.0,M. Porter Jr.,DEN,Porter Jr. 9' Running Pull-Up Jump Shot (7 PTS) (Gordon 4 AST),Made Shot,Running Pull-Up Jump Shot,62,68,9,1,2.0,2.0,v
S2425-G0107,2,00:02.500000,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0107,3,08:08,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. P.FOUL (P1.T1) (J.Capers),Foul,Personal,0,0,0,0,,,v
S2425-G0107,3,07:46,TOR,,DEN,,M. Porter Jr.,DEN,MISS Porter Jr. 22' Pullup Jump Shot,Missed Shot,Pullup Jump shot,20,223,22,1,2.0,0.0,v
S2425-G0107,3,07:23,TOR,75.0,DEN,62.0,M. Porter Jr.,DEN,Porter Jr. 16' Jump Shot (9 PTS) (Jokić 3 AST),Made Shot,Jump Shot,138,90,16,1,2.0,2.0,v
S2425-G0107,3,06:54,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,06:20,TOR,,DEN,,M. Porter Jr.,DEN,SUB: Strawther FOR Porter Jr.,Substitution,,0,0,0,0,,,v
S2425-G0107,4,11:15,TOR,,DEN,,M. Porter Jr.,DEN,Porter Jr. P.FOUL (P2.T2) (J.Capers),Foul,Personal,0,0,0,0,,,v
