game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,06:36,MEM,,BKN,,M. Smart,MEM,Smart REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,06:28,MEM,,BKN,,M. Smart,MEM,SUB: Bane FOR Smart,Substitution,,0,0,0,0,,,h
S2424-G124,1,00:11.500000,MEM,,BKN,,M. Smart,MEM,SUB: Pippen Jr. FOR Smart,Substitution,,0,0,0,0,,,h
S2425-G0070,1,11:17,UTA,,MEM,,M. Smart,MEM,Smart REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,08:29,UTA,,MEM,,M. Smart,MEM,MISS Smart 7' Jump Shot,Missed Shot,Jump Shot,28,62,7,1,2.0,0.0,v
S2425-G0070,1,08:25,UTA,,MEM,,M. Smart,MEM,Smart REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,07:06,UTA,,MEM,,M. Smart,MEM,SUB: Clarke FOR Smart,Substitution,,0,0,0,0,,,v
S2425-G0070,1,00:59.400000,UTA,,MEM,,M. Smart,MEM,Smart P.FOUL (P1.PN) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2425-G0070,1,00:47.200000,UTA,23.0,MEM,26.0,M. Smart,MEM,Smart Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,1,00:47.200000,UTA,23.0,MEM,27.0,M. Smart,MEM,Smart Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,2,11:33,UTA,,MEM,,M. Smart,MEM,MISS Smart 25' 3PT Jump Shot,Missed Shot,Jump Shot,96,235,25,1,3.0,0.0,v
S2425-G0070,2,11:29,UTA,23.0,MEM,32.0,M. Smart,MEM,Smart 27' 3PT Jump Shot (5 PTS) (Huff 1 AST),Made Shot,Jump Shot,-82,254,27,1,3.0,3.0,v
S2425-G0070,2,10:09,UTA,,MEM,,M. Smart,MEM,MISS Smart 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,22,254,25,1,3.0,0.0,v
S2425-G0070,2,09:04,UTA,,MEM,,M. Smart,MEM,MISS Smart 5' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,40,34,5,1,2.0,0.0,v
S2425-G0070,2,07:18,UTA,,MEM,,M. Smart,MEM,Smart REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,06:37,UTA,,MEM,,M. Smart,MEM,Smart Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0070,2,06:35,UTA,,MEM,,M. Smart,MEM,Smart STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0070,2,06:32,UTA,,MEM,,M. Smart,MEM,Smart Lost Ball Turnover (P2.T8),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0070,2,06:15,UTA,37.0,MEM,43.0,M. Smart,MEM,Smart 3' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,-32,13,3,1,2.0,2.0,v
S2425-G0070,2,06:01,UTA,,MEM,,M. Smart,MEM,SUB: Clarke FOR Smart,Substitution,,0,0,0,0,,,v
S2425-G0070,3,11:14,UTA,,MEM,,M. Smart,MEM,Smart P.FOUL (P2.T1) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2425-G0070,3,10:39,UTA,,MEM,,M. Smart,MEM,Smart REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,3,10:31,UTA,,MEM,,M. Smart,MEM,MISS Smart 27' 3PT Jump Shot,Missed Shot,Jump Shot,-43,267,27,1,3.0,0.0,v
S2425-G0070,3,10:03,UTA,,MEM,,M. Smart,MEM,MISS Smart 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-75,27,8,1,2.0,0.0,v
S2425-G0070,3,06:25,UTA,,MEM,,M. Smart,MEM,SUB: Pippen Jr. FOR Smart,Substitution,,0,0,0,0,,,v
S2425-G0070,4,10:54,UTA,,MEM,,M. Smart,MEM,Smart REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,4,09:49,UTA,,MEM,,M. Smart,MEM,MISS Smart 25' 3PT Jump Shot,Missed Shot,Jump Shot,-13,251,25,1,3.0,0.0,v
S2425-G0070,4,08:41,UTA,,MEM,,M. Smart,MEM,SUB: Bane FOR Smart,Substitution,,0,0,0,0,,,v
S2425-G0070,4,04:05,UTA,,MEM,,M. Smart,MEM,MISS Smart 24' 3PT Jump Shot,Missed Shot,Jump Shot,235,27,24,1,3.0,0.0,v
S2425-G0070,4,03:51,UTA,112.0,MEM,115.0,M. Smart,MEM,Smart Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,4,03:51,UTA,112.0,MEM,116.0,M. Smart,MEM,Smart Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,4,01:48,UTA,,MEM,,M. Smart,MEM,Smart P.FOUL (P3.PN) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2425-G0070,4,01:08,UTA,118.0,MEM,122.0,M. Smart,MEM,Smart 2' Driving Reverse Layup (11 PTS),Made Shot,Driving Reverse Layup Shot,-23,6,2,1,2.0,2.0,v
S2425-G0070,4,00:33.600000,UTA,,MEM,,M. Smart,MEM,Smart S.FOUL (P4.PN) (J.Conley),Foul,Shooting,0,0,0,0,,,v
S2425-G0092,1,10:16,MEM,,ORL,,M. Smart,MEM,Smart BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0092,1,08:31,MEM,,ORL,,M. Smart,MEM,MISS Smart 4' Hook Shot,Missed Shot,Hook Shot,-7,43,4,1,2.0,0.0,h
S2425-G0092,1,08:18,MEM,,ORL,,M. Smart,MEM,MISS Smart 25' 3PT Jump Shot,Missed Shot,Jump Shot,-87,234,25,1,3.0,0.0,h
S2425-G0092,1,07:10,MEM,15.0,ORL,8.0,M. Smart,MEM,Smart 3' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,-16,26,3,1,2.0,2.0,h
S2425-G0092,1,06:40,MEM,,ORL,,M. Smart,MEM,SUB: Bane FOR Smart,Substitution,,0,0,0,0,,,h
S2425-G0092,2,10:12,MEM,,ORL,,M. Smart,MEM,MISS Smart 2' Reverse Layup,Missed Shot,Reverse Layup Shot,17,11,2,1,2.0,0.0,h
S2425-G0092,2,09:56,MEM,,ORL,,M. Smart,MEM,Smart STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0092,2,06:41,MEM,,ORL,,M. Smart,MEM,Smart S.FOUL (P1.T2) (J.Capers),Foul,Shooting,0,0,0,0,,,h
S2425-G0092,2,06:41,MEM,,ORL,,M. Smart,MEM,SUB: Aldama FOR Smart,Substitution,,0,0,0,0,,,h
S2425-G0092,2,00:17.100000,MEM,,ORL,,M. Smart,MEM,Smart STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0092,2,00:01,MEM,69.0,ORL,43.0,M. Smart,MEM,Smart 1' Cutting Layup Shot (4 PTS) (Morant 5 AST),Made Shot,Cutting Layup Shot,9,8,1,1,2.0,2.0,h
S2425-G0092,3,09:50,MEM,74.0,ORL,48.0,M. Smart,MEM,Smart 18' Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,45,179,18,1,2.0,2.0,h
S2425-G0092,3,08:26,MEM,77.0,ORL,54.0,M. Smart,MEM,Smart 26' 3PT Jump Shot (9 PTS) (Morant 7 AST),Made Shot,Jump Shot,-184,184,26,1,3.0,3.0,h
S2425-G0092,3,06:37,MEM,,ORL,,M. Smart,MEM,Smart Bad Pass Turnover (P1.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0092,3,06:29,MEM,,ORL,,M. Smart,MEM,SUB: Wells FOR Smart,Substitution,,0,0,0,0,,,h
S2425-G0092,4,09:47,MEM,,ORL,,M. Smart,MEM,Smart Bad Pass Turnover (P2.T15),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0092,4,08:33,MEM,,ORL,,M. Smart,MEM,MISS Smart 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,201,141,25,1,3.0,0.0,h
S2425-G0092,4,07:36,MEM,,ORL,,M. Smart,MEM,SUB: Bane FOR Smart,Substitution,,0,0,0,0,,,h
S2425-G0082,1,09:25,HOU,,MEM,,M. Smart,MEM,Smart REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0082,1,09:17,HOU,,MEM,,M. Smart,MEM,Smart Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,v
