game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,03:03,MIA,,ORL,,M. Wagner,ORL,M. Wagner REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,02:28,MIA,,ORL,,M. Wagner,ORL,M. Wagner L.B.FOUL (P1.PN) (J.Butler),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0065,1,01:32,MIA,,ORL,,M. Wagner,ORL,MISS M. Wagner 3PT Jump Shot,Missed Shot,Jump Shot,-230,6,0,1,3.0,0.0,v
S2425-G0065,1,00:13.200000,MIA,,ORL,,M. Wagner,ORL,M. Wagner Traveling Turnover (P1.T2),Turnover,Traveling,0,0,0,0,,,v
S2425-G0065,2,11:36,MIA,,ORL,,M. Wagner,ORL,M. Wagner REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,08:08,MIA,,ORL,,M. Wagner,ORL,M. Wagner P.FOUL (P2.T2) (C.Blair),Foul,Personal,0,0,0,0,,,v
S2425-G0065,2,08:08,MIA,,ORL,,M. Wagner,ORL,SUB: Carter Jr. FOR M. Wagner,Substitution,,0,0,0,0,,,v
S2425-G0065,3,02:08,MIA,,ORL,,M. Wagner,ORL,M. Wagner REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,01:53,MIA,,ORL,,M. Wagner,ORL,MISS M. Wagner 24' 3PT Jump Shot,Missed Shot,Jump Shot,-225,87,24,1,3.0,0.0,v
S2425-G0065,3,01:14,MIA,67.0,ORL,94.0,M. Wagner,ORL,M. Wagner 2' Finger Roll Layup (2 PTS) (Black 3 AST),Made Shot,Finger Roll Layup Shot,-23,-7,2,1,2.0,2.0,v
S2425-G0065,3,00:40.800000,MIA,70.0,ORL,97.0,M. Wagner,ORL,M. Wagner 24' 3PT Jump Shot (5 PTS) (Anthony 4 AST),Made Shot,Jump Shot,86,225,24,1,3.0,3.0,v
S2425-G0065,4,11:34,MIA,,ORL,,M. Wagner,ORL,M. Wagner REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,11:28,MIA,74.0,ORL,98.0,M. Wagner,ORL,M. Wagner Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,4,11:28,MIA,74.0,ORL,99.0,M. Wagner,ORL,M. Wagner Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,4,11:19,MIA,,ORL,,M. Wagner,ORL,M. Wagner REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,09:15,MIA,,ORL,,M. Wagner,ORL,M. Wagner REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
