game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,11:20,TOR,,PHI,,O. Agbaji,TOR,Agbaji STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0078,1,11:11,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,11:11,TOR,4.0,PHI,0.0,O. Agbaji,TOR,Agbaji Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0078,1,09:06,TOR,,PHI,,O. Agbaji,TOR,Agbaji S.FOUL (P1.T1) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,1,08:25,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,07:05,TOR,13.0,PHI,14.0,O. Agbaji,TOR,Agbaji Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,07:05,TOR,14.0,PHI,14.0,O. Agbaji,TOR,Agbaji Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,06:44,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,06:39,TOR,16.0,PHI,14.0,O. Agbaji,TOR,Agbaji 1' Running Layup (6 PTS) (Mitchell 1 AST),Made Shot,Running Layup Shot,-2,-10,1,1,2.0,2.0,h
S2425-G0078,1,06:31,TOR,,PHI,,O. Agbaji,TOR,Agbaji S.FOUL (P2.T2) (T.Brothers),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,1,06:14,TOR,,PHI,,O. Agbaji,TOR,SUB: Shead FOR Agbaji,Substitution,,0,0,0,0,,,h
S2425-G0078,2,08:23,TOR,42.0,PHI,38.0,O. Agbaji,TOR,Agbaji Running Layup (8 PTS) (Mitchell 2 AST),Made Shot,Running Layup Shot,-2,4,0,1,2.0,2.0,h
S2425-G0078,2,08:00,TOR,,PHI,,O. Agbaji,TOR,MISS Agbaji 1' Driving Layup,Missed Shot,Driving Layup Shot,2,5,1,1,2.0,0.0,h
S2425-G0078,2,07:52,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,2,04:38,TOR,,PHI,,O. Agbaji,TOR,MISS Agbaji 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,235,2,24,1,3.0,0.0,h
S2425-G0078,2,03:17,TOR,,PHI,,O. Agbaji,TOR,Agbaji S.FOUL (P3.PN) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,2,03:17,TOR,,PHI,,O. Agbaji,TOR,SUB: Mogbo FOR Agbaji,Substitution,,0,0,0,0,,,h
S2425-G0078,3,11:15,TOR,,PHI,,O. Agbaji,TOR,Agbaji STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0078,3,11:12,TOR,64.0,PHI,56.0,O. Agbaji,TOR,Agbaji Running Layup (10 PTS),Made Shot,Running Layup Shot,-1,4,0,1,2.0,2.0,h
S2425-G0078,3,08:24,TOR,,PHI,,O. Agbaji,TOR,Agbaji Out of Bounds Lost Ball Turnover (P1.T19),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0078,3,08:06,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,07:36,TOR,,PHI,,O. Agbaji,TOR,MISS Agbaji 2' Reverse Layup,Missed Shot,Reverse Layup Shot,-17,11,2,1,2.0,0.0,h
S2425-G0078,3,06:46,TOR,,PHI,,O. Agbaji,TOR,MISS Agbaji 1' Driving Layup,Missed Shot,Driving Layup Shot,11,9,1,1,2.0,0.0,h
S2425-G0078,3,06:43,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,06:43,TOR,70.0,PHI,62.0,O. Agbaji,TOR,Agbaji Tip Layup Shot (12 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0078,3,03:42,TOR,,PHI,,O. Agbaji,TOR,SUB: Barnes FOR Agbaji,Substitution,,0,0,0,0,,,h
S2425-G0078,4,03:13,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,02:07,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0107,1,04:45,TOR,,DEN,,O. Agbaji,TOR,Agbaji S.FOUL (P1.T3) (S.Mitchell),Foul,Shooting,0,0,0,0,,,h
