game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,03:28,DEN,,OKC,,O. Dieng,OKC,MISS Dieng 26' 3PT Jump Shot,Missed Shot,Jump Shot,234,104,26,1,3.0,0.0,v
S2425-G0075,1,03:25,DEN,21.0,OKC,23.0,O. Dieng,OKC,Dieng 3PT Jump Shot (3 PTS) (Caruso 1 AST),Made Shot,Jump Shot,224,41,0,1,3.0,3.0,v
S2425-G0075,1,02:42,DEN,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,00:32.800000,DEN,24.0,OKC,31.0,O. Dieng,OKC,Dieng 3PT Jump Shot (6 PTS) (Joe 1 AST),Made Shot,Jump Shot,229,18,0,1,3.0,3.0,v
S2425-G0075,2,10:25,DEN,,OKC,,O. Dieng,OKC,SUB: Mitchell FOR Dieng,Substitution,,0,0,0,0,,,v
S2425-G0075,3,02:06,DEN,,OKC,,O. Dieng,OKC,Dieng L.B.FOUL (P1.T2) (K.Scott),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0075,3,01:12,DEN,,OKC,,O. Dieng,OKC,MISS Dieng 2' Running Layup,Missed Shot,Running Layup Shot,-21,0,2,1,2.0,0.0,v
S2425-G0075,4,10:16,DEN,,OKC,,O. Dieng,OKC,Dieng BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0075,4,09:16,DEN,,OKC,,O. Dieng,OKC,SUB: Holmgren FOR Dieng,Substitution,,0,0,0,0,,,v
S2425-G0075,4,01:02,DEN,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,00:06.200000,DEN,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,1,04:39,CHI,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,1,04:33,CHI,,OKC,,O. Dieng,OKC,MISS Dieng 26' 3PT Jump Shot,Missed Shot,Jump Shot,-130,221,26,1,3.0,0.0,v
S2425-G0091,1,03:18,CHI,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,1,00:00,CHI,,OKC,,O. Dieng,OKC,MISS Dieng 3PT Jump Shot,Missed Shot,Jump Shot,-229,17,0,1,3.0,0.0,v
S2425-G0091,2,04:18,CHI,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,2,03:15,CHI,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,2,02:41,CHI,,OKC,,O. Dieng,OKC,MISS Dieng 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,230,31,0,1,3.0,0.0,v
S2425-G0091,2,02:15,CHI,,OKC,,O. Dieng,OKC,MISS Dieng 8' Jump Shot,Missed Shot,Jump Shot,-55,63,8,1,2.0,0.0,v
S2425-G0091,2,02:15,CHI,,OKC,,O. Dieng,OKC,SUB: Williams FOR Dieng,Substitution,,0,0,0,0,,,v
S2425-G0091,3,01:07,CHI,,OKC,,O. Dieng,OKC,Dieng BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0091,4,11:30,CHI,65.0,OKC,90.0,O. Dieng,OKC,Dieng 1' Running Layup (2 PTS) (Williams 7 AST),Made Shot,Running Layup Shot,13,5,1,1,2.0,2.0,v
S2425-G0091,4,11:30,CHI,,OKC,,O. Dieng,OKC,MISS Dieng Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0091,4,10:25,CHI,71.0,OKC,92.0,O. Dieng,OKC,Dieng 1' Running Dunk (4 PTS) (Mitchell 1 AST),Made Shot,Running Dunk Shot,-6,-4,1,1,2.0,2.0,v
S2425-G0091,4,09:22,CHI,,OKC,,O. Dieng,OKC,MISS Dieng 25' 3PT Jump Shot,Missed Shot,Jump Shot,-179,176,25,1,3.0,0.0,v
S2425-G0091,4,09:22,CHI,,OKC,,O. Dieng,OKC,SUB: Wallace FOR Dieng,Substitution,,0,0,0,0,,,v
S2425-G0091,4,03:59,CHI,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,4,03:23,CHI,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,4,00:58.400000,CHI,95.0,OKC,113.0,O. Dieng,OKC,Dieng Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0091,4,00:58.400000,CHI,95.0,OKC,114.0,O. Dieng,OKC,Dieng Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0100,1,04:06,OKC,19.0,ATL,20.0,O. Dieng,OKC,Dieng 25' 3PT Jump Shot (3 PTS) (Williams 2 AST),Made Shot,Jump Shot,-130,213,25,1,3.0,3.0,h
S2425-G0100,1,03:05,OKC,,ATL,,O. Dieng,OKC,MISS Dieng 24' 3PT Jump Shot,Missed Shot,Jump Shot,-202,136,24,1,3.0,0.0,h
S2425-G0100,3,04:01,OKC,,ATL,,O. Dieng,OKC,MISS Dieng 27' 3PT Jump Shot,Missed Shot,Jump Shot,-29,265,27,1,3.0,0.0,h
S2425-G0100,3,03:31,OKC,81.0,ATL,77.0,O. Dieng,OKC,Dieng 1' Cutting Dunk Shot (5 PTS) (Joe 1 AST),Made Shot,Cutting Dunk Shot,5,7,1,1,2.0,2.0,h
S2425-G0100,3,03:12,OKC,,ATL,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0100,3,01:04,OKC,,ATL,,O. Dieng,OKC,SUB: Holmgren FOR Dieng,Substitution,,0,0,0,0,,,h
S2425-G0125,1,03:52,OKC,23.0,SAS,13.0,O. Dieng,OKC,Dieng 26' 3PT Jump Shot (3 PTS) (Wallace 1 AST),Made Shot,Jump Shot,123,230,26,1,3.0,3.0,h
S2425-G0125,1,01:35,OKC,,SAS,,O. Dieng,OKC,SUB: Mitchell FOR Dieng,Substitution,,0,0,0,0,,,h
S2425-G0125,2,04:27,OKC,,SAS,,O. Dieng,OKC,MISS Dieng 26' 3PT Jump Shot,Missed Shot,Jump Shot,-178,183,26,1,3.0,0.0,h
S2425-G0125,2,03:48,OKC,,SAS,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0125,2,03:38,OKC,,SAS,,O. Dieng,OKC,MISS Dieng 26' 3PT Jump Shot,Missed Shot,Jump Shot,-152,206,26,1,3.0,0.0,h
S2425-G0125,2,03:32,OKC,,SAS,,O. Dieng,OKC,Dieng S.FOUL (P1.T3) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2425-G0125,2,02:52,OKC,,SAS,,O. Dieng,OKC,SUB: Holmgren FOR Dieng,Substitution,,0,0,0,0,,,h
S2425-G0125,3,03:20,OKC,,SAS,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0125,3,02:59,OKC,,SAS,,O. Dieng,OKC,Dieng REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0125,3,00:50.500000,OKC,,SAS,,O. Dieng,OKC,Dieng STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0125,4,04:46,OKC,,SAS,,O. Dieng,OKC,Dieng REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0125,4,04:12,OKC,,SAS,,O. Dieng,OKC,Dieng S.FOUL (P2.T2) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2425-G0125,4,02:19,OKC,,SAS,,O. Dieng,OKC,Dieng STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0125,4,02:13,OKC,105.0,SAS,87.0,O. Dieng,OKC,Dieng 1' Running Layup (5 PTS),Made Shot,Running Layup Shot,-9,0,1,1,2.0,2.0,h
S2425-G0125,4,00:46.100000,OKC,,SAS,,O. Dieng,OKC,Dieng REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0125,4,00:31.700000,OKC,,SAS,,O. Dieng,OKC,MISS Dieng 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,233,36,24,1,3.0,0.0,h
