game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,05:21,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,02:43,ATL,,CHA,,O. Okongwu,ATL,MISS Okongwu 1' Layup,Missed Shot,Layup Shot,2,8,1,1,2.0,0.0,h
S2425-G0079,1,02:24,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,02:02,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,01:57,ATL,,CHA,,O. Okongwu,ATL,MISS Okongwu 8' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-21,73,8,1,2.0,0.0,h
S2425-G0079,1,00:04.900000,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,2,04:48,ATL,52.0,CHA,41.0,O. Okongwu,ATL,Okongwu 1' Cutting Layup Shot (2 PTS) (Hunter 1 AST),Made Shot,Cutting Layup Shot,-2,5,1,1,2.0,2.0,h
S2425-G0079,2,03:06,ATL,,CHA,,O. Okongwu,ATL,Okongwu S.FOUL (P1.PN) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,02:51,ATL,57.0,CHA,45.0,O. Okongwu,ATL,Okongwu 25' 3PT Jump Shot (5 PTS) (Hunter 2 AST),Made Shot,Jump Shot,192,153,25,1,3.0,3.0,h
S2425-G0079,2,00:00.400000,ATL,,CHA,,O. Okongwu,ATL,MISS Okongwu 3PT Jump Shot,Missed Shot,Jump Shot,223,2,0,1,3.0,0.0,h
S2425-G0079,3,04:22,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,3,04:17,ATL,79.0,CHA,71.0,O. Okongwu,ATL,Okongwu 2' Alley Oop Dunk (7 PTS) (Young 6 AST),Made Shot,Alley Oop Dunk Shot,-10,13,2,1,2.0,2.0,h
S2425-G0079,3,00:46.100000,ATL,,CHA,,O. Okongwu,ATL,Okongwu STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,3,00:32.400000,ATL,,CHA,,O. Okongwu,ATL,Okongwu S.FOUL (P2.PN) (B.Forte),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,4,10:19,ATL,,CHA,,O. Okongwu,ATL,SUB: Capela FOR Okongwu,Substitution,,0,0,0,0,,,h
S2425-G0079,4,05:52,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,4,05:07,ATL,,CHA,,O. Okongwu,ATL,Okongwu P.FOUL (P3.T4) (Z.Zarba),Foul,Personal,0,0,0,0,,,h
S2425-G0079,4,04:53,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,4,03:54,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,1,05:23,ATL,15.0,BKN,13.0,O. Okongwu,ATL,Okongwu 2' Running Alley Oop Layup Shot (2 PTS) (Young 3 AST),Made Shot,Running Alley Oop Layup Shot,17,13,2,1,2.0,2.0,h
S2425-G0064,1,04:34,ATL,17.0,BKN,15.0,O. Okongwu,ATL,Okongwu 3' Hook Shot (4 PTS) (Young 4 AST),Made Shot,Hook Shot,10,28,3,1,2.0,2.0,h
S2425-G0064,1,01:35,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,1,01:20,ATL,26.0,BKN,21.0,O. Okongwu,ATL,Okongwu 1' Alley Oop Dunk (6 PTS) (Johnson 1 AST),Made Shot,Alley Oop Dunk Shot,-6,10,1,1,2.0,2.0,h
S2425-G0064,2,11:33,ATL,32.0,BKN,26.0,O. Okongwu,ATL,Okongwu 1' Alley Oop Dunk (8 PTS) (Johnson 2 AST),Made Shot,Alley Oop Dunk Shot,7,4,1,1,2.0,2.0,h
S2425-G0064,2,09:51,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,2,09:47,ATL,35.0,BKN,31.0,O. Okongwu,ATL,Okongwu 1' Running Dunk (10 PTS) (Krejčí 1 AST),Made Shot,Running Dunk Shot,2,8,1,1,2.0,2.0,h
S2425-G0064,2,09:13,ATL,,BKN,,O. Okongwu,ATL,Okongwu Out of Bounds Lost Ball Turnover (P1.T4),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0064,2,06:59,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,2,06:40,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,2,06:40,ATL,37.0,BKN,41.0,O. Okongwu,ATL,Okongwu Putback Layup (12 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0064,2,06:27,ATL,,BKN,,O. Okongwu,ATL,Okongwu BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0064,2,05:58,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,2,05:58,ATL,39.0,BKN,41.0,O. Okongwu,ATL,Okongwu Putback Dunk (14 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,h
S2425-G0064,2,05:40,ATL,,BKN,,O. Okongwu,ATL,SUB: Johnson FOR Okongwu,Substitution,,0,0,0,0,,,h
S2425-G0064,3,04:57,ATL,,BKN,,O. Okongwu,ATL,MISS Okongwu 1' Layup,Missed Shot,Layup Shot,12,1,1,1,2.0,0.0,h
S2425-G0064,3,04:03,ATL,72.0,BKN,69.0,O. Okongwu,ATL,Okongwu Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0064,3,04:03,ATL,73.0,BKN,69.0,O. Okongwu,ATL,Okongwu Free Throw 2 of 2 (16 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0064,3,03:37,ATL,75.0,BKN,71.0,O. Okongwu,ATL,Okongwu 1' Driving Dunk (18 PTS) (Bogdanović 1 AST),Made Shot,Driving Dunk Shot,-11,-1,1,1,2.0,2.0,h
S2425-G0064,3,02:48,ATL,76.0,BKN,75.0,O. Okongwu,ATL,Okongwu Free Throw 1 of 2 (19 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0064,3,02:48,ATL,77.0,BKN,75.0,O. Okongwu,ATL,Okongwu Free Throw 2 of 2 (20 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0064,3,02:22,ATL,,BKN,,O. Okongwu,ATL,Okongwu Step Out of Bounds Turnover (P2.T11),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,h
S2425-G0064,3,00:26.500000,ATL,,BKN,,O. Okongwu,ATL,Okongwu BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0064,4,11:02,ATL,,BKN,,O. Okongwu,ATL,Okongwu S.FOUL (P1.T1) (S.Corbin),Foul,Shooting,0,0,0,0,,,h
S2425-G0064,4,10:29,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0064,4,09:47,ATL,,BKN,,O. Okongwu,ATL,SUB: Capela FOR Okongwu,Substitution,,0,0,0,0,,,h
S2425-G0064,4,07:39,ATL,,BKN,,O. Okongwu,ATL,"Double Technical - Okongwu, Thomas (D.Guthrie)",Foul,Double Technical,0,0,0,0,,,
S2425-G0064,4,05:53,ATL,104.0,BKN,95.0,O. Okongwu,ATL,Okongwu 1' Cutting Dunk Shot (22 PTS) (Daniels 2 AST),Made Shot,Cutting Dunk Shot,-5,1,1,1,2.0,2.0,h
S2425-G0064,4,03:14,ATL,,BKN,,O. Okongwu,ATL,Okongwu REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,h
