game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,11:36,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,11:24,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-118,95,15,1,2.0,0.0,v
S2425-G0065,1,10:24,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 1' Running Layup,Missed Shot,Running Layup Shot,5,12,1,1,2.0,0.0,v
S2425-G0065,1,10:24,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,10:19,MIA,1.0,ORL,2.0,P. Banchero,ORL,Banchero 2' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,17,17,2,1,2.0,2.0,v
S2425-G0065,1,09:47,MIA,3.0,ORL,4.0,P. Banchero,ORL,Banchero 3' Layup (4 PTS) (Suggs 1 AST),Made Shot,Layup Shot,27,-8,3,1,2.0,2.0,v
S2425-G0065,1,08:50,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,08:48,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 6' Putback Layup,Missed Shot,Putback Layup Shot,27,50,6,1,2.0,0.0,v
S2425-G0065,1,08:08,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,07:56,MIA,,ORL,,P. Banchero,ORL,Banchero STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0065,1,07:25,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 24' 3PT Jump Shot,Missed Shot,Jump Shot,-241,21,24,1,3.0,0.0,v
S2425-G0065,1,06:30,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,86,162,18,1,2.0,0.0,v
S2425-G0065,1,04:53,MIA,21.0,ORL,17.0,P. Banchero,ORL,Banchero 26' 3PT Jump Shot (7 PTS) (Anthony 1 AST),Made Shot,Jump Shot,78,243,26,1,3.0,3.0,v
S2425-G0065,1,04:36,MIA,21.0,ORL,19.0,P. Banchero,ORL,Banchero 1' Running Dunk (9 PTS) (Anthony 2 AST),Made Shot,Running Dunk Shot,-7,13,1,1,2.0,2.0,v
S2425-G0065,1,02:49,MIA,24.0,ORL,26.0,P. Banchero,ORL,Banchero 2' Driving Reverse Layup (11 PTS),Made Shot,Driving Reverse Layup Shot,-15,4,2,1,2.0,2.0,v
S2425-G0065,1,01:56,MIA,,ORL,,P. Banchero,ORL,SUB: Isaac FOR Banchero,Substitution,,0,0,0,0,,,v
S2425-G0065,2,07:20,MIA,42.0,ORL,39.0,P. Banchero,ORL,Banchero Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,2,07:20,MIA,42.0,ORL,40.0,P. Banchero,ORL,Banchero Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,2,04:37,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,136,210,25,1,3.0,0.0,v
S2425-G0065,2,04:23,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,04:17,MIA,49.0,ORL,46.0,P. Banchero,ORL,Banchero 7' Driving Floating Jump Shot (15 PTS),Made Shot,Driving Floating Jump Shot,-36,55,7,1,2.0,2.0,v
S2425-G0065,2,03:16,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,23,248,25,1,3.0,0.0,v
S2425-G0065,2,02:25,MIA,,ORL,,P. Banchero,ORL,Banchero S.FOUL (P1.PN) (J.Butler),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,2,02:06,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 1' Layup,Missed Shot,Layup Shot,10,-3,1,1,2.0,0.0,v
S2425-G0065,2,02:06,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,02:02,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 2' Putback Layup,Missed Shot,Putback Layup Shot,18,12,2,1,2.0,0.0,v
S2425-G0065,2,01:34,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 2' Running Reverse Layup,Missed Shot,Running Reverse Layup Shot,16,10,2,1,2.0,0.0,v
S2425-G0065,2,01:23,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,01:15,MIA,54.0,ORL,55.0,P. Banchero,ORL,Banchero 26' 3PT Pullup Jump Shot (18 PTS),Made Shot,Pullup Jump shot,-136,221,26,1,3.0,3.0,v
S2425-G0065,2,00:51.300000,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,00:39,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,229,53,24,1,3.0,0.0,v
S2425-G0065,3,11:29,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,10:39,MIA,54.0,ORL,61.0,P. Banchero,ORL,Banchero Free Throw 1 of 2 (19 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,3,10:39,MIA,,ORL,,P. Banchero,ORL,MISS Banchero Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0065,3,10:14,MIA,54.0,ORL,64.0,P. Banchero,ORL,Banchero 25' 3PT Jump Shot (22 PTS) (Suggs 2 AST),Made Shot,Jump Shot,-229,109,25,1,3.0,3.0,v
S2425-G0065,3,08:31,MIA,,ORL,,P. Banchero,ORL,MISS Banchero 9' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-33,84,9,1,2.0,0.0,v
S2425-G0065,3,08:16,MIA,,ORL,,P. Banchero,ORL,Banchero S.FOUL (P2.T2) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,3,06:52,MIA,62.0,ORL,76.0,P. Banchero,ORL,Banchero 6' Driving Floating Jump Shot (24 PTS),Made Shot,Driving Floating Jump Shot,2,64,6,1,2.0,2.0,v
S2425-G0065,3,05:50,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:4 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,05:47,MIA,62.0,ORL,79.0,P. Banchero,ORL,Banchero Free Throw 1 of 2 (25 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,3,05:47,MIA,62.0,ORL,80.0,P. Banchero,ORL,Banchero Free Throw 2 of 2 (26 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,3,05:13,MIA,62.0,ORL,82.0,P. Banchero,ORL,Banchero 1' Cutting Layup Shot (28 PTS) (F. Wagner 3 AST),Made Shot,Cutting Layup Shot,-11,3,1,1,2.0,2.0,v
S2425-G0065,3,04:03,MIA,64.0,ORL,87.0,P. Banchero,ORL,Banchero 2' Cutting Dunk Shot (30 PTS) (Carter Jr. 2 AST),Made Shot,Cutting Dunk Shot,16,-11,2,1,2.0,2.0,v
S2425-G0065,3,02:24,MIA,,ORL,,P. Banchero,ORL,SUB: M. Wagner FOR Banchero,Substitution,,0,0,0,0,,,v
S2425-G0065,4,06:30,MIA,,ORL,,P. Banchero,ORL,Banchero BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0065,4,06:26,MIA,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:4 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,06:15,MIA,84.0,ORL,116.0,P. Banchero,ORL,Banchero 27' 3PT Jump Shot (33 PTS) (Black 4 AST),Made Shot,Jump Shot,185,195,27,1,3.0,3.0,v
S2425-G0065,4,05:21,MIA,,ORL,,P. Banchero,ORL,SUB: Joseph FOR Banchero,Substitution,,0,0,0,0,,,v
S2425-G0123,1,11:15,CHI,,ORL,,P. Banchero,ORL,MISS Banchero 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-16,62,6,1,2.0,0.0,v
S2425-G0123,1,10:44,CHI,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0123,1,10:23,CHI,2.0,ORL,5.0,P. Banchero,ORL,Banchero 22' Pullup Jump Shot (2 PTS) (Carter Jr. 1 AST),Made Shot,Pullup Jump shot,-142,172,22,1,2.0,2.0,v
S2425-G0123,1,09:55,CHI,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0123,1,09:38,CHI,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0123,1,09:33,CHI,2.0,ORL,9.0,P. Banchero,ORL,Banchero Running Finger Roll Layup (4 PTS),Made Shot,Running Finger Roll Layup Shot,0,4,0,1,2.0,2.0,v
S2425-G0123,1,07:28,CHI,,ORL,,P. Banchero,ORL,Banchero S.FOUL (P1.T2) (R.Mott),Foul,Shooting,0,0,0,0,,,v
S2425-G0123,1,05:51,CHI,9.0,ORL,17.0,P. Banchero,ORL,Banchero 26' 3PT Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,-147,218,26,1,3.0,3.0,v
S2425-G0123,1,04:47,CHI,,ORL,,P. Banchero,ORL,Banchero REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0123,1,04:45,CHI,9.0,ORL,23.0,P. Banchero,ORL,Banchero Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
