game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,4,02:09,NYK,,IND,,P. Dadiet,NYK,MISS Dadiet 2' Driving Layup,Missed Shot,Driving Layup Shot,-1,16,2,1,2.0,0.0,h
S2425-G0081,4,01:56,NYK,,IND,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,4,01:47,NYK,,IND,,P. Dadiet,NYK,Dadiet Bad Pass Turnover (P1.T10),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0081,4,01:44,NYK,,IND,,P. Dadiet,NYK,Dadiet P.FOUL (P1.PN) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2425-G0061,2,07:56,BOS,,NYK,,P. Dadiet,NYK,MISS Dadiet 26' 3PT Jump Shot,Missed Shot,Jump Shot,-147,210,26,1,3.0,0.0,v
S2425-G0061,2,05:45,BOS,,NYK,,P. Dadiet,NYK,SUB: Bridges FOR Dadiet,Substitution,,0,0,0,0,,,v
S2425-G0061,4,06:37,BOS,130.0,NYK,98.0,P. Dadiet,NYK,Dadiet 24' 3PT Jump Shot (3 PTS) (McBride 2 AST),Made Shot,Jump Shot,-222,88,24,1,3.0,3.0,v
S2425-G0061,4,05:24,BOS,,NYK,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0061,4,03:19,BOS,,NYK,,P. Dadiet,NYK,MISS Dadiet 13' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,109,62,13,1,2.0,0.0,v
S2425-G0061,4,00:55.700000,BOS,,NYK,,P. Dadiet,NYK,Dadiet L.B.FOUL (P1.T4) (B.Schwab),Foul,Loose Ball,0,0,0,0,,,v
