game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,1,02:12,DAL,,UTA,,P. Mills,UTA,Mills STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0110,1,01:34,DAL,,UTA,,P. Mills,UTA,Mills S.FOUL (P1.T3) (M.Davis),Foul,Shooting,0,0,0,0,,,v
S2425-G0110,1,01:11,DAL,,UTA,,P. Mills,UTA,MISS Mills 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-7,183,18,1,2.0,0.0,v
S2425-G0110,2,11:02,DAL,,UTA,,P. Mills,UTA,MISS Mills 25' 3PT Jump Shot,Missed Shot,Jump Shot,-211,131,25,1,3.0,0.0,v
S2425-G0110,2,06:50,DAL,,UTA,,P. Mills,UTA,SUB: Williams FOR Mills,Substitution,,0,0,0,0,,,v
S2425-G0110,4,04:51,DAL,,UTA,,P. Mills,UTA,SUB: Clarkson FOR Mills,Substitution,,0,0,0,0,,,v
S2425-G0115,2,09:36,UTA,,SAC,,P. Mills,UTA,Mills BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0115,2,09:34,UTA,,SAC,,P. Mills,UTA,Mills REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0115,2,09:17,UTA,,SAC,,P. Mills,UTA,Mills STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0115,2,06:35,UTA,,SAC,,P. Mills,UTA,SUB: George FOR Mills,Substitution,,0,0,0,0,,,h
S2425-G0115,4,09:01,UTA,,SAC,,P. Mills,UTA,MISS Mills 27' 3PT Jump Shot,Missed Shot,Jump Shot,-170,209,27,1,3.0,0.0,h
S2425-G0115,4,07:33,UTA,,SAC,,P. Mills,UTA,SUB: George FOR Mills,Substitution,,0,0,0,0,,,h
S2425-G0070,1,02:07,UTA,,MEM,,P. Mills,UTA,Mills S.FOUL (P1.T3) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0070,2,08:21,UTA,,MEM,,P. Mills,UTA,Mills REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0070,2,06:50,UTA,,MEM,,P. Mills,UTA,SUB: George FOR Mills,Substitution,,0,0,0,0,,,h
S2425-G0070,4,11:06,UTA,,MEM,,P. Mills,UTA,Mills S.FOUL (P2.T3) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0070,4,06:45,UTA,,MEM,,P. Mills,UTA,SUB: George FOR Mills,Substitution,,0,0,0,0,,,h
S2425-G0084,1,02:41,UTA,,GSW,,P. Mills,UTA,Mills Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0084,1,02:25,UTA,,GSW,,P. Mills,UTA,MISS Mills 3PT Running Jump Shot,Missed Shot,Running Jump Shot,232,4,0,1,3.0,0.0,h
S2425-G0084,2,09:42,UTA,,GSW,,P. Mills,UTA,Mills P.FOUL (P1.T1) (A.Moyer-Gleich),Foul,Personal,0,0,0,0,,,h
S2425-G0084,2,08:44,UTA,,GSW,,P. Mills,UTA,Mills REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0084,2,05:57,UTA,,GSW,,P. Mills,UTA,Mills STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0084,2,05:56,UTA,32.0,GSW,38.0,P. Mills,UTA,Mills 3' Layup (2 PTS),Made Shot,Layup Shot,11,26,3,1,2.0,2.0,h
S2425-G0084,2,05:56,UTA,,GSW,,P. Mills,UTA,SUB: George FOR Mills,Substitution,,0,0,0,0,,,h
S2425-G0084,3,08:49,UTA,,GSW,,P. Mills,UTA,Mills BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0084,3,08:31,UTA,,GSW,,P. Mills,UTA,MISS Mills 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,116,232,26,1,3.0,0.0,h
S2425-G0084,3,05:53,UTA,,GSW,,P. Mills,UTA,MISS Mills 24' 3PT Jump Shot,Missed Shot,Jump Shot,-195,141,24,1,3.0,0.0,h
S2425-G0084,3,02:11,UTA,63.0,GSW,91.0,P. Mills,UTA,Mills 26' 3PT Jump Shot (5 PTS) (Collins 3 AST),Made Shot,Jump Shot,102,236,26,1,3.0,3.0,h
S2425-G0084,3,01:29,UTA,67.0,GSW,91.0,P. Mills,UTA,Mills 15' Jump Shot (7 PTS) (Eubanks 1 AST),Made Shot,Jump Shot,105,105,15,1,2.0,2.0,h
S2425-G0084,3,00:43.800000,UTA,,GSW,,P. Mills,UTA,MISS Mills 3PT Jump Shot,Missed Shot,Jump Shot,-233,22,0,1,3.0,0.0,h
