game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,1,03:54,WAS,24.0,BOS,20.0,P. Pritchard,BOS,Pritchard 25' 3PT Pullup Jump Shot (3 PTS) (Tillman 1 AST),Made Shot,Pullup Jump shot,-124,222,25,1,3.0,3.0,v
S2425-G0073,1,02:35,WAS,,BOS,,P. Pritchard,BOS,MISS Pritchard 1' Running Layup,Missed Shot,Running Layup Shot,-9,4,1,1,2.0,0.0,v
S2425-G0073,2,11:14,WAS,,BOS,,P. Pritchard,BOS,MISS Pritchard 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-212,138,25,1,3.0,0.0,v
S2425-G0073,2,08:47,WAS,36.0,BOS,41.0,P. Pritchard,BOS,Pritchard 26' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,-116,234,26,1,3.0,3.0,v
S2425-G0073,2,04:50,WAS,,BOS,,P. Pritchard,BOS,MISS Pritchard 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-233,-21,0,1,3.0,0.0,v
S2425-G0073,2,03:50,WAS,,BOS,,P. Pritchard,BOS,SUB: Horford FOR Pritchard,Substitution,,0,0,0,0,,,v
S2425-G0073,3,05:50,WAS,60.0,BOS,83.0,P. Pritchard,BOS,Pritchard 29' 3PT Jump Shot (9 PTS) (Tatum 5 AST),Made Shot,Jump Shot,-227,180,29,1,3.0,3.0,v
S2425-G0073,3,05:45,WAS,,BOS,,P. Pritchard,BOS,Pritchard P.FOUL (P1.T1) (J.Reneau),Foul,Personal,0,0,0,0,,,v
S2425-G0073,3,03:35,WAS,68.0,BOS,90.0,P. Pritchard,BOS,Pritchard 29' 3PT Jump Shot (12 PTS) (Tatum 6 AST),Made Shot,Jump Shot,-181,222,29,1,3.0,3.0,v
S2425-G0073,3,01:09,WAS,70.0,BOS,94.0,P. Pritchard,BOS,Pritchard 24' 3PT Jump Shot (15 PTS) (White 4 AST),Made Shot,Jump Shot,-237,49,24,1,3.0,3.0,v
S2425-G0073,3,00:55.300000,WAS,,BOS,,P. Pritchard,BOS,MISS Pritchard 29' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,94,277,29,1,3.0,0.0,v
S2425-G0073,4,11:23,WAS,,BOS,,P. Pritchard,BOS,Pritchard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,4,06:34,WAS,,BOS,,P. Pritchard,BOS,MISS Pritchard 31' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-64,302,31,1,3.0,0.0,v
