game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,10:07,NYK,2.0,IND,4.0,P. Siakam,IND,Siakam 1' Finger Roll Layup (2 PTS) (Turner 1 AST),Made Shot,Finger Roll Layup Shot,-4,6,1,1,2.0,2.0,v
S2425-G0081,1,08:19,NYK,4.0,IND,8.0,P. Siakam,IND,Siakam 10' Turnaround Jump Shot (4 PTS) (Nembhard 1 AST),Made Shot,Turnaround Jump Shot,-77,64,10,1,2.0,2.0,v
S2425-G0081,1,07:43,NYK,,IND,,P. Siakam,IND,MISS Siakam 19' Step Back Jump Shot,Missed Shot,Step Back Jump shot,181,61,19,1,2.0,0.0,v
S2425-G0081,1,06:45,NYK,,IND,,P. Siakam,IND,MISS Siakam 3PT Jump Shot,Missed Shot,Jump Shot,-229,-12,0,1,3.0,0.0,v
S2425-G0081,1,06:31,NYK,9.0,IND,9.0,P. Siakam,IND,Siakam Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,1,06:31,NYK,9.0,IND,10.0,P. Siakam,IND,Siakam Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,1,03:23,NYK,,IND,,P. Siakam,IND,SUB: Toppin FOR Siakam,Substitution,,0,0,0,0,,,v
S2425-G0081,2,04:23,NYK,,IND,,P. Siakam,IND,MISS Siakam 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,110,16,11,1,2.0,0.0,v
S2425-G0081,2,04:18,NYK,,IND,,P. Siakam,IND,MISS Siakam 26' 3PT Jump Shot,Missed Shot,Jump Shot,210,147,26,1,3.0,0.0,v
S2425-G0081,2,03:21,NYK,,IND,,P. Siakam,IND,Siakam REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,2,03:16,NYK,48.0,IND,41.0,P. Siakam,IND,Siakam 2' Driving Dunk (8 PTS),Made Shot,Driving Dunk Shot,12,17,2,1,2.0,2.0,v
S2425-G0081,2,02:07,NYK,52.0,IND,43.0,P. Siakam,IND,Siakam 10' Turnaround Fadeaway (10 PTS),Made Shot,Turnaround Fadeaway shot,-61,75,10,1,2.0,2.0,v
S2425-G0081,2,00:52.600000,NYK,,IND,,P. Siakam,IND,MISS Siakam 3PT Jump Shot,Missed Shot,Jump Shot,233,3,0,1,3.0,0.0,v
S2425-G0081,2,00:50.500000,NYK,,IND,,P. Siakam,IND,Siakam REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,2,00:33.500000,NYK,,IND,,P. Siakam,IND,Siakam REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,2,00:17.300000,NYK,58.0,IND,45.0,P. Siakam,IND,Siakam 1' Cutting Layup Shot (12 PTS) (Mathurin 1 AST),Made Shot,Cutting Layup Shot,2,-5,1,1,2.0,2.0,v
