game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,09:37,DAL,,SAS,,P. Washington,DAL,Washington P.FOUL (P1.T2) (R.Mott),Foul,Personal,0,0,0,0,,,h
S2425-G0074,1,08:40,DAL,,SAS,,P. Washington,DAL,MISS Washington 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,141,215,26,1,3.0,0.0,h
S2425-G0074,1,07:38,DAL,,SAS,,P. Washington,DAL,MISS Washington 2' Driving Layup,Missed Shot,Driving Layup Shot,9,16,2,1,2.0,0.0,h
S2425-G0074,1,07:34,DAL,,SAS,,P. Washington,DAL,Washington REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,07:34,DAL,9.0,SAS,10.0,P. Washington,DAL,Washington Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0074,1,05:59,DAL,,SAS,,P. Washington,DAL,MISS Washington 24' 3PT Jump Shot,Missed Shot,Jump Shot,-162,177,24,1,3.0,0.0,h
S2425-G0074,1,04:32,DAL,,SAS,,P. Washington,DAL,SUB: Kleber FOR Washington,Substitution,,0,0,0,0,,,h
S2425-G0074,2,09:08,DAL,,SAS,,P. Washington,DAL,MISS Washington 25' 3PT Jump Shot,Missed Shot,Jump Shot,60,245,25,1,3.0,0.0,h
S2425-G0074,2,07:26,DAL,,SAS,,P. Washington,DAL,MISS Washington 3PT Jump Shot,Missed Shot,Jump Shot,-222,-10,0,1,3.0,0.0,h
S2425-G0074,2,07:19,DAL,,SAS,,P. Washington,DAL,MISS Washington Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0074,2,07:19,DAL,28.0,SAS,30.0,P. Washington,DAL,Washington Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
