game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,02:47,TOR,,DEN,,P. Watson,DEN,Watson Step Out of Bounds Turnover (P1.T5),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0107,1,01:52,TOR,26.0,DEN,28.0,P. Watson,DEN,Watson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,1,01:52,TOR,26.0,DEN,29.0,P. Watson,DEN,Watson Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,1,00:11,TOR,,DEN,,P. Watson,DEN,SUB: Murray FOR Watson,Substitution,,0,0,0,0,,,v
S2425-G0107,2,11:02,TOR,,DEN,,P. Watson,DEN,MISS Watson 4' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,-38,16,4,1,2.0,0.0,v
S2425-G0107,2,09:00,TOR,,DEN,,P. Watson,DEN,MISS Watson 4' Driving Layup,Missed Shot,Driving Layup Shot,-36,16,4,1,2.0,0.0,v
S2425-G0107,2,09:00,TOR,,DEN,,P. Watson,DEN,Watson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,09:00,TOR,38.0,DEN,33.0,P. Watson,DEN,Watson Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,2,09:00,TOR,38.0,DEN,34.0,P. Watson,DEN,Watson Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,2,07:44,TOR,,DEN,,P. Watson,DEN,SUB: Jokić FOR Watson,Substitution,,0,0,0,0,,,v
S2425-G0107,3,03:45,TOR,,DEN,,P. Watson,DEN,MISS Watson 2' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,9,12,2,1,2.0,0.0,v
S2425-G0107,3,02:09,TOR,,DEN,,P. Watson,DEN,MISS Watson 2' Cutting Finger Roll Layup Shot,Missed Shot,Cutting Finger Roll Layup Shot,-15,16,2,1,2.0,0.0,v
S2425-G0107,3,01:32,TOR,88.0,DEN,79.0,P. Watson,DEN,Watson 1' Running Dunk (6 PTS) (Westbrook 2 AST),Made Shot,Running Dunk Shot,-4,6,1,1,2.0,2.0,v
S2425-G0107,3,01:09,TOR,,DEN,,P. Watson,DEN,Watson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,00:06.500000,TOR,,DEN,,P. Watson,DEN,Watson P.FOUL (P1.T3) (J.Capers),Foul,Personal,0,0,0,0,,,v
S2425-G0107,4,11:06,TOR,,DEN,,P. Watson,DEN,Watson BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0107,4,08:55,TOR,,DEN,,P. Watson,DEN,SUB: Murray FOR Watson,Substitution,,0,0,0,0,,,v
S2425-G0075,1,02:45,DEN,,OKC,,P. Watson,DEN,MISS Watson 24' 3PT Jump Shot,Missed Shot,Jump Shot,-189,155,24,1,3.0,0.0,h
S2425-G0075,1,01:58,DEN,,OKC,,P. Watson,DEN,Watson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,01:42,DEN,,OKC,,P. Watson,DEN,Watson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,01:42,DEN,,OKC,,P. Watson,DEN,MISS Watson Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0075,1,00:03,DEN,,OKC,,P. Watson,DEN,Watson BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0075,2,10:17,DEN,,OKC,,P. Watson,DEN,Watson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,2,09:25,DEN,,OKC,,P. Watson,DEN,Watson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,2,09:12,DEN,,OKC,,P. Watson,DEN,Watson REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
