game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0091,1,11:01,CHI,,OKC,,P. Williams,CHI,Williams REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,11:01,CHI,,OKC,,P. Williams,CHI,MISS Williams Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0091,1,09:25,CHI,,OKC,,P. Williams,CHI,Williams REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,08:22,CHI,,OKC,,P. Williams,CHI,MISS Williams 27' 3PT Jump Shot,Missed Shot,Jump Shot,152,219,27,1,3.0,0.0,h
S2425-G0091,1,05:14,CHI,,OKC,,P. Williams,CHI,SUB: Phillips FOR Williams,Substitution,,0,0,0,0,,,h
S2425-G0091,2,11:23,CHI,,OKC,,P. Williams,CHI,MISS Williams 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-17,51,5,1,2.0,0.0,h
S2425-G0091,2,11:01,CHI,,OKC,,P. Williams,CHI,Williams Step Out of Bounds Turnover (P1.T8),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,h
S2425-G0091,2,09:07,CHI,,OKC,,P. Williams,CHI,Williams REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,2,08:51,CHI,,OKC,,P. Williams,CHI,Williams P.FOUL (P1.T2) (J.Tiven),Foul,Personal,0,0,0,0,,,h
S2425-G0091,2,08:44,CHI,,OKC,,P. Williams,CHI,Williams STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0091,2,08:18,CHI,31.0,OKC,32.0,P. Williams,CHI,Williams 26' 3PT Jump Shot (3 PTS) (Vučević 1 AST),Made Shot,Jump Shot,164,205,26,1,3.0,3.0,h
S2425-G0091,2,07:42,CHI,,OKC,,P. Williams,CHI,SUB: Phillips FOR Williams,Substitution,,0,0,0,0,,,h
