game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,11:18,LAL,3.0,MIN,0.0,R. Hachimura,LAL,Hachimura 26' 3PT Jump Shot (3 PTS) (Davis 1 AST),Made Shot,Jump Shot,121,231,26,1,3.0,3.0,h
S2425-G0062,1,10:23,LAL,5.0,MIN,2.0,R. Hachimura,LAL,Hachimura 3' Driving Dunk (5 PTS) (Russell 1 AST),Made Shot,Driving Dunk Shot,6,28,3,1,2.0,2.0,h
S2425-G0062,1,09:24,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,235,34,24,1,3.0,0.0,h
S2425-G0062,1,09:02,LAL,,MIN,,R. Hachimura,LAL,Hachimura BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0062,1,06:06,LAL,,MIN,,R. Hachimura,LAL,Hachimura L.B.FOUL (P1.T2) (N.Buchert),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0062,1,03:03,LAL,,MIN,,R. Hachimura,LAL,SUB: Hayes FOR Hachimura,Substitution,,0,0,0,0,,,h
S2425-G0062,2,11:41,LAL,,MIN,,R. Hachimura,LAL,Hachimura REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,11:39,LAL,24.0,MIN,23.0,R. Hachimura,LAL,Hachimura 1' Putback Layup (7 PTS),Made Shot,Putback Layup Shot,5,13,1,1,2.0,2.0,h
S2425-G0062,2,10:21,LAL,,MIN,,R. Hachimura,LAL,Hachimura STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0062,2,10:12,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-97,180,20,1,2.0,0.0,h
S2425-G0062,2,06:21,LAL,,MIN,,R. Hachimura,LAL,Hachimura REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,06:14,LAL,45.0,MIN,29.0,R. Hachimura,LAL,Hachimura 14' Pullup Jump Shot (9 PTS) (Vincent 1 AST),Made Shot,Pullup Jump shot,64,126,14,1,2.0,2.0,h
S2425-G0062,2,05:15,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura 12' Jump Shot,Missed Shot,Jump Shot,-4,120,12,1,2.0,0.0,h
S2425-G0062,2,05:12,LAL,,MIN,,R. Hachimura,LAL,Hachimura REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,05:11,LAL,49.0,MIN,32.0,R. Hachimura,LAL,Hachimura 1' Driving Layup (11 PTS),Made Shot,Driving Layup Shot,-4,12,1,1,2.0,2.0,h
S2425-G0062,2,04:10,LAL,,MIN,,R. Hachimura,LAL,Hachimura S.FOUL (P2.T3) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,2,04:00,LAL,,MIN,,R. Hachimura,LAL,SUB: B. James FOR Hachimura,Substitution,,0,0,0,0,,,h
S2425-G0062,3,10:09,LAL,,MIN,,R. Hachimura,LAL,Hachimura STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0062,3,09:30,LAL,62.0,MIN,47.0,R. Hachimura,LAL,Hachimura 1' Reverse Dunk (13 PTS) (Reaves 3 AST),Made Shot,Reverse Dunk Shot,2,9,1,1,2.0,2.0,h
S2425-G0062,3,08:29,LAL,,MIN,,R. Hachimura,LAL,Hachimura REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,08:26,LAL,63.0,MIN,47.0,R. Hachimura,LAL,Hachimura Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,3,08:26,LAL,64.0,MIN,47.0,R. Hachimura,LAL,Hachimura Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,3,07:37,LAL,,MIN,,R. Hachimura,LAL,Hachimura REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,3,07:37,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0062,3,04:22,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura 26' 3PT Jump Shot,Missed Shot,Jump Shot,206,162,26,1,3.0,0.0,h
S2425-G0062,3,03:00,LAL,,MIN,,R. Hachimura,LAL,SUB: L. James FOR Hachimura,Substitution,,0,0,0,0,,,h
S2425-G0062,4,07:52,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura 27' 3PT Jump Shot,Missed Shot,Jump Shot,163,221,27,1,3.0,0.0,h
S2425-G0062,4,07:09,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0062,4,07:09,LAL,92.0,MIN,84.0,R. Hachimura,LAL,Hachimura Free Throw 2 of 2 (16 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,4,05:02,LAL,99.0,MIN,88.0,R. Hachimura,LAL,Hachimura 12' Turnaround Fadeaway (18 PTS) (Davis 4 AST),Made Shot,Turnaround Fadeaway shot,48,109,12,1,2.0,2.0,h
S2425-G0062,4,05:02,LAL,,MIN,,R. Hachimura,LAL,SUB: L. James FOR Hachimura,Substitution,,0,0,0,0,,,h
S2425-G0062,4,00:46.300000,LAL,,MIN,,R. Hachimura,LAL,MISS Hachimura 1' Running Layup,Missed Shot,Running Layup Shot,4,14,1,1,2.0,0.0,h
S2425-G0111,1,10:48,PHX,2.0,LAL,3.0,R. Hachimura,LAL,Hachimura 27' 3PT Jump Shot (3 PTS) (Russell 1 AST),Made Shot,Jump Shot,-208,178,27,1,3.0,3.0,v
S2425-G0111,1,09:43,PHX,4.0,LAL,5.0,R. Hachimura,LAL,Hachimura 2' Layup (5 PTS) (Davis 1 AST),Made Shot,Layup Shot,5,16,2,1,2.0,2.0,v
S2425-G0111,1,09:22,PHX,,LAL,,R. Hachimura,LAL,Hachimura REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,08:10,PHX,,LAL,,R. Hachimura,LAL,Hachimura REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,07:18,PHX,,LAL,,R. Hachimura,LAL,Hachimura BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0111,1,07:15,PHX,,LAL,,R. Hachimura,LAL,Hachimura REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,06:54,PHX,,LAL,,R. Hachimura,LAL,Hachimura S.FOUL (P1.T1) (E.Dalen),Foul,Shooting,0,0,0,0,,,v
S2425-G0111,1,06:35,PHX,,LAL,,R. Hachimura,LAL,Hachimura REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,03:47,PHX,,LAL,,R. Hachimura,LAL,Hachimura S.FOUL (P2.T3) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0111,1,01:42,PHX,,LAL,,R. Hachimura,LAL,SUB: Russell FOR Hachimura,Substitution,,0,0,0,0,,,v
S2425-G0111,2,09:46,PHX,,LAL,,R. Hachimura,LAL,Hachimura STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0111,2,09:39,PHX,,LAL,,R. Hachimura,LAL,MISS Hachimura 4' Running Layup,Missed Shot,Running Layup Shot,38,21,4,1,2.0,0.0,v
S2425-G0111,2,08:12,PHX,,LAL,,R. Hachimura,LAL,Hachimura REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,2,08:06,PHX,34.0,LAL,38.0,R. Hachimura,LAL,Hachimura Putback Layup (7 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0111,2,07:38,PHX,,LAL,,R. Hachimura,LAL,MISS Hachimura 9' Jump Shot,Missed Shot,Jump Shot,-17,85,9,1,2.0,0.0,v
