game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,05:49,MEM,,BKN,,S. Aldama,MEM,MISS Aldama 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,27,56,6,1,2.0,0.0,h
S2424-G124,1,05:27,MEM,,BKN,,S. Aldama,MEM,Aldama REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,01:24,MEM,,BKN,,S. Aldama,MEM,Aldama REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,2,04:25,MEM,,BKN,,S. Aldama,MEM,Aldama STEAL (1 STL),,,0,0,0,0,,,h
S2424-G124,2,03:56,MEM,,BKN,,S. Aldama,MEM,Aldama Out of Bounds - Bad Pass Turnover Turnover (P1.T13),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2424-G124,2,03:27,MEM,53.0,BKN,53.0,S. Aldama,MEM,Aldama Cutting Dunk Shot (2 PTS) (LaRavia 4 AST),Made Shot,Cutting Dunk Shot,0,3,0,1,2.0,2.0,h
S2424-G124,2,01:42,MEM,,BKN,,S. Aldama,MEM,SUB: Jackson Jr. FOR Aldama,Substitution,,0,0,0,0,,,h
S2424-G124,3,05:42,MEM,,BKN,,S. Aldama,MEM,Aldama S.FOUL (P1.T3) (A.Smith),Foul,Shooting,0,0,0,0,,,h
S2424-G124,3,01:59,MEM,,BKN,,S. Aldama,MEM,MISS Aldama 3PT Jump Shot,Missed Shot,Jump Shot,-225,31,0,1,3.0,0.0,h
S2424-G124,3,00:40.400000,MEM,,BKN,,S. Aldama,MEM,Aldama S.FOUL (P2.PN) (B.Nansel),Foul,Shooting,0,0,0,0,,,h
S2424-G124,3,00:28.300000,MEM,,BKN,,S. Aldama,MEM,SUB: Clarke FOR Aldama,Substitution,,0,0,0,0,,,h
S2424-G124,4,09:44,MEM,,BKN,,S. Aldama,MEM,Aldama STEAL (2 STL),,,0,0,0,0,,,h
S2424-G124,4,08:18,MEM,,BKN,,S. Aldama,MEM,Aldama REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,4,07:45,MEM,,BKN,,S. Aldama,MEM,MISS Aldama 5' Driving Layup,Missed Shot,Driving Layup Shot,-43,16,5,1,2.0,0.0,h
S2424-G124,4,06:59,MEM,,BKN,,S. Aldama,MEM,MISS Aldama 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,174,186,25,1,3.0,0.0,h
S2424-G124,4,05:58,MEM,,BKN,,S. Aldama,MEM,SUB: Jackson Jr. FOR Aldama,Substitution,,0,0,0,0,,,h
S2424-G124,4,01:18,MEM,,BKN,,S. Aldama,MEM,SUB: LaRavia FOR Aldama,Substitution,,0,0,0,0,,,h
S2425-G0070,1,11:44,UTA,,MEM,,S. Aldama,MEM,MISS Aldama 25' 3PT Jump Shot,Missed Shot,Jump Shot,232,86,25,1,3.0,0.0,v
S2425-G0070,1,11:08,UTA,,MEM,,S. Aldama,MEM,MISS Aldama 3PT Jump Shot,Missed Shot,Jump Shot,228,32,0,1,3.0,0.0,v
S2425-G0070,1,09:46,UTA,,MEM,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,09:37,UTA,8.0,MEM,8.0,S. Aldama,MEM,Aldama 26' 3PT Jump Shot (3 PTS) (Bane 1 AST),Made Shot,Jump Shot,-159,200,26,1,3.0,3.0,v
S2425-G0070,1,09:08,UTA,8.0,MEM,11.0,S. Aldama,MEM,Aldama 3PT Jump Shot (6 PTS) (Morant 1 AST),Made Shot,Jump Shot,-230,12,0,1,3.0,3.0,v
S2425-G0070,1,08:08,UTA,,MEM,,S. Aldama,MEM,SUB: Wells FOR Aldama,Substitution,,0,0,0,0,,,v
S2425-G0070,1,05:39,UTA,,MEM,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,03:48,UTA,16.0,MEM,23.0,S. Aldama,MEM,Aldama 25' 3PT Running Pull-Up Jump Shot (9 PTS) (Konchar 1 AST),Made Shot,Running Pull-Up Jump Shot,131,212,25,1,3.0,3.0,v
S2425-G0070,1,02:49,UTA,,MEM,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,02:44,UTA,,MEM,,S. Aldama,MEM,Aldama Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0070,1,02:37,UTA,,MEM,,S. Aldama,MEM,SUB: LaRavia FOR Aldama,Substitution,,0,0,0,0,,,v
S2425-G0070,2,04:10,UTA,37.0,MEM,54.0,S. Aldama,MEM,Aldama 26' 3PT Jump Shot (12 PTS) (Pippen Jr. 4 AST),Made Shot,Jump Shot,-154,206,26,1,3.0,3.0,v
