game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,07:24,MEM,15.0,BKN,10.0,S. Pippen Jr.,MEM,Pippen Jr. Free Throw 1 of 1 (1 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2424-G124,1,06:47,MEM,,BKN,,S. Pippen Jr.,MEM,Pippen Jr. Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2424-G124,1,03:07,MEM,,BKN,,S. Pippen Jr.,MEM,Pippen Jr. S.FOUL (P1.T3) (A.Smith),Foul,Shooting,0,0,0,0,,,h
S2424-G124,1,02:09,MEM,,BKN,,S. Pippen Jr.,MEM,MISS Pippen Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,184,180,26,1,3.0,0.0,h
S2424-G124,1,01:19,MEM,,BKN,,S. Pippen Jr.,MEM,SUB: Clarke FOR Pippen Jr.,Substitution,,0,0,0,0,,,h
S2424-G124,1,00:00,MEM,,BKN,,S. Pippen Jr.,MEM,MISS Pippen Jr. 48' 3PT Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,97,465,48,1,3.0,0.0,h
S2424-G124,2,05:44,MEM,,BKN,,S. Pippen Jr.,MEM,Pippen Jr. S.FOUL (P2.T3) (B.Nansel),Foul,Shooting,0,0,0,0,,,h
S2424-G124,2,05:24,MEM,48.0,BKN,49.0,S. Pippen Jr.,MEM,Pippen Jr. Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,2,05:24,MEM,49.0,BKN,49.0,S. Pippen Jr.,MEM,Pippen Jr. Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,2,04:07,MEM,,BKN,,S. Pippen Jr.,MEM,Pippen Jr. Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0,0,0,0,,,h
S2424-G124,2,02:42,MEM,,BKN,,S. Pippen Jr.,MEM,SUB: Morant FOR Pippen Jr.,Substitution,,0,0,0,0,,,h
S2424-G124,3,09:17,MEM,64.0,BKN,75.0,S. Pippen Jr.,MEM,Pippen Jr. 4' Reverse Layup (5 PTS),Made Shot,Reverse Layup Shot,-32,22,4,1,2.0,2.0,h
