game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0068,2,09:42,HOU,,CHA,,T. Eason,HOU,Eason REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,2,08:21,HOU,,CHA,,T. Eason,HOU,SUB: VanVleet FOR Eason,Substitution,,0,0,0,0,,,h
S2425-G0068,3,03:03,HOU,,CHA,,T. Eason,HOU,MISS Eason 24' 3PT Jump Shot,Missed Shot,Jump Shot,240,31,24,1,3.0,0.0,h
S2425-G0068,3,02:36,HOU,79.0,CHA,71.0,T. Eason,HOU,Eason 14' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,50,127,14,1,2.0,2.0,h
S2425-G0068,3,00:57.600000,HOU,,CHA,,T. Eason,HOU,Eason STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0068,3,00:23.800000,HOU,,CHA,,T. Eason,HOU,Eason STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0068,3,00:15.500000,HOU,,CHA,,T. Eason,HOU,Eason REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,3,00:14.800000,HOU,,CHA,,T. Eason,HOU,MISS Eason 1' Putback Layup,Missed Shot,Putback Layup Shot,11,8,1,1,2.0,0.0,h
S2425-G0068,4,10:36,HOU,,CHA,,T. Eason,HOU,SUB: Smith Jr. FOR Eason,Substitution,,0,0,0,0,,,h
S2425-G0068,4,00:03.700000,HOU,,CHA,,T. Eason,HOU,Eason Personal Take Foul (P1.PN) (E.Dalen),Foul,Personal Take,0,0,0,0,,,h
S2425-G0109,1,05:26,SAS,,HOU,,T. Eason,HOU,Eason P.FOUL (P1.T3) (J.Orr),Foul,Personal,0,0,0,0,,,v
S2425-G0109,1,03:36,SAS,,HOU,,T. Eason,HOU,MISS Eason 26' 3PT Jump Shot,Missed Shot,Jump Shot,-145,211,26,1,3.0,0.0,v
S2425-G0109,1,03:09,SAS,12.0,HOU,20.0,T. Eason,HOU,Eason Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0109,1,03:09,SAS,12.0,HOU,21.0,T. Eason,HOU,Eason Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0109,1,03:02,SAS,,HOU,,T. Eason,HOU,Eason STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0109,1,03:01,SAS,,HOU,,T. Eason,HOU,MISS Eason 1' Running Layup,Missed Shot,Running Layup Shot,1,12,1,1,2.0,0.0,v
S2425-G0109,1,01:22,SAS,,HOU,,T. Eason,HOU,MISS Eason 25' 3PT Jump Shot,Missed Shot,Jump Shot,152,200,25,1,3.0,0.0,v
S2425-G0109,1,00:00.700000,SAS,,HOU,,T. Eason,HOU,Eason REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,1,00:00.700000,SAS,15.0,HOU,29.0,T. Eason,HOU,Eason Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0109,2,11:26,SAS,,HOU,,T. Eason,HOU,Eason STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0109,2,09:07,SAS,,HOU,,T. Eason,HOU,Eason P.FOUL (P2.T2) (A.Nagy),Foul,Personal,0,0,0,0,,,v
S2425-G0109,2,09:07,SAS,,HOU,,T. Eason,HOU,SUB: Sengun FOR Eason,Substitution,,0,0,0,0,,,v
S2425-G0109,2,01:17,SAS,,HOU,,T. Eason,HOU,Eason REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,3,05:45,SAS,58.0,HOU,72.0,T. Eason,HOU,Eason 21' Jump Shot (6 PTS) (Sengun 4 AST),Made Shot,Jump Shot,206,-12,21,1,2.0,2.0,v
S2425-G0109,3,04:06,SAS,,HOU,,T. Eason,HOU,Eason REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,3,03:12,SAS,,HOU,,T. Eason,HOU,Eason P.FOUL (P3.PN) (J.Orr),Foul,Personal,0,0,0,0,,,v
S2425-G0109,4,09:49,SAS,,HOU,,T. Eason,HOU,Eason REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,4,08:59,SAS,,HOU,,T. Eason,HOU,SUB: Thompson FOR Eason,Substitution,,0,0,0,0,,,v
S2425-G0109,4,01:32,SAS,,HOU,,T. Eason,HOU,Eason REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,4,00:41.100000,SAS,,HOU,,T. Eason,HOU,Eason FLAGRANT.FOUL.TYPE1 (P4.PN) (J.Williams),Foul,Flagrant Type 1,0,0,0,0,,,v
S2425-G0082,1,03:47,HOU,,MEM,,T. Eason,HOU,Eason REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0082,1,02:44,HOU,,MEM,,T. Eason,HOU,Eason REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0082,1,01:08,HOU,,MEM,,T. Eason,HOU,Eason BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0082,1,00:19.200000,HOU,38.0,MEM,35.0,T. Eason,HOU,Eason 1' Cutting Dunk Shot (2 PTS) (VanVleet 1 AST),Made Shot,Cutting Dunk Shot,-7,10,1,1,2.0,2.0,h
S2425-G0082,2,11:42,HOU,,MEM,,T. Eason,HOU,Eason S.FOUL (P1.T1) (N.Green),Foul,Shooting,0,0,0,0,,,h
S2425-G0082,2,10:08,HOU,,MEM,,T. Eason,HOU,Eason S.FOUL (P2.T2) (S.Corbin),Foul,Shooting,0,0,0,0,,,h
S2425-G0082,2,09:17,HOU,,MEM,,T. Eason,HOU,SUB: VanVleet FOR Eason,Substitution,,0,0,0,0,,,h
S2425-G0082,2,00:53.700000,HOU,,MEM,,T. Eason,HOU,Eason STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0082,2,00:46.400000,HOU,,MEM,,T. Eason,HOU,MISS Eason 25' 3PT Jump Shot,Missed Shot,Jump Shot,74,243,25,1,3.0,0.0,h
S2425-G0082,3,04:01,HOU,,MEM,,T. Eason,HOU,Eason STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0082,3,02:29,HOU,,MEM,,T. Eason,HOU,Eason REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0082,3,02:29,HOU,86.0,MEM,78.0,T. Eason,HOU,Eason 1' Putback Layup (4 PTS),Made Shot,Putback Layup Shot,-6,12,1,1,2.0,2.0,h
