game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0080,1,11:39,CLE,,DET,,T. Harris,DET,Harris BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0080,1,08:22,CLE,,DET,,T. Harris,DET,MISS Harris 8' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-74,41,8,1,2.0,0.0,v
S2425-G0080,1,06:58,CLE,,DET,,T. Harris,DET,Harris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,03:42,CLE,,DET,,T. Harris,DET,Harris REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,03:35,CLE,,DET,,T. Harris,DET,MISS Harris 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,87,134,16,1,2.0,0.0,v
S2425-G0080,1,02:27,CLE,,DET,,T. Harris,DET,SUB: Ivey FOR Harris,Substitution,,0,0,0,0,,,v
S2425-G0080,2,04:02,CLE,,DET,,T. Harris,DET,Harris Lost Ball Turnover (P1.T11),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0080,2,00:46,CLE,,DET,,T. Harris,DET,MISS Harris 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,134,121,18,1,2.0,0.0,v
S2425-G0080,3,11:48,CLE,,DET,,T. Harris,DET,MISS Harris 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,118,143,19,1,2.0,0.0,v
S2425-G0080,3,08:52,CLE,72.0,DET,62.0,T. Harris,DET,Harris 1' Driving Dunk (2 PTS) (Cunningham 4 AST),Made Shot,Driving Dunk Shot,-5,13,1,1,2.0,2.0,v
S2425-G0080,3,07:41,CLE,73.0,DET,63.0,T. Harris,DET,Harris Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0080,3,07:41,CLE,73.0,DET,64.0,T. Harris,DET,Harris Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0080,3,06:47,CLE,,DET,,T. Harris,DET,MISS Harris 26' 3PT Jump Shot,Missed Shot,Jump Shot,99,239,26,1,3.0,0.0,v
S2425-G0080,3,04:49,CLE,81.0,DET,73.0,T. Harris,DET,Harris 26' 3PT Jump Shot (7 PTS) (Cunningham 5 AST),Made Shot,Jump Shot,20,262,26,1,3.0,3.0,v
