game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,10:24,MIA,,ORL,,T. Herro,MIA,Herro BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0065,1,09:08,MIA,,ORL,,T. Herro,MIA,MISS Herro 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-2,252,25,1,3.0,0.0,h
S2425-G0065,1,06:08,MIA,,ORL,,T. Herro,MIA,Herro REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,05:42,MIA,19.0,ORL,11.0,T. Herro,MIA,Herro 2' Running Layup (2 PTS) (Butler 2 AST),Made Shot,Running Layup Shot,16,-10,2,1,2.0,2.0,h
S2425-G0065,1,05:01,MIA,21.0,ORL,14.0,T. Herro,MIA,Herro 3' Turnaround Bank Shot (4 PTS) (Butler 3 AST),Made Shot,Turnaround Bank shot,-29,-2,3,1,2.0,2.0,h
S2425-G0065,1,04:39,MIA,,ORL,,T. Herro,MIA,Herro Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0065,1,03:51,MIA,24.0,ORL,22.0,T. Herro,MIA,Herro 24' 3PT Pullup Jump Shot (7 PTS) (Jaquez Jr. 1 AST),Made Shot,Pullup Jump shot,-195,141,24,1,3.0,3.0,h
S2425-G0065,1,03:07,MIA,,ORL,,T. Herro,MIA,SUB: Rozier FOR Herro,Substitution,,0,0,0,0,,,h
S2425-G0065,2,09:46,MIA,,ORL,,T. Herro,MIA,Herro REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,09:04,MIA,39.0,ORL,35.0,T. Herro,MIA,Herro 1' Driving Reverse Layup (9 PTS),Made Shot,Driving Reverse Layup Shot,-10,-4,1,1,2.0,2.0,h
S2425-G0065,2,08:36,MIA,42.0,ORL,38.0,T. Herro,MIA,Herro 25' 3PT Jump Shot (12 PTS),Made Shot,Jump Shot,178,182,25,1,3.0,3.0,h
S2425-G0065,2,08:26,MIA,,ORL,,T. Herro,MIA,Herro P.FOUL (P1.T3) (C.Blair),Foul,Personal,0,0,0,0,,,h
S2425-G0065,2,03:36,MIA,50.0,ORL,49.0,T. Herro,MIA,Herro Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,2,03:36,MIA,51.0,ORL,49.0,T. Herro,MIA,Herro Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,2,01:30,MIA,,ORL,,T. Herro,MIA,Herro REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,00:51.300000,MIA,,ORL,,T. Herro,MIA,MISS Herro 2' Driving Layup,Missed Shot,Driving Layup Shot,16,-4,2,1,2.0,0.0,h
