game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,1,12:00,GSW,,NOP,,T. Jackson-Davis,GSW,Jump Ball Jackson-Davis vs. Theis: Tip to Green,Jump Ball,,0,0,0,0,,,h
S2425-G0126,1,11:45,GSW,2.0,NOP,0.0,T. Jackson-Davis,GSW,Jackson-Davis 2' Alley Oop Layup (2 PTS) (Podziemski 1 AST),Made Shot,Alley Oop Layup shot,18,1,2,1,2.0,2.0,h
S2425-G0126,1,11:22,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,11:11,GSW,4.0,NOP,0.0,T. Jackson-Davis,GSW,Jackson-Davis 2' Driving Dunk (4 PTS) (Waters III 1 AST),Made Shot,Driving Dunk Shot,-17,5,2,1,2.0,2.0,h
S2425-G0126,1,10:04,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,08:16,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,07:51,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,06:44,GSW,14.0,NOP,8.0,T. Jackson-Davis,GSW,Jackson-Davis 1' Running Dunk (6 PTS) (Green 1 AST),Made Shot,Running Dunk Shot,-5,5,1,1,2.0,2.0,h
S2425-G0126,1,05:14,GSW,,NOP,,T. Jackson-Davis,GSW,SUB: Looney FOR Jackson-Davis,Substitution,,0,0,0,0,,,h
S2425-G0126,3,11:45,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis S.FOUL (P1.T1) (M.Kallio),Foul,Shooting,0,0,0,0,,,h
S2425-G0126,3,11:33,GSW,50.0,NOP,46.0,T. Jackson-Davis,GSW,Jackson-Davis 3' Alley Oop Layup (8 PTS) (Green 3 AST),Made Shot,Alley Oop Layup shot,26,6,3,1,2.0,2.0,h
S2425-G0126,3,11:24,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0126,3,11:22,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,09:34,GSW,,NOP,,T. Jackson-Davis,GSW,MISS Jackson-Davis 4' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,-39,16,4,1,2.0,0.0,h
S2425-G0126,3,09:22,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,09:19,GSW,57.0,NOP,46.0,T. Jackson-Davis,GSW,Jackson-Davis 2' Running Layup (10 PTS) (Podziemski 5 AST),Made Shot,Running Layup Shot,-5,15,2,1,2.0,2.0,h
S2425-G0126,3,08:53,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,08:40,GSW,,NOP,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,08:40,GSW,,NOP,,T. Jackson-Davis,GSW,MISS Jackson-Davis 2' Putback Layup,Missed Shot,Putback Layup Shot,18,8,2,1,2.0,0.0,h
