game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,00:38,DAL,,SAS,,T. Jones,SAS,Jones REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,2,05:21,DAL,,SAS,,T. Jones,SAS,MISS Jones 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-109,12,11,1,2.0,0.0,v
S2425-G0074,2,04:42,DAL,,SAS,,T. Jones,SAS,Jones STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0074,2,02:48,DAL,,SAS,,T. Jones,SAS,SUB: Wembanyama FOR Jones,Substitution,,0,0,0,0,,,v
S2425-G0074,3,02:58,DAL,78.0,SAS,74.0,T. Jones,SAS,Jones Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0074,3,02:58,DAL,78.0,SAS,75.0,T. Jones,SAS,Jones Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0074,3,02:32,DAL,,SAS,,T. Jones,SAS,MISS Jones 5' Driving Layup,Missed Shot,Driving Layup Shot,-54,0,5,1,2.0,0.0,v
S2425-G0074,3,00:10.700000,DAL,,SAS,,T. Jones,SAS,MISS Jones Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0074,3,00:10.700000,DAL,87.0,SAS,80.0,T. Jones,SAS,Jones Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0111,1,10:33,PHX,,LAL,,T. Jones,PHX,MISS Jones 25' 3PT Jump Shot,Missed Shot,Jump Shot,151,199,25,1,3.0,0.0,h
S2425-G0111,1,08:14,PHX,,LAL,,T. Jones,PHX,MISS Jones 25' 3PT Jump Shot,Missed Shot,Jump Shot,181,172,25,1,3.0,0.0,h
S2425-G0111,1,07:39,PHX,,LAL,,T. Jones,PHX,Jones STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0111,1,07:35,PHX,,LAL,,T. Jones,PHX,Jones Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0111,1,07:18,PHX,,LAL,,T. Jones,PHX,MISS Jones 4' Driving Layup,Missed Shot,Driving Layup Shot,-40,13,4,1,2.0,0.0,h
S2425-G0111,1,05:16,PHX,,LAL,,T. Jones,PHX,SUB: O'Neale FOR Jones,Substitution,,0,0,0,0,,,h
S2425-G0111,2,11:35,PHX,,LAL,,T. Jones,PHX,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,10:55,PHX,,LAL,,T. Jones,PHX,MISS Jones 14' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-142,21,14,1,2.0,0.0,h
S2425-G0111,2,10:32,PHX,29.0,LAL,36.0,T. Jones,PHX,Jones Running Layup (2 PTS),Made Shot,Running Layup Shot,-2,4,0,1,2.0,2.0,h
S2425-G0111,2,09:37,PHX,,LAL,,T. Jones,PHX,Jones STEAL (2 STL),,,0,0,0,0,,,h
