game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,11:43,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 25' 3PT Jump Shot,Missed Shot,Jump Shot,-207,142,25,1,3.0,0.0,v
S2425-G0078,1,09:06,TOR,10.0,PHI,7.0,T. Maxey,PHI,Maxey 10' Driving Floating Jump Shot (2 PTS) (Lowry 2 AST),Made Shot,Driving Floating Jump Shot,103,10,10,1,2.0,2.0,v
S2425-G0078,1,09:06,TOR,10.0,PHI,8.0,T. Maxey,PHI,Maxey Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0078,1,08:15,TOR,,PHI,,T. Maxey,PHI,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,07:52,TOR,12.0,PHI,11.0,T. Maxey,PHI,Maxey 25' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,145,209,25,1,3.0,3.0,v
S2425-G0078,1,07:27,TOR,12.0,PHI,14.0,T. Maxey,PHI,Maxey 26' 3PT Step Back Jump Shot (9 PTS),Made Shot,Step Back Jump shot,185,178,26,1,3.0,3.0,v
S2425-G0078,1,07:11,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 2' Driving Layup,Missed Shot,Driving Layup Shot,-12,10,2,1,2.0,0.0,v
S2425-G0078,1,06:04,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 26' 3PT Jump Shot,Missed Shot,Jump Shot,-213,152,26,1,3.0,0.0,v
S2425-G0078,1,04:22,TOR,23.0,PHI,18.0,T. Maxey,PHI,Maxey Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,1,04:22,TOR,23.0,PHI,19.0,T. Maxey,PHI,Maxey Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,1,04:03,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-105,236,26,1,3.0,0.0,v
S2425-G0078,1,01:23,TOR,,PHI,,T. Maxey,PHI,SUB: Lowry FOR Maxey,Substitution,,0,0,0,0,,,v
S2425-G0078,1,00:28.200000,TOR,28.0,PHI,30.0,T. Maxey,PHI,Maxey Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,1,00:28.200000,TOR,28.0,PHI,31.0,T. Maxey,PHI,Maxey Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,2,07:10,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 20' Step Back Jump Shot,Missed Shot,Step Back Jump shot,137,148,20,1,2.0,0.0,v
S2425-G0078,2,04:46,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 30' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,175,245,30,1,3.0,0.0,v
S2425-G0078,2,04:10,TOR,55.0,PHI,47.0,T. Maxey,PHI,Maxey 9' Driving Floating Jump Shot (15 PTS),Made Shot,Driving Floating Jump Shot,36,80,9,1,2.0,2.0,v
S2425-G0078,2,03:17,TOR,57.0,PHI,49.0,T. Maxey,PHI,Maxey Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,2,03:17,TOR,57.0,PHI,50.0,T. Maxey,PHI,Maxey Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,2,01:49,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 2' Reverse Layup,Missed Shot,Reverse Layup Shot,21,4,2,1,2.0,0.0,v
S2425-G0078,2,01:37,TOR,59.0,PHI,54.0,T. Maxey,PHI,Maxey 16' Step Back Jump Shot (19 PTS),Made Shot,Step Back Jump shot,161,3,16,1,2.0,2.0,v
S2425-G0078,2,00:59,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 31' 3PT Jump Shot,Missed Shot,Jump Shot,124,285,31,1,3.0,0.0,v
S2425-G0078,2,00:54.700000,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 15' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,151,15,1,2.0,0.0,v
S2425-G0078,2,00:00,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 4' Driving Layup,Missed Shot,Driving Layup Shot,33,29,4,1,2.0,0.0,v
S2425-G0078,3,10:52,TOR,,PHI,,T. Maxey,PHI,Maxey Out of Bounds - Bad Pass Turnover Turnover (P1.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0078,3,09:43,TOR,66.0,PHI,58.0,T. Maxey,PHI,Maxey Free Throw Technical (20 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2425-G0078,3,09:42,TOR,,PHI,,T. Maxey,PHI,MISS Maxey Free Throw Technical,Free Throw,Free Throw Technical,0,0,0,0,1.0,0.0,v
S2425-G0078,3,08:11,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-98,134,17,1,2.0,0.0,v
S2425-G0078,3,06:19,TOR,,PHI,,T. Maxey,PHI,Maxey S.FOUL (P1.T4) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,3,03:42,TOR,76.0,PHI,70.0,T. Maxey,PHI,Maxey Free Throw 1 of 2 (21 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,3,03:42,TOR,76.0,PHI,71.0,T. Maxey,PHI,Maxey Free Throw 2 of 2 (22 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,3,03:22,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-110,238,26,1,3.0,0.0,v
S2425-G0078,3,02:17,TOR,,PHI,,T. Maxey,PHI,Maxey STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0078,3,00:39.200000,TOR,,PHI,,T. Maxey,PHI,Maxey P.FOUL (P2.PN) (P.Fraher),Foul,Personal,0,0,0,0,,,v
S2425-G0078,3,00:27.700000,TOR,,PHI,,T. Maxey,PHI,SUB: Oubre Jr. FOR Maxey,Substitution,,0,0,0,0,,,v
S2425-G0078,4,09:23,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 6' Driving Layup,Missed Shot,Driving Layup Shot,40,46,6,1,2.0,0.0,v
